Player: WR (Total games)	00	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18	19	20	21	22	23
ADrone	39.13% (96)	30.0% (104)	32.18% (115)	14.13% (105)	17.86% (66)	27.27% (42)	37.5% (11)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	75.0% (7)	10.0% (22)	32.26% (82)	23.53% (147)	44.92% (171)	44.21% (137)	25.35% (89)	30.0% (78)	27.94% (87)	15.79% (110)	20.73% (99)
Aluap	18.18% (52)	6.9% (62)	26.42% (67)	20.93% (52)	19.64% (67)	13.46% (59)	19.67% (73)	25.71% (44)	20.0% (48)	4.35% (24)	9.09% (12)	12.5% (18)	5.56% (19)	15.0% (23)	14.29% (32)	15.0% (23)	33.33% (12)	8.33% (13)	24.14% (36)	20.0% (42)	15.15% (38)	9.38% (35)	12.0% (28)	15.0% (23)
Anax	0% (0)	0% (0)	0.0% (2)	100.0% (2)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (3)	0.0% (2)	0% (0)	0% (0)	0.0% (2)	10.0% (11)	50.0% (3)	0.0% (1)	0.0% (1)	0.0% (2)	0% (0)	0% (0)	0% (0)	0% (0)
Animex52	11.11% (20)	18.75% (19)	15.62% (37)	12.24% (55)	28.12% (41)	20.83% (29)	25.0% (30)	8.7% (25)	6.67% (32)	30.43% (30)	12.12% (37)	10.2% (54)	26.0% (63)	15.56% (52)	9.68% (34)	36.36% (30)	29.17% (31)	50.0% (9)	0.0% (6)	10.0% (11)	20.0% (6)	33.33% (8)	12.0% (28)	15.0% (23)
anser	20.99% (98)	31.94% (95)	25.68% (93)	31.71% (54)	38.33% (83)	61.54% (63)	37.5% (22)	0.0% (1)	0.0% (6)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	300.0% (4)	28.57% (9)	20.0% (30)	12.9% (35)	36.11% (49)	43.33% (43)	22.39% (82)	35.14% (100)	31.34% (88)	26.92% (99)
antitelharsic	16.98% (62)	11.11% (80)	22.37% (93)	16.09% (101)	16.88% (90)	10.98% (91)	23.96% (119)	17.0% (117)	28.92% (107)	20.41% (59)	66.67% (15)	60.0% (8)	0% (0)	0% (0)	0% (0)	0% (0)	0% (1)	66.67% (5)	15.0% (23)	14.29% (48)	15.69% (59)	12.31% (73)	28.57% (45)	9.43% (58)
aquarelle	29.31% (75)	18.75% (57)	25.0% (110)	25.0% (110)	26.79% (71)	29.17% (31)	17.39% (27)	0.0% (4)	0% (0)	0% (0)	0% (0)	0.0% (2)	0.0% (2)	7.14% (15)	14.29% (16)	46.67% (22)	20.83% (29)	35.71% (19)	35.29% (23)	50.0% (12)	8.7% (25)	18.75% (19)	34.78% (31)	21.62% (45)
asaelr	19.67% (219)	20.79% (122)	11.9% (47)	0.0% (5)	0.0% (1)	0% (1)	21.43% (17)	36.0% (102)	30.0% (143)	38.38% (137)	21.2% (223)	30.65% (243)	25.99% (223)	27.75% (290)	32.58% (175)	27.19% (145)	23.53% (168)	26.32% (240)	30.81% (225)	23.38% (190)	18.48% (218)	30.91% (216)	26.67% (323)	19.21% (360)
Asddsa76	10.71% (31)	33.33% (36)	23.53% (42)	29.41% (44)	22.58% (38)	7.69% (28)	12.5% (27)	21.05% (23)	18.18% (13)	33.33% (12)	22.22% (11)	42.86% (10)	33.33% (4)	0.0% (4)	0.0% (5)	0.0% (2)	8.33% (13)	7.69% (14)	9.52% (23)	11.76% (38)	10.71% (31)	30.0% (26)	11.36% (49)	34.78% (31)
avanderwalde	25.33% (282)	30.68% (345)	26.4% (225)	24.76% (131)	28.21% (50)	28.57% (18)	0.0% (2)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (1)	0.0% (4)	100.0% (4)	100.0% (10)	76.92% (23)	18.18% (26)	33.33% (24)	27.03% (47)	20.59% (82)	21.05% (92)	27.78% (46)	16.67% (84)
BlueNovember	26.17% (188)	20.14% (167)	25.0% (90)	24.14% (36)	17.65% (20)	50.0% (21)	50.0% (6)	150.0% (5)	0% (1)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (1)	0.0% (1)	28.57% (9)	80.0% (18)	5.88% (18)	40.0% (14)	7.89% (41)	22.41% (71)	17.33% (176)
bjnh	18.37% (58)	6.0% (53)	25.81% (39)	23.68% (47)	29.31% (75)	19.74% (91)	18.67% (89)	22.92% (59)	21.43% (17)	12.5% (9)	0% (0)	0% (0)	0% (0)	0% (0)	100.0% (2)	0.0% (6)	40.0% (21)	37.78% (62)	20.97% (75)	20.69% (70)	17.39% (81)	29.17% (62)	16.67% (49)	37.21% (59)
boba	25.0% (35)	25.0% (50)	23.19% (85)	14.93% (77)	22.5% (49)	13.51% (42)	32.61% (61)	18.37% (58)	18.6% (51)	19.64% (67)	10.94% (71)	6.67% (48)	20.59% (82)	12.28% (64)	18.64% (70)	29.17% (31)	30.95% (55)	23.53% (21)	33.33% (4)	0.0% (6)	0.0% (4)	0.0% (5)	100.0% (2)	0.0% (16)
Bonja97	20.0% (60)	16.42% (78)	10.61% (73)	14.0% (57)	15.71% (81)	19.23% (62)	13.11% (69)	39.47% (53)	13.95% (49)	29.73% (48)	33.33% (28)	14.29% (32)	18.75% (19)	70.0% (17)	25.0% (20)	41.67% (34)	27.27% (28)	43.75% (23)	32.43% (49)	10.42% (53)	17.31% (61)	10.94% (71)	25.58% (54)	13.33% (34)
Bot-Fiora	23.08% (16)	26.32% (24)	11.43% (39)	14.29% (48)	12.77% (53)	31.25% (42)	29.41% (22)	22.22% (11)	0.0% (4)	0.0% (3)	0% (0)	0% (0)	0% (0)	0% (0)	0% (1)	20.0% (6)	22.22% (11)	37.5% (22)	23.81% (26)	16.67% (14)	4.17% (25)	27.27% (14)	16.67% (21)	28.57% (18)
CaitlinSmith	0.0% (1)	20.0% (6)	16.67% (7)	200.0% (3)	0.0% (5)	16.67% (7)	0.0% (1)	0% (0)	0.0% (2)	12.5% (9)	28.57% (9)	18.18% (13)	18.75% (19)	11.11% (10)	0.0% (8)	16.67% (7)	27.27% (14)	20.83% (29)	11.11% (60)	4.29% (73)	9.72% (79)	10.53% (63)	3.45% (30)	12.5% (9)
catula	12.5% (9)	9.09% (12)	0.0% (3)	150.0% (5)	25.0% (5)	6.25% (17)	16.22% (43)	14.81% (31)	21.74% (28)	14.55% (63)	11.96% (103)	17.93% (171)	12.03% (149)	12.73% (62)	0.0% (18)	0.0% (2)	0% (0)	0.0% (1)	0% (0)	0% (0)	0% (0)	0% (1)	0.0% (2)	50.0% (3)
