game_id	count	score	variant	date	players
514008	4	30	Prism & Gray Pink (6 Suits)	2021-04-27 — 16:18:48 UTC	ADrone, kimbifille, Kyle, Valetta6789
513996	4	28	Prism & Gray Pink (6 Suits)	2021-04-27 — 15:42:55 UTC	ADrone, kimbifille, Kyle, Valetta6789
513979	4	30	White & Gray Pink (6 Suits)	2021-04-27 — 15:03:38 UTC	ADrone, kimbifille, Kyle, Valetta6789
512818	5	23	Rainbow & Null (5 Suits)	2021-04-26 — 03:08:21 UTC	kimbifille, nkkarpov, pianoblook, scharkbite, timotree
512800	5	0	Rainbow & Null (5 Suits)	2021-04-26 — 02:40:00 UTC	kimbifille, nkkarpov, pianoblook, scharkbite, timotree
512242	5	0	Rainbow & Null (5 Suits)	2021-04-25 — 15:05:13 UTC	Floriman, kimbifille, pianoblook, piper, Valetta6789
512238	4	0	Null & Light Pink (6 Suits)	2021-04-25 — 14:42:22 UTC	Floriman, kimbifille, pianoblook, Valetta6789
512206	4	0	Null & Light Pink (6 Suits)	2021-04-25 — 13:44:24 UTC	Floriman, kimbifille, pianoblook, Valetta6789
512197	3	30	Brown & Null (6 Suits)	2021-04-25 — 13:24:30 UTC	Floriman, kimbifille, Valetta6789
512191	3	15	White & Prism (3 Suits)	2021-04-25 — 13:09:38 UTC	Floriman, kimbifille, Valetta6789
511514	5	30	Black & Null (6 Suits)	2021-04-24 — 20:15:58 UTC	Floriman, kimbifille, piper, sjdrodge, Valetta6789
511463	5	21	Black & Null (5 Suits)	2021-04-24 — 19:28:33 UTC	Floriman, kimbifille, piper, sjdrodge, Valetta6789
511439	5	0	Black & Null (5 Suits)	2021-04-24 — 18:57:20 UTC	Floriman, kimbifille, piper, sjdrodge, Valetta6789
511408	5	30	Rainbow & Null (6 Suits)	2021-04-24 — 18:28:12 UTC	Floriman, kimbifille, pianoblook, piper, Valetta6789
511372	5	0	Rainbow & Null (6 Suits)	2021-04-24 — 17:54:46 UTC	Floriman, kimbifille, pianoblook, piper, Valetta6789
501702	5	28	Rainbow & Prism (6 Suits)	2021-04-15 — 06:16:11 UTC	bjnh, kimbifille, ksfortson, micerang, wump
501668	4	0	Gray (6 Suits)	2021-04-15 — 05:33:19 UTC	kimbifille, ksfortson, micerang, sin_faith
491414	4	29	White & Light Pink (6 Suits)	2021-04-05 — 19:31:38 UTC	BlueNovember, kimbifille, Kyle, Nitrate
490428	3	25	White & Omni (5 Suits)	2021-04-04 — 17:37:21 UTC	Floriman, kimbifille, Valetta6789
490417	3	24	White & Omni (5 Suits)	2021-04-04 — 17:18:36 UTC	Floriman, kimbifille, Valetta6789
490412	3	0	White & Omni (5 Suits)	2021-04-04 — 16:59:49 UTC	Floriman, kimbifille, Valetta6789
490408	4	25	White & Dark Pink (5 Suits)	2021-04-04 — 16:39:25 UTC	Floriman, kimbifille, piper, Valetta6789
490397	4	21	White & Dark Pink (5 Suits)	2021-04-04 — 16:13:17 UTC	Floriman, kimbifille, piper, Valetta6789
489740	4	0	No Variant	2021-04-03 — 22:30:43 UTC	Floriman, kimbifille, pianoblook, piper
489717	4	0	No Variant	2021-04-03 — 22:08:48 UTC	Floriman, kimbifille, pianoblook, piper
489677	4	0	No Variant	2021-04-03 — 21:36:39 UTC	Floriman, kimbifille, pianoblook, piper
483275	4	0	Black & Null (6 Suits)	2021-03-28 — 08:10:50 UTC	Floriman, kimbifille, pianoblook, piper
483264	4	0	Black & Null (6 Suits)	2021-03-28 — 07:52:42 UTC	Floriman, kimbifille, pianoblook, piper
480798	5	0	Dark Pink (6 Suits)	2021-03-26 — 02:20:29 UTC	Aluap, kimbifille, Lanvin, possum, scharkbite
480777	5	0	Dark Pink (6 Suits)	2021-03-26 — 01:57:59 UTC	Aluap, kimbifille, Lanvin, possum, scharkbite
479615	3	24	Prism Reversed (5 Suits)	2021-03-24 — 23:16:06 UTC	ADrone, Floriman, kimbifille
479596	3	25	Clue Starved & Null (5 Suits)	2021-03-24 — 22:54:09 UTC	ADrone, Floriman, kimbifille
479563	3	0	Clue Starved & Null (5 Suits)	2021-03-24 — 22:28:01 UTC	ADrone, Floriman, kimbifille
479547	3	0	Clue Starved & Null (5 Suits)	2021-03-24 — 22:14:34 UTC	ADrone, Floriman, kimbifille
475185	5	0	Special Mix (5 Suits)	2021-03-20 — 23:17:50 UTC	ADrone, Floriman, kimbifille, pianoblook, piper
475153	5	24	Special Mix (5 Suits)	2021-03-20 — 22:41:30 UTC	ADrone, Floriman, kimbifille, pianoblook, piper
475087	5	0	Special Mix (5 Suits)	2021-03-20 — 21:41:32 UTC	ADrone, Floriman, kimbifille, pianoblook, piper
475027	5	0	Special Mix (5 Suits)	2021-03-20 — 20:50:48 UTC	ADrone, Floriman, kimbifille, pianoblook, piper
474828	5	30	Special Mix (6 Suits)	2021-03-20 — 16:26:42 UTC	ADrone, Floriman, kimbifille, pianoblook, piper
470257	3	15	Reversed (3 Suits)	2021-03-16 — 17:49:11 UTC	kimbifille, Kyle, orucsoraihc
470247	3	0	Reversed (3 Suits)	2021-03-16 — 17:37:42 UTC	kimbifille, Kyle, orucsoraihc
469397	3	28	Rainbow & Gray Pink (6 Suits)	2021-03-15 — 21:39:14 UTC	kimbifille, sjdrodge, Valetta6789
469358	3	0	Rainbow & Gray Pink (6 Suits)	2021-03-15 — 21:12:22 UTC	kimbifille, sjdrodge, Valetta6789
468828	3	25	Up or Down & Prism (5 Suits)	2021-03-15 — 04:14:26 UTC	kimbifille, Libster, TimeHoodie
468795	4	28	Up or Down & Prism (6 Suits)	2021-03-15 — 03:30:50 UTC	kimbifille, Libster, sjdrodge, TimeHoodie
466827	5	0	Special Mix (6 Suits)	2021-03-13 — 17:36:11 UTC	ADrone, Floriman, kimbifille, pianoblook, piper
466777	5	0	Special Mix (6 Suits)	2021-03-13 — 16:57:57 UTC	ADrone, Floriman, kimbifille, pianoblook, piper
466598	4	25	Clue Starved & Brown (5 Suits)	2021-03-13 — 08:04:38 UTC	Floriman, kimbifille, pianoblook, piper
466585	4	0	Clue Starved & Brown (5 Suits)	2021-03-13 — 07:36:49 UTC	Floriman, kimbifille, pianoblook, piper
466580	4	0	Clue Starved & Brown (5 Suits)	2021-03-13 — 07:26:23 UTC	Floriman, kimbifille, pianoblook, piper
465731	3	0	Pink & Cocoa Rainbow (6 Suits)	2021-03-12 — 17:41:31 UTC	kimbifille, pianoblook, Valetta6789
465727	3	15	Rainbow & Brown (3 Suits)	2021-03-12 — 17:32:08 UTC	kimbifille, pianoblook, Valetta6789
465719	4	26	White & Gray Pink (6 Suits)	2021-03-12 — 17:14:03 UTC	ADrone, kimbifille, pianoblook, Valetta6789
465705	5	30	Gray (6 Suits)	2021-03-12 — 16:46:14 UTC	ADrone, Floriman, kimbifille, Kyle, pianoblook
465688	5	0	Gray (6 Suits)	2021-03-12 — 16:26:27 UTC	ADrone, Floriman, kimbifille, Kyle, pianoblook
