Player	Total months	Games in 2022	2022-10	2022-09	2022-08	2022-07	2022-06	2022-05	2022-04	2022-03	2022-02	2022-01
4head	13	1673	121	20	107	189	239	99	164	212	254	268
aitch2	16	543	30	53	112	40	36	57	21	35	46	113
Aluap	27	378	-	25	-	24	29	26	65	69	67	73
antitelharsic	29	631	26	41	-	51	117	57	61	56	89	133
arv	14	2995	409	299	352	307	370	145	286	265	280	282
avanderwalde	23	269	-	-	-	34	23	23	40	57	40	52
BlueNovember	21	369	41	-	107	-	-	-	62	74	52	33
Bot-Fiora	17	319	-	-	45	-	21	97	49	-	36	71
caña	17	536	117	22	112	26	35	-	-	23	169	32
ChristopheAF	19	388	-	-	-	-	-	137	125	63	26	37
Cynas	13	775	25	53	91	93	76	177	197	41	22	-
DarthGandalf	22	862	27	45	33	44	85	127	55	153	150	143
derekcheah	28	353	42	30	32	-	23	-	-	51	57	118
dobi	22	807	86	70	27	44	79	78	135	87	47	154
efaust	30	123	-	-	41	33	-	-	-	-	-	49
eliclax	17	343	-	-	31	28	30	23	-	-	107	124
HelanaAshryvr	24	2849	171	261	254	217	289	386	304	398	294	275
jack67889	24	427	29	-	22	55	37	-	48	54	71	111
JerryYang	15	70	-	-	-	24	23	-	-	-	23	-
joano580	13	2110	157	160	127	379	219	191	236	169	205	267
kappatosity	16	1662	114	44	180	66	137	141	286	263	299	132
ksfortson	16	439	-	-	26	33	-	22	44	86	105	123
Lanvin	22	1368	86	-	124	142	98	157	97	76	250	338
macanek	13	233	35	-	-	-	-	37	-	61	56	44
MangoPie	19	719	171	111	78	66	58	33	-	35	76	91
MarkusKahlsen	32	1356	115	119	88	105	168	173	70	149	171	198
mystus	16	900	67	59	35	-	57	98	182	186	105	111
newduke	28	4766	724	608	60	343	613	454	484	500	494	486
newsun	18	1889	279	190	161	225	131	260	185	167	186	105
nitawa	23	708	-	27	-	-	98	27	33	101	125	297
Nitrate	23	426	87	-	79	50	24	-	32	61	37	56
nkkarpov	20	590	41	55	30	31	41	55	105	53	56	123
omegaxis	12	1198	76	34	-	87	128	117	61	162	409	124
Onen	23	751	37	84	82	46	88	99	79	96	120	20
Pablo-	24	430	-	24	-	-	-	-	25	22	129	230
paulcd2000	18	62	-	-	29	-	-	-	-	-	-	33
ReaverSe	17	4223	434	182	427	827	206	98	126	427	729	767
rkass	23	234	-	-	-	37	23	-	40	48	40	46
robense	32	676	92	58	126	90	56	32	29	47	63	83
Romain672	12	223	-	-	-	79	54	-	-	-	35	55
sin_faith	30	770	-	39	55	91	46	58	59	75	248	99
Sturm	13	2666	403	295	168	277	329	175	191	244	179	405
Tailz	15	1266	99	88	70	103	90	184	163	212	109	148
TheDaniMan	28	1969	248	212	318	327	125	-	-	95	361	283
wjomlex	28	319	31	36	28	21	27	32	31	36	33	44
wump	26	1090	72	90	77	84	88	153	108	176	122	120
yuto	12	511	109	-	31	121	195	55	-	-	-	-
