Player	Ratio	Games	Notes
pianoblook	14.16	5479	77587
florrat2	11.65	356	4146
eliclax	11.38	2007	22833
Libster	10.51	726	7627
MarkusKahlsen	10.18	5670	57701
padi	10.13	805	8153
Pablo-	9.90	5015	49671
Nitrate	9.85	1373	13529
RaKXeR	9.53	587	5594
sjdrodge	9.17	2762	25326
piper	8.91	2890	25752
Bot-Fiora	8.88	1410	12525
Floriman	8.86	2636	23342
indego	8.12	8535	69285
timotree	7.97	4060	32378
asaelr	7.95	3694	29357
nitawa	7.86	3803	29903
ADrone	7.34	2270	16670
DMoney	7.22	2670	19282
Lel0uch	6.49	12412	80499
sin_faith	6.20	2743	17011
Zamiel	6.10	2088	12746
Kyle	5.61	5674	31847
Lanvin	5.56	16337	90840
kimbifille	4.74	8705	41277
micerang	4.28	1770	7582
melwen	4.23	10343	43748
Valetta6789	3.84	2886	11068
Fireheart	3.38	1584	5354
IAMJEFF	3.32	2242	7441
Dr_Kakashi	3.19	5628	17944
TimeHoodie	2.36	3646	8607
scharkbite	2.03	2668	5407
