Note	Frequency (49330 in total)
f	3109
cm	2613
this	1724
i	1183
is	870
to	669
be	650
not	613
a	543
the	499
or	453
lol	451
it	406
5	378
if	369
play	349
clue	340
should	335
but	306
on	305
kt	272
was	272
likely	271
maybe	271
for	247
2	242
think	239
b4	238
g4	236
no	235
b3	234
have	233
r3	229
just	228
g3	226
3	222
oh	222
known	221
r4	221
4	197
possible	194
as	192
now	192
you	190
discard	188
and	185
b2	184
of	182
like	181
y4	180
prio	179
so	168
from	164
in	162
my	162
fix	159
1	157
me	155
must	155
piano	154
what	151
adrone	147
that	147
red	145
right	145
g2	144
y3	143
bad	139
bomb	139
r2	138
trash	138
with	136
y2	136
here	129
can	127
stall	124
do	123
probably	123
i3	120
i4	120
bluff	119
he	119
could	114
finesse	114
get	113
im	113
m4	111
guess	110
blue	108
p3	106
shoulda	106
m3	105
damn	104
we	104
r5	103
then	102
save	101
give	100
hand	100
why	99
dont	95
did	94
gonna	94
has	93
i2	93
g5	92
p4	92
b5	90
fuck	90
green	90
push	89
will	89
:p	88
plz	88
5pp	87
cant	86
hm	85
would	84
out	83
m5	82
5ce	81
how	81
[f]	78
am	78
one	78
positional	78
might	77
sure	76
does	75
playable	75
pull	75
y5	75
m2	74
thinks	74
well	74
at	73
k3/4	71
yellow	71
double	70
played	70
its	69
after	68
i5	68
still	68
cm'd	66
nope	65
any	64
lets	64
chop	63
r1	63
plays	62
g1	61
are	60
i1	60
know	60
p2	60
god	59
hopefully	59
1s	58
instead	58
about	56
all	56
clued	56
looks	56
b1	55
card	55
unclear	55
clues	54
n3	54
utd	54
whoops	54
cmd	51
better	50
eh	50
fishcat	50
missed	50
n5	50
u2	50
damnit	49
huh	49
most	49
okay	49
really	49
2pp	48
also	48
prompt	48
some	48
y1	48
don't	47
see	47
both	46
w4	46
good	45
other	45
turn	45
dumb	44
k2	44
k3	44
need	44
something	44
way	44
kimbi	43
tccm	43
though	43
u5	43
n2	42
p5	42
prompted	42
[cm]	41
up	41
3s	40
either	40
loaded	40
o4	40
seems	40
shit	40
since	40
->	39
def	39
even	39
forgot	39
playing	39
w3	39
want	39
8	38
again	38
assume	38
k4	38
o3	38
sorry	38
thank	38
u3	38
can't	37
doesn't	37
let	37
lose	37
n2/5	37
pink	37
w2	37
when	37
actually	36
bombs	36
brown	36
isnt	36
time	36
5s	35
:(	35
g2->	35
possibly	35
scream	35
super	35
touch	35
dda	34
feel	34
slot	34
cause	33
game	33
going	33
point	33
shouldnt	33
thought	33
too	33
2s	32
figure	32
had	32
m1	32
nvm	32
very	32
work	32
an	31
o2	31
piper	31
supposed	31
these	31
u4	31
4s	30
been	30
by	30
makes	30
n1	30
got	29
hope	29
make	29
perhaps	29
because	28
cards	28
lost	28
nice	28
discarded	27
given	27
i'm	27
wanna	27
wtf	27
bye	26
discuss	26
gm	26
lhs	26
null	26
suppose	26
u1	26
uh	26
wrong	26
2save	25
3pp	25
another	25
critical	25
curious	25
dunno	25
finessed	25
go	25
multi	25
n4	25
tempo	25
trust	25
anymore	24
lpc	24
mean	24
o1	24
only	24
presumably	24
read	24
t4	24
which	24
fucked	23
locked	23
m2/5	23
please	23
stale	23
unless	23
unlikely	23
before	22
fixme	22
focus	22
later	22
risk	22
take	22
were	22
y2->	22
b4e->	21
didn't	21
down	21
elim	21
fault	21
haha	21
muddy	21
technically	21
there	21
yes	21
blind	20
first	20
hoping	20
lvl	20
omni	20
oop	20
purple	20
r3->	20
r5->	20
reclue	20
safe	20
try	20
woah	20
4pp	19
b3->	19
confused	19
coulda	19
may	19
more	19
needed	19
over	19
p1	19
wanted	19
yeah	19
yup	19
color	18
doing	18
gotta	18
hard	18
ill	18
isn't	18
never	18
next	18
tell	18
theres	18
w5	18
works	18
y	18
100%	17
already	17
anyway	17
bluffed	17
cannot	17
clearly	17
didnt	17
ever	17
garbage	17
knows	17
look	17
much	17
nocm	17
pretty	17
same	17
us	17
y4->	17
5stall	16
b5->	16
certain	16
exactly	16
fixed	16
g3->	16
jesus	16
o5	16
shoot	16
stop	16
suspect	16
t2	16
t5	16
unecessary	16
wasn't	16
white	16
--	15
99%	15
ambig	15
ambiguous	15
being	15
cluing	15
context	15
discarding	15
draw	15
g3/4	15
k1	15
kyle	15
layered	15
off	15
ptd	15
r2->	15
r4->	15
sarcastic	15
worth	15
:)	14
?	14
b2->	14
b2e->	14
black	14
early	14
ejection	14
enough	14
g	14
generation	14
gotten	14
hahaha	14
happening	14
huxley	14
important	14
interesting	14
into	14
k5	14
keep	14
last	14
least	14
line	14
moved	14
oops	14
promised	14
r	14
w1	14
woulda	14
...	13
b	13
b3/4	13
clear	13
duplicate	13
gets	13
immediately	13
k	13
long	13
say	13
t1	13
than	13
tho	13
y1->	13
your	13
a3	12
almost	12
back	12
bitch	12
bottom	12
come	12
done	12
everything	12
forget	12
g5->	12
incase	12
inversion	12
n2->	12
n4/5	12
needs	12
notes	12
plus	12
pulled	12
question	12
r3/4	12
reverse	12
saved	12
schark	12
single	12
suck	12
t3	12
t4->	12
udd	12
unfortunate	12
wasnt	12
weird	12
woop	12
