Note	Frequency (18737 in total)
f	1170
save	890
plays	566
cm	557
5	254
play	226
b3	217
1	211
b2	206
r3	201
r2	198
r4	191
2	189
4	186
3	184
g2	181
b4	175
g3	167
y3	152
g4	151
y2	146
not	144
b1	142
i	141
r1	136
no	133
stall	128
y4	121
this	119
y1	116
g1	114
ocm	102
b5	101
g5	99
pri	96
i2	85
i3	83
p3	82
x	82
or	80
r5	78
lpc	77
p2	75
y5	74
bluff	72
fix	70
m3	70
p4	68
pos	66
i4	61
m1	60
to	60
maybe	59
think	59
m2	56
utd	56
clue	54
be	53
udd	53
3bl	49
here	49
i5	48
tcm	48
p1	45
sdcm	45
i1	44
m4	44
is	43
p5	43
b	42
it	42
pulls	41
as	40
pull	40
w2	40
why	40
g	39
gd	39
2/3	37
a	37
please	37
bomb	36
n2	36
p	36
r2f	36
w3	36
b3f	35
but	35
4db	34
by	34
w4	32
was	32
bl	31
5ce	30
amb	30
blue	30
looks	30
n5	30
o2	30
of	30
kt	29
lhs	29
m5	29
y3f	29
5cm	28
k2	28
ok	28
wait	28
b2f	27
green	27
n3	27
dda	26
e	26
finesse	26
missed	26
n4	26
g2f	25
o3	25
red	25
actually	24
b4f	24
dupe	24
level	24
the	24
y2f	24
context	23
d	23
discard	23
draw	23
g3f	23
have	23
o4	23
tp	23
hmm	22
n1	22
r3f	22
t3	22
k3	21
prob	21
db	20
grr	20
o1	20
on	20
:)	19
c	19
for	19
in	19
2save	18
ch	18
if	18
me	18
oh	18
p2f	18
still	18
conf	17
could	17
m2f	17
now	17
r4f	17
should	17
sigh	17
what	17
y4f	17
1's	16
=>	16
do	16
g3df	16
guess	16
hand	16
lf	16
r3df	16
save(b4)	16
save(g2)	16
so	16
from	15
k4	15
k5	15
needed	15
t2	15
t4	15
thing	15
y3bl	15
yellow	15
after	14
can	14
g4f	14
my	14
save(r2)	14
save(y2)	14
save(y4)	14
stale	14
u1	14
chance	13
chop	13
cm(y4)	13
df	13
did	13
might	13
r5f	13
reclue	13
save(g3)	13
though	13
umm	13
w1	13
yes	13
b3df	12
fill	12
p4df	12
possible	12
probably	12
redist	12
save(b2)	12
save(g4)	12
save(p4)	12
x2	12
5)	11
:(	11
cant	11
charm	11
first	11
g2/3	11
how	11
o5	11
oops	11
r	11
r4df	11
skip	11
slot	11
tb	11
tccm	11
u3	11
with	11
x3	11
y2lf	11
3bluff	10
actual	10
does	10
gen	10
i3f	10
instead	10
inv	10
it's	10
known	10
likely	10
locked	10
nope	10
null	10
ool	10
p3f	10
p4f	10
save(r4)	10
trash	10
utp	10
?	9
b4df	9
dont	9
double	9
elim	9
i2f	9
k1	9
ocm(b3)	9
other	9
prompt	9
push	9
r2/3bl	9
r3bl	9
r3p	9
t1	9
that	9
thinks	9
too	9
u2	9
u4	9
w5	9
we	9
y3df	9
(b3)	8
1cm	8
5's	8
a4	8
b4lf	8
bad	8
cm(y3)	8
didn't	8
duped	8
g2lf	8
given	8
loaded	8
one	8
potential	8
r2/3	8
save(r3)	8
stomp	8
would	8
x1	8
y	8
!b	7
!g	7
2nd	7
all	7
allowed	7
and	7
b2lf	7
b4pf	7
brown	7
card	7
clued	7
cm(b4)	7
cm(g3)	7
cm(r4)	7
crit	7
dup	7
g3bl	7
griff	7
hope	7
like	7
n2f	7
nice	7
ocm(x5	7
out	7
p2/3	7
r3lf	7
r3pf	7
s3	7
save(m2)	7
shouldn't	7
there	7
well	7
wrong	7
y4df	7
(g2)	6
(y4)	6
3b	6
8	6
at	6
b2/3bl	6
b3bl	6
b4e>>>	6
bbg	6
because	6
board	6
clues	6
cm(g4)	6
delay	6
expected	6
fake	6
g2/3bl	6
g3lf	6
g4)	6
g4save	6
game	6
gonna	6
good	6
great	6
had	6
higher	6
k	6
know	6
l5	6
lol	6
ocm(g4)	6
ocm(g5)	6
opc	6
played	6
pri(ool)	6
prompts	6
purple	6
r2>>>	6
r2lf	6
r3)	6
resolved	6
save(k3)	6
save(k4)	6
save(y3)	6
t2lf	6
t5	6
utd(y1)	6
w	6
when	6
wow	6
x5	6
y2/3	6
y3fp	6
y3lf	6
yeah	6
!5	5
!p	5
(g3)	5
(ool)	5
2/1	5
3/2	5
4's	5
8cs	5
<3	5
a3	5
b2/3	5
b2e	5
bdr	5
bombed	5
both	5
bp	5
can't	5
cf	5
cm(b3)	5
doesn't	5
early	5
end	5
even	5
f(amb)	5
false	5
fixed	5
focus	5
fp	5
g4df	5
g4pf	5
give	5
i5f	5
interesting	5
just	5
l4	5
ld	5
m3f	5
meant	5
need	5
ntp	5
ocm2	5
only	5
ool)	5
pace	5
pink	5
r2e	5
reverse	5
rg	5
right	5
save(2/5)	5
save(a2)	5
save(b3)	5
save/stall	5
sorry	5
strike	5
sub	5
that's	5
then	5
they	5
time	5
u5	5
w3df	5
yay	5
yet	5
!1	4
!b5	4
!r5>>>	4
(b4	4
(context)	4
(r3)	4
10	4
2's	4
3rd	4
4/3	4
5nd	4
5pull	4
>>>	4
??	4
b4fp	4
b4p	4
b5df	4
been	4
cm(g5)	4
cm(m5)	4
cm(r3)	4
cm(y5)	4
color	4
cont	4
conv	4
cool	4
correct	4
dbl	4
dcm	4
direct	4
duplicate	4
exactly	4
except	4
finesses	4
g1f	4
g2e	4
g3e	4
g3fp	4
g4/5	4
g4tf	4
hard	4
hv	4
i3df	4
intended	4
l2	4
l3	4
layered	4
lhfill	4
lock	4
long	4
m2/3	4
made	4
makes	4
misplay	4
mistake	4
move	4
n3f	4
non	4
normal	4
o2f	4
ocm(b5)	4
ocm(g3)	4
p3pf	4
positional	4
prio	4
r1>>>	4
r3e	4
r4fp	4
r4gd	4
r4pf	4
r4save	4
r4tf	4
rdist	4
really	4
s1	4
same	4
save(i2)	4
save(i3)	4
save(k2)	4
save(m3)	4
save(m4)	4
save(p2)	4
save(p3)	4
save(w4)	4
saved	4
saves	4
seems	4
stall1	4
sure	4
thinking	4
thought	4
turn	4
twice	4
u	4
u2pos	4
u3pos	4
way	4
white	4
work	4
xo	4
y4fp	4
y5f	4
!r	3
!y	3
(b2)	3
(b4)	3
(g4)	3
(i2)	3
(level	3
(m3	3
(m3)	3
(or	3
(r4)	3
(y2)	3
1's?	3
2)	3
2bl	3
3's	3
3/5	3
4)	3
4/5	3
5/4	3
5stall	3
6	3
;)	3
???	3
a1	3
