Note	Frequency (50978 in total)
f	7709
[f]	2893
cm	1324
5	1042
not	803
3	801
i	773
[cm]	770
2	680
4	580
r3	456
kt	452
this	445
r2	399
b2	397
g3	392
b3	390
r4	374
or	373
g2	368
maybe	367
play	363
g4	345
b4	339
to	334
y3	331
probably	330
save	328
should	316
is	307
y4	302
why	300
prompt	291
prio	285
y2	275
have	274
1	268
it	267
be	249
clue	238
a	222
oh	221
like	216
by	213
m2	211
was	204
m3	202
here	200
bluff	189
i3	186
guess	185
i2	184
b1	179
p3	176
ambig	172
m4	167
g1	166
looks	165
r1	163
of	161
i4	156
the	154
just	153
but	152
if	151
known	151
as	149
off	148
p2	148
p4	148
fixme	146
no	143
think	143
y1	143
sdcm	138
b5	131
my	126
after	125
missed	120
it's	118
can	114
elim	113
m1	113
trash	109
discard	108
r5	108
tccm	106
fix	102
and	101
bad	101
bomb	101
i1	100
g	99
woops	97
so	95
b	94
did	94
g5	91
y	90
n2	87
hopefully	86
r	85
e	84
w3	84
what	84
since	83
now	82
on	81
n3	79
will	79
:)	78
wait	78
playing	77
y5	77
i5	76
for	75
instead	75
sorry	74
m5	73
because	72
finesse	71
k2	71
n4	71
with	71
context	70
do	68
doesn't	67
likely	67
would	66
might	64
could	62
n1	62
o2	62
exactly	61
>	60
damn	59
still	59
w4	59
red	58
then	57
i'm	56
p1	56
better	55
good	55
mistake	55
p5	55
plays	55
that	55
thinks	55
card	54
o3	54
played	53
w2	53
don't	52
done	52
right	52
touch	51
clued	49
k4	49
dda	48
playable	48
pp	48
kimbi	47
look	46
n5	46
p	46
hope	45
kyle	45
k3	44
know	44
other	44
something	44
double	43
how	43
in	43
pink	43
stall	43
me	41
thought	41
wrong	41
baton	40
blue	40
does	40
up	40
didn't	39
he	39
from	38
we	38
certain	37
oop	37
get	36
has	36
lhs	36
lol	36
o4	36
t3	36
what's	36
dupe	35
hesitation	35
neg	34
some	34
weird	34
[f]?	33
t2	33
about	32
gd	32
t4	32
turn	32
:(	31
forgot	31
k1	31
o1	31
really	31
