Note	Frequency (5289 in total)
cm	660
f	486
[cm]	361
i	108
5	107
[f]	95
is	84
this	78
lol	57
not	57
clue	54
a	51
4	50
3	49
it	45
should	40
to	40
b4	36
g2	35
the	35
g2e	33
2	31
b3	31
why	31
be	29
r4	29
g4	28
r3	28
like	27
23	26
have	25
if	25
y4	25
i3	24
i4	24
r3e	24
b2e	23
b2	22
y2e	22
looks	21
g3e	20
r2	20
bomb	19
1	18
g3	18
g4e	18
r4e	18
from	17
or	17
play	17
y5e	17
i2	16
likely	16
but	15
guess	15
probably	15
as	14
card	14
do	14
i5	14
m3	14
m4	14
r2e	14
for	13
i2e	13
p3	13
playable	13
bluff	13
don't	12
known	12
my	12
y2	12
b5	11
can	11
doesn't	11
he	11
it's	11
kimbi	11
oops	11
p4e	11
r5	11
red	11
was	11
y1e	11
y3	11
y5	11
b3e	10
b4e	10
finesse	11
g5	10
hope	10
just	10
might	10
slot	10
sure	10
you	10
(or	9
and	9
b1	9
better	9
discard	9
double	9
i'm	9
nvm	9
p2e	9
p4	9
playing	9
since	9
w1e	9
34	8
b5e	8
didn't	8
fix	8
g5e	8
p2	8
played	8
thought	8
trash	8
weird	8
y3e	8
!r4	7
could	7
fixme	7
i3e	7
i4e	7
know	7
of	7
think	7
w	7
25	6
before	6
cluing	6
dang	6
green	6
hmm	6
n3	6
omg	6
on	6
p1e	6
p5e	6
please	6
r	6
something	6
spooky	6
turn	6
with	6
y1	6
!b	5
!r2g1b2i1l2	5
24	5
?	5
a3e	5
blocking	5
forgot	5
g1	5
important	5
kakashi	5
kt	5
lhs	5
mb	5
no	5
okay	5
save	5
she	5
so	5
sorry	5
tempo	5
that	5
we	5
would	5
y	5
!g	4
(weak)	4
45	4
5ce	4
:(	4
:d	4
are	4
b4r4e	4
believe	4
blue	4
cluable)	4
coming	4
does	4
ejection	4
get	4
going	4
got	4
how	4
iguess	4
in	4
killing	4
lolol	4
m2	4
need	4
notice	4
o1	4
ohh	4
p5	4
purple	4
r23	4
then	4
too	4
w5e	4
wait	4
weak	4
work	4
wrong	4
zam	4
!g3	3
!m5	3
!r3	3
(since	3
a4e	3
a5e	3
ambi	3
an	3
b	3
bad	3
bm23	3
brown	3
by	3
can't	3
charm	3
clued	3
cm'ed	3
fast	3
g	3
g1e;	3
giving	3
good	3
gotten	3
here	3
his	3
hmmm	3
hopefully	3
i1	3
i45e	3
i5e	3
illegal	3
k5	3
katian	3
kill	3
l4	3
let	3
let's	3
lie	3
m23	3
m3e	3
m5	3
nice	3
o3	3
o4	3
o5e	3
pass	3
piano	3
pink	3
r1	3
r5e	3
rip	3
science	3
see	3
shouldn't	3
some	3
someone	3
still	3
supposed	3
t21:	3
t3	3
tp3e	3
u2e	3
very	3
w2	3
we're	3
when	3
yellow	3
