Note	Frequency (96965 in total)
[f]	16991
[cm]	12353
f	5068
4	3186
2	3085
5	3067
3	3051
1	2292
kt	1625
cm	1520
->	1480
r	1273
b	1239
g	1196
y	784
i	716
r2	619
34	594
b2	577
g2	568
45	532
r3	532
b3	492
345	484
2345	473
g3	441
y2	421
23	401
b1	389
b4	385
m	375
p	365
y3	343
g1	333
g4	333
clue	328
a	327
r4	324
r1	323
i2	318
w	313
234	307
this	298
fix	292
here	282
or	262
not	260
y4	259
i3	253
maybe	244
should	235
y1	229
to	216
it	209
m2	202
i4	192
m3	190
why	188
p2	187
?	184
is	178
p3	158
3g	150
p1	148
35	147
have	147
play	144
2r	143
3b	142
i1	141
2y	140
3r	139
m1	137
24	134
25	133
m4	130
playable	130
g5	129
better	128
t	128
2g	127
discard	127
4b	125
2b	124
k	122
b5	121
no	119
o2	117
p4	116
4r	115
!g	113
the	112
i5	109
r5	108
oh	106
!b	105
245	102
4g	101
you	101
!r	100
!y	100
m5	100
ok	100
red	99
o3	98
n2	97
t2	97
be	96
2m	91
3i	91
3y	90
can	90
for	89
o	87
t3	86
bad	85
blue	85
235	84
5r	84
1b	83
1r	83
n3	83
y5	83
w2	81
n5	80
rg	80
rb	79
it's	78
bomb	76
gb	76
4i	75
known	75
2i	74
was	73
green	72
w3	72
3m	69
4y	69
instead	68
n1	68
wtf	68
o4	67
1g	66
do	66
n	66
1y	65
5g	65
lol	63
missed	63
oops	63
rip	61
!p	60
t1	60
yellow	60
1m	59
4m	59
5b	59
5y	59
but	59
what	59
5i	58
and	58
could	58
2p	57
of	57
finesse	56
s	56
shit	56
t4	56
don't	55
k2	55
looks	55
crap	54
l	53
p5	53
n4	52
bluff	51
save	51
so	51
w4	51
yb	51
5m	50
o1	49
by	48
just	48
prio	48
3p	47
forgot	47
if	47
me	47
yg	47
like	46
ry	45
w1	45
wrong	45
that	44
12	43
c	43
!1	42
nope	42
now	42
on	42
015	41
sorry	41
u5	40
af	39
!3	38
??	38
color	38
trash	37
we	37
1p	36
1i	35
how	35
t5	35
think	35
!2	34
4p	34
because	34
bp	34
br	34
from	34
o5	34
will	34
yr	34
3w	33
ah	33
k3	33
didn't	32
15	30
2n	30
5p	30
are	30
important	30
one	30
with	30
as	29
did	29
gd	29
gr	29
l3	29
mb	29
in	28
too	28
2o	27
get	27
k1	27
know	27
mistake	27
played	27
k4	26
shouldn't	26
wait	26
clued	25
d	25
good	25
ri	25
sure	25
2w	24
doesn't	24
need	24
u3	24
again	23
ambiguous	23
boom	23
gp	23
hmm	23
nice	23
u1	23
yp	23
5n	22
actually	22
c3	22
cmed	22
guess	22
l2	22
rp	22
u4	22
3o	21
bg	21
give	21
he	21
pink	21
tempo	21
time	21
trust	21
when	21
!y4	20
14	20
bi	20
dda	20
ocm	20
promised	20
really	20
t10	20
would	20
yeah	20
!i5	19
!r5	19
1n	19
3n	19
5o	19
???	19
at	19
clues	19
likely	19
slot	19
!g5	18
!m	18
c2	18
cards	18
does	18
focus	18
fuck	18
great	18
i'm	18
illegal	18
k5	18
let	18
lvl	18
most	18
my	18
something	18
t13	18
t20	18
u2	18
wanted	18
!b5	17
:p	17
card	17
come	17
g2e	17
gy	17
make	17
prompt	17
t14	17
t6	17
t7	17
t8	17
thinks	17
variant	17
work	17
b4e	16
might	16
purp	16
purple	16
s2	16
t11	16
what's	16
white	16
!m5	15
125	15
4ge	15
5ce	15
5k	15
[r3]	15
a1	15
another	15
gi	15
playing	15
rm	15
stall	15
useless	15
w5	15
!	14
!n5	14
!rb	14
4w	14
a3	14
about	14
can't	14
discarded	14
eject	14
elim	14
hope	14
knew	14
l4	14
phantom	14
want	14
!i	13
13	13
1o	13
2be	13
2k	13
3k	13
a2	13
all	13
chris	13
cluing	13
knows	13
more	13
off	13
prioed	13
pull	13
quack	13
smart	13
utd	13
weird	13
who	13
your	13
!rg	12
123	12
2t	12
4n	12
[y2]	12
been	12
blaze	12
chop	12
context	12
early	12
even	12
first	12
fresh	12
loaded	12
losing	12
t12	12
t21	12
t25	12
tf	12
touch	12
up	12
use	12
ygb	12
!12	11
!4	11
1w	11
4o	11
:	11
bombing	11
done	11
down	11
exactly	11
g2m1	11
g34	11
kill	11
many	11
mel	11
please	11
r3e	11
read	11
reclue	11
than	11
wg	11
worst	11
!b4	10
!by	10
!g3	10
!t	10
4be	10
b5e	10
ba	10
blindplay	10
bm	10
choice	10
game	10
gm	10
gotten	10
gw	10
l1	10
lpc	10
m23	10
m2e	10
merde	10
rw	10
s1	10
s4	10
same	10
see	10
still	10
t17	10
thought	10
y2e	10
y34	10
y4e	10
yk	10
3l	9
3t	9
[5]	9
[r4]	9
[y3]	9
b23	9
b2m1	9
bw	9
c4	9
classic	9
gk	9
plays	9
r23	9
rk	9
ryb	9
s3	9
scream	9
stale	9
t18	9
tccm	9
used	9
wasn't	9
works	9
!g4	8
!p3	8
!p5	8
!r3	8
!r4	8
!w	8
...	8
0	8
1234	8
32	8
4t	8
5cm	8
>	8
[b4]	8
[g3]	8
after	8
b2>	8
best	8
bj	8
bk	8
brown	8
c1	8
charm	8
discarding	8
g23	8
go	8
had	8
idea	8
last	8
m1g2	8
m345	8
needs	8
o34	8
pas	8
possible	8
start	8
stomping	8
t23	8
t27	8
t9	8
take	8
ti	8
trying	8
waste	8
where	8
wr	8
!5	7
!b3	7
!bg	7
!ry	7
!y2	7
!y3	7
-->	7
145	7
1k	7
2a	7
3be	7
3ge	7
4a	7
4db	7
4k	7
4rb	7
4rg	7
5s	7
[4]	7
[b2]	7
[cm]?	7
[f]?	7
[fix]	7
[g1]	7
[g2]	7
[r2]	7
a4	7
any	7
apparently	7
b3e	7
dupe	7
duping	7
g1e	7
gives	7
got	7
hard	7
has	7
hello	7
hey	7
i2y4	7
indego	7
je	7
kekw	7
killed	7
look	7
m1b2	7
m25	7
m34	7
m45	7
move	7
neg	7
never	7
nvm	7
prism	7
punished	7
py	7
r1e	7
r2m3	7
r34	7
rgb	7
stupid	7
t15	7
t19	7
wb	7
well	7
y2>	7
yes	7
yi	7
!gy	6
!m2	6
!y5	6
01	6
134	6
1s	6
21	6
3c	6
3re	6
4gb	6
50	6
54	6
5pull	6
5u	6
[p2]	6
ab	6
afraid	6
already	6
an	6
baton	6
bombs	6
doing	6
double	6
dumb	6
easy	6
everywhere	6
fan	6
frosty	6
g2->	6
g23i3	6
g24	6
ga	6
hmmm	6
hopefully	6
horrible	6
ig	6
isn't	6
legal	6
lel	6
lie	6
lt	6
meh	6
notes	6
only	6
p2>	6
pb	6
pg	6
pr	6
pretty	6
r2e	6
r4e	6
sense	6
seriously	6
shadow	6
soon	6
stomp	6
stuff	6
such	6
sucks	6
t16	6
t24	6
t3e	6
tcm	6
though	6
totally	6
very	6
vtk	6
write	6
wth	6
y05	6
!bp	5
!br	5
!k1	5
!o3	5
!pr	5
!yp	5
->]	5
31	5
321	5
34g	5
3ri	5
3rp	5
3yb	5
4re	5
4ye	5
[b3]	5
[g4]	5
[i3]	5
ag	5
always	5
arf	5
b1i4	5
b3->	5
b34	5
before	5
being	5
believe	5
big	5
blocking	5
con	5
d3	5
de	5
dramos	5
draw	5
efficiency	5
ffs	5
finessed	5
g10	5
gets	5
i'll	5
i45	5
il	5
imo	5
isa	5
keep	5
kevin	5
killing	5
l5	5
locked	5
m234	5
makes	5
markus	5
matches	5
missclick	5
missclicked	5
much	5
note	5
nothing	5
ns	5
null	5
onen	5
opc	5
p4->	5
putain	5
r2->	5
r24	5
r2i1	5
r2m1	5
ra	5
rank	5
ryp	5
rz	5
sad	5
sadge	5
saving	5
scb	5
self	5
since	5
someone	5
t30	5
t33	5
t38	5
technically	5
that's	5
thx	5
tu	5
u45	5
understand	5
unnecessary	5
us	5
y3e	5
yet	5
yw	5
!!	4
!3i	4
!3y	4
!b2	4
