Note	Frequency (125489 in total)
[cm]	14583
[f]	13799
f	5765
5	4277
3	3484
4	3374
2	3059
e	2877
kt	2446
1	1785
=>	1285
g	1203
b	1186
r	1128
this	1034
cm	997
i	943
tcm	912
y	901
not	820
sdcm	695
a	669
g3	646
5cm	635
g2	623
r2	595
is	574
b3	551
r3	551
b2	546
g4	523
b4	519
why	517
off	514
looks	500
r4	497
be	495
y2	471
p	451
ocm	447
y3	446
m	444
i3	441
23	409
y4	394
i2	377
should	377
45	371
i4	365
!1	338
known	335
34	331
maybe	328
w	313
m3	308
b1	305
lol	303
r1	296
elim	295
r5	295
no	289
clue	287
g1	284
prio	280
as	267
m2	265
nope	265
play	259
bluff	256
missed	251
g5	250
i5	245
o	243
tccm	238
y1	237
stall	235
soft	229
to	229
fix	227
like	226
b5	223
!b	222
y5	212
p2	211
for	209
m4	208
m5	208
o2	207
lhs	206
!g	204
p3	202
o4	195
discard	192
i1	192
!r	191
o3	191
p4	190
from	188
2b	187
but	186
if	186
likely	185
!y	183
!2	181
bomb	179
idk	176
3b	174
k	174
might	172
finesse	170
can	169
please	168
save	163
3g	159
the	158
2g	153
fixme	152
it	151
mistake	151
thinks	148
trash	145
2r	139
3r	138
nice	138
35	137
m1	137
guess	136
fixed	135
have	134
?	132
o5	126
4g	125
or	121
3y	119
n2	119
unclued	119
ambig	115
was	115
25	113
4b	113
4r	113
dda	111
how	111
oh	111
2y	110
n3	109
will	109
here	107
t	106
fuck	105
kekw	105
lpc	105
prob	105
!12	104
p1	104
does	103
[r2]	102
scream	101
!p	100
[g2]	99
4y	98
[y2]	97
so	97
24	96
probably	96
???	95
[g3]	94
you	94
[5]	93
n5	93
1b	90
o1	90
sadge	90
!i	89
bad	89
on	89
p5	89
[b2]	87
1g	84
5g	84
lul	84
3p	81
[r3]	81
did	81
red	81
do	80
dupe	80
now	80
[b3]	78
don't	78
of	78
2m	77
in	77
[g1]	75
wrong	75
5b	74
[4]	74
he	74
[r1]	73
n4	72
that	72
:/	71
could	71
my	71
promised	71
tocm	71
w2	71
345	70
would	70
2p	69
ok	69
think	68
k3	67
exactly	66
3m	65
nocm	65
4p	64
just	64
me	64
t4	64
very	64
:p	63
echo	63
1r	62
[b1]	62
important	62
[y1]	61
with	61
wtf	61
1y	60
blue	60
context	59
most	59
!5	58
[b4]	58
hmmmm	58
played	58
safe	58
t3	58
!3	56
layered	56
n1	56
oops	56
ptd	56
self	56
t2	56
5r	54
[y3]	54
clued	54
rb	54
what	54
4m	53
hmmm	53
trust	53
!m	52
5y	52
[p3]	52
better	52
card	52
good	52
and	51
c	51
l	51
rg	51
risk	51
after	50
look	50
pull	50
playable	49
5m	48
[g4]	48
1m	47
k4	47
utd	47
we	47
certain	46
gb	46
give	46
!o	45
m234	45
ry	45
w4	45
yb	45
yellow	45
yg	45
hope	44
2i	43
????	43
game	43
hes	43
because	42
know	42
oop	42
rip	42
5p	41
[3]	41
[r4]	41
at	41
k2	41
l2	41
possible	41
prompt	41
t1	41
wow	41
[p2]	40
gd	40
has	40
hopefully	40
perhaps	40
since	40
sus	40
t1:	40
234	39
a3	39
bombs	39
d	39
l3	39
illegal	38
m34	38
nvm	38
g23	37
kinda	37
mel	37
playing	37
strong	37
!4	36
4i	36
[y4]	36
by	36
hard	36
more	36
notes	36
pink	36
