Note	Frequency (27356 in total)
f	1440
[f]	1178
[cm]	1117
i	762
cm	733
to	601
this	493
the	476
not	415
a	406
is	373
it	313
clue	296
have	244
be	242
play	211
and	198
on	194
but	191
if	190
that	178
should	153
5	149
kt	149
it's	145
of	145
so	145
was	142
probably	140
think	138
maybe	136
2	134
just	132
1	127
b3	127
likely	125
discard	122
in	119
or	119
for	117
g3	117
g2	115
3	113
g4	108
4	107
r2	106
slot	105
b2	102
guess	102
p4	102
we	102
don't	101
me	99
my	99
p3	96
r3	96
y3	96
florrat	95
since	94
here	89
y4	88
can	87
r4	86
b4	85
finesse	80
no	80
like	78
seems	78
y2	78
why	77
would	77
one	76
g5	73
p2	73
could	72
from	70
do	69
ok	69
oh	66
get	65
i'm	64
r5	63
lol	62
with	62
as	61
trash	61
save	59
what	59
bluff	58
stephen	58
turn	57
you	57
g1	56
green	56
playing	56
then	56
about	55
b1	54
y1	54
really	53
b5	52
card	52
fix	52
bad	51
because	51
given	51
red	51
when	51
has	50
didn't	48
now	48
than	47
r1	46
y5	46
right	45
yellow	43
even	42
read	42
blue	41
can't	41
never	40
well	40
after	39
hand	39
he	38
m2	38
at	37
other	37
m3	36
more	36
an	35
clues	35
hm	35
playable	35
better	34
give	34
purple	34
supposed	34
ctx	33
m4	33
double	32
p5	32
actually	31
also	31
cluing	31
doesn't	31
exactly	31
good	31
into	31
o3	31
p1	31
cards	30
dupe	30
very	30
will	30
isn't	29
prio	29
wait	29
i3	28
misplay	28
prob	28
first	27
had	27
how	27
want	27
game	26
i4	26
looks	26
out	26
plays	26
take	26
chop	25
hope	25
know	25
see	25
-1	24
clued	24
colour	24
there	24
by	23
ever	23
i2	23
line	23
rather	23
rax	23
still	23
tempo	23
touch	23
zam	23
are	22
positional	22
too	22
weird	22
last	21
stall	21
am	20
chance	20
draw	20
nice	20
off	20
shouldn't	20
there's	20
we're	20
enough	19
kind	19
m1	19
m5	19
o4	19
t4	19
that's	19
trying	19
always	18
discarding	18
fuck	18
going	18
let	18
sure	18
time	18
unlikely	18
wasn't	18
1s	17
all	17
been	17
does	17
important	17
nomercy	17
try	17
y	17
choice	16
did	16
focus	16
nm	16
only	16
played	16
quite	16
something	16
surely	16
way	16
which	16
any	15
both	15
critical	15
instead	15
k4	15
make	15
mistake	15
o1	15
o2	15
over	15
t3	15
work	15
wtf	15
definitely	14
florrat's	14
gonna	14
i1	14
look	14
lose	14
makes	14
p	14
risky	14
second	14
t2	14
two	14
w2	14
w4	14
works	14
another	13
assume	13
black	13
case	13
dda	13
free	13
hmm	13
k1	13
k2	13
lack	13
priority	13
r4>	13
reclue	13
some	13
u	13
valetta	13
w5	13
+	12
context	12
feels	12
gets	12
immediately	12
interp	12
known	12
may	12
might	12
need	12
next	12
otherwise	12
pretty	12
tell	12
uh	12
up	12
w3	12
where	12
wouldn't	12
your	12
1-for-1	11
:)	11
ah	11
before	11
being	11
bit	11
blindplay	11
discarded	11
doing	11
feel	11
k3	11
later	11
p3>	11
point	11
reverse	11
same	11
slightly	11
though	11
unless	11
unsure	11
weak	11
y2>	11
zamiel	11
-.-	10
6	10
8	10
b	10
check	10
correct	10
discards	10
expected	10
i'll	10
kinda	10
literally	10
move	10
o5	10
ocm	10
order	10
r	10
risk	10
sense	10
she	10
stephen's	10
these	10
w1	10
yeah	10
yolo	10
5;	9
?	9
???	9
again	9
already	9
around	9
crit	9
finessed	9
go	9
hard	9
huh	9
i5	9
lie	9
mean	9
means	9
missed	9
much	9
must	9
possible	9
rainbow	9
suit	9
tbh	9
u3	9
y23	9
7	8
anyway	8
back	8
clearer	8
competition	8
early	8
got	8
having	8
him	8
hint	8
his	8
knows	8
left	8
lmao	8
n2	8
nothing	8
oof	8
p4>	8
prompt	8
r23	8
rank	8
respect	8
safe	8
say	8
strong	8
suspect	8
taken	8
taking	8
trust	8
turns	8
us	8
what's	8
worried	8
worth	8
wrong	8
-1/b	7
-3	7
-p	7
100%	7
34	7
b23	7
b4>	7
believe	7
considered	7
copy	7
elim	7
else	7
exists	7
extra	7
forgot	7
g	7
g3>	7
giving	7
hmmm	7
i'd	7
idk	7
making	7
many	7
misplaying	7
once	7
p23	7
p2>	7
promised	7
regardless	7
respecting	7
self	7
shit	7
signal	7
single	7
start	7
suggests	7
suppose	7
thinks	7
thought	7
true	7
use	7
were	7
wonder	7
worst	7
17	6
5s	6
anything	6
away	6
b2>	6
b3>	6
blocked	6
blocking	6
bomb	6
cannot	6
cmed	6
cming	6
consider	6
curious	6
declined	6
defer	6
draws	6
either	6
evidence	6
except	6
figure	6
gentleman's	6
hesitation	6
k5	6
kekw	6
less	6
locked	6
mercy	6
most	6
n4	6
normally	6
nvm	6
our	6
pink	6
position	6
possibly	6
potential	6
presumably	6
punished	6
r2>	6
r45	6
r5>	6
reason	6
strike	6
surprised	6
t	6
val	6
whoa	6
whole	6
won't	6
worse	6
wow	6
you're	6
-2	5
-2/g	5
-2/r	5
-3/y	5
15	5
18	5
22	5
25	5
52	5
:^)	5
_probably_	5
against	5
almost	5
b34	5
between	5
big	5
buh	5
called	5
clear	5
clueable	5
color	5
confident	5
confusion	5
earlier	5
efficiency	5
elevated	5
expect	5
g2>	5
g4>	5
g5>	5
getting	5
gy	5
hate	5
hopefully	5
immediate	5
interpreted	5
knowing	5
least	5
let's	5
longer	5
lot	5
matter	5
monkas	5
myself	5
n3	5
nonzero	5
obvious	5
p34	5
part	5
pass	5
plus	5
pog	5
potentially	5
r3>	5
retroactively	5
saying	5
scared	5
scenario	5
scream	5
sequence	5
shift	5
telling	5
three	5
timing	5
timo	5
w	5
win	5
xd	5
y1>	5
y34	5
yet	5
-1/g	4
-2/p	4
-4/x	4
...	4
0	4
14	4
3/r	4
32	4
3s	4
5ce	4
:d	4
_think_	4
a4	4
adrone	4
arbitrary	4
available	4
b45	4
b5>	4
basically	4
best	4
bizarre	4
bluffing	4
bruh	4
calling	4
clearly	4
clueable>	4
compared	4
confidence	4
confused	4
considering	4
contextual	4
convention	4
couldn't	4
dawn	4
die	4
different	4
discharge	4
down	4
drew	4
dunno	4
duping	4
ejection	4
esp	4
especially	4
fine	4
fucked	4
fucking	4
g1>	4
god	4
gotten	4
gp2	4
guaranteed	4
hoping	4
huge	4
imo	4
information	4
keep	4
layered	4
lets	4
lib	4
little	4
lock	4
locking	4
lost	4
low	4
m23	4
mind	4
n5	4
new	4
occupied	4
often	4
oops	4
opening	4
page	4
perfect	4
plan	4
player	4
quack	4
rb	4
reasonable	4
retrospect	4
rip	4
risks	4
round	4
rp	4
ry	4
sad	4
safety	4
sankala	4
set	4
soon	4
strikes	4
strongly	4
suboptimal	4
t1	4
third	4
took	4
touching	4
triple	4
uncertainty	4
understand	4
useful	4
value	4
wasteful	4
wat	4
white	4
without	4
y3>	4
!m2	3
\"free\"	3
-1p	3
-2/b	3
-2/y	3
-b	3
-g(/1)	3
.	3
..	3
10	3
12	3
19	3
1:	3
28	3
2s	3
9	3
??	3
?????	3
a)	3
able	3
allowed	3
allowing	3
ambiguous	3
attempted	3
b)	3
b1>	3
b35	3
b4?>	3
based	3
belief	3
bg	3
bonus	3
brave	3
bw	3
cause	3
certain	3
certainly	3
choose	3
clarity	3
clue;	3
come	3
compelling	3
confusing	3
criticals	3
dear	3
decision	3
