Note	Frequency (18148 in total)
f	920
2	516
3	484
5	425
4	412
i	352
not	307
1	298
->	294
a	265
that	245
to	204
?	200
:	188
play	178
is	175
the	170
g	164
b	161
why	155
no	154
r	152
have	150
kt	150
this	148
it	147
cm	137
was	131
y	131
be	129
clue	126
or	116
save	111
:(	108
you	108
tcm	103
should	102
what	97
ocm	82
r4	82
r3	78
b2	77
p	77
if	76
r2	73
bluff	70
oh	70
b3	68
m2	68
don't	67
5cm	64
blue	64
it's	64
bomb	63
g3	61
b4	60
me	60
:d	59
g2	59
here	59
did	58
m4	58
as	57
my	56
y3	56
and	55
on	55
r1	55
m	54
red	54
do	52
stall	52
3g	51
g4	50
could	49
finesse	49
gd	49
green	49
one	49
3b	48
of	48
-.-	47
discard	47
m3	47
y2	47
think	46
4b	45
prob	45
right	45
trash	45
o_o	44
2b	42
b1	41
but	41
m5	41
now	41
that's	41
from	40
g1	40
hmm	40
instead	40
3r	39
for	39
how	39
2r	38
he	38
known	38
2g	37
2y	37
in	37
like	37
would	37
4g	36
maybe	36
other	36
so	36
we	36
3y	35
bad	35
dda	35
playable	35
tccm	35
4r	34
[f]	34
y4	34
??	33
know	33
prio	33
since	33
m1	32
sdcm	32
wait	32
yellow	32
2/3	31
guess	31
:'(	30
fix	30
had	29
4y	28
:/	28
good	28
r5	28
can	27
with	27
ambig	26
b5	26
g5	26
hand	26
i4	26
looks	26
ok	26
2p	25
3/4	25
can't	25
didn't	25
p3	25
y1	25
1r	24
supposed	24
wanted	24
give	23
played	23
fixme	22
going	22
please	22
touch	22
3p	21
[cm]	21
prompted	21
uhhh	21
w	21
card	20
i3	20
4p	19
5b	19
i5	19
need	19
nope	19
when	19
4m	18
>_<	18
[5cm]	18
i2	18
sorry	18
y5	18
1g	17
arg	17
discarded	17
done	17
p2	17
playing	17
probably	17
something	17
will	17
1b	16
5ce	16
because	16
k	16
lvl	16
out	16
p1	16
p4	16
pull	16
there	16
trust	16
1y	15
3m	15
blind	15
cm'd	15
i1	15
well	15
\\o/	14
at	14
n2	14
see	14
space	14
...	13
5g	13
5y	13
???	13
better	13
clued	13
haha	13
just	13
all	12
die	12
doesn't	12
else	12
important	12
make	12
may	12
wasn't	12
[tcm]	11
actually	11
another	11
been	11
has	11
i'm	11
knew	11
let	11
missed	11
oops	11
really	11
she	11
t1	11
thanks	11
1m	10
1p	10
2m	10
bombed	10
cards	10
cluing	10
does	10
get	10
given	10
lpc	10
o	10
only	10
oo	10
p5	10
prompt	10
purple	10
push	10
want	10
wrong	10
your	10
4db	9
5r	9
again	9
anymore	9
before	9
chop	9
color	9
k1	9
layered	9
lhs	9
must	9
next	9
ones	9
still	9
t	9
t20	9
t3	9
t9	9
turn	9
we're	9
which	9
!r	8
2t	8
[ocm]	8
both	8
early	8
elim	8
griff	8
hopefully	8
isn't	8
k3	8
pick	8
same	8
saving	8
scream	8
slot	8
sure	8
t14	8
t15	8
t16	8
t27	8
t32	8
t4	8
touched	8
two	8
uhhhh	8
yes	8
!b	7
2n	7
5p	7
:)	7
[tccm]	7
after	7
are	7
brown	7
cm'd?	7
double	7
first	7
hmmm	7
i'll	7
mistake	7
n4	7
needed	7
plays	7
round	7
sad	7
t13	7
t17	7
t29	7
too	7
uhhhhh	7
up	7
weird	7
woops	7
!y	6
3n	6
3w	6
assume	6
away	6
bluffed	6
bombs	6
burn	6
by	6
crit	6
darn	6
fill	6
fixed	6
focus	6
generation	6
illegal	6
k5	6
locked	6
miss	6
missing	6
n	6
n3	6
nice	6
o.o	6
o5	6
off	6
ohhh	6
over	6
pace	6
point	6
pretty	6
stomp	6
t11	6
t18	6
t25	6
t30	6
then	6
very	6
where	6
work	6
yeah	6
!g	5
!p	5
(i	5
(if	5
(prob	5
4i	5
4w	5
5pull	5
[kt]	5
about	5
allowed	5
anyway	5
bombing	5
clues	5
cool	5
duke	5
hahaha	5
hard	5
her	5
hope	5
k2	5
k4	5
lanvin	5
loaded	5
many	5
nitrate	5
o2	5
o4	5
panic	5
read	5
second	5
steal	5
t19	5
t2	5
t21	5
t24	5
t28	5
t31	5
t36	5
t40	5
t42	5
t5	5
t6	5
take	5
they	5
thought	5
u1	5
uh	5
unnecessary	5
view	5
w4	5
wow	5
yep	5
(but	4
(should	4
0	4
1-for-1	4
10	4
1i	4
1k	4
2k	4
2w	4
3k	4
3t	4
4n	4
8	4
:p	4
????	4
already	4
always	4
am	4
b4)	4
bet	4
certain	4
efficiency	4
finessed	4
finesses	4
g/b	4
g/y	4
gave	4
go	4
great	4
he'll	4
into	4
inversion	4
killed	4
knows	4
last	4
legal	4
level	4
look	4
lost	4
melwen	4
mine	4
misplay	4
more	4
much	4
n5	4
number	4
o3	4
occupied	4
omni	4
pink	4
positional	4
prio'd	4
r/w	4
soon	4
spieler	4
t26	4
t35	4
t44	4
t8	4
than	4
those	4
tomato	4
try	4
u2	4
understand	4
unless	4
utd	4
utp	4
wump	4
yay	4
you're	4
(and	3
(unless	3
+	3
2/4	3
2b/2m	3
3i	3
4/5	3
4t	3
5cm'd	3
5m	3
:d)	3
?!	3
[3]	3
[4]	3
[r5]	3
a1	3
afraid	3
any	3
aqua	3
b/g	3
badly	3
baton	3
beautiful	3
black	3
case	3
clear	3
clueing	3
couldn't	3
crazy	3
cross	3
danger	3
dda)	3
earlier	3
ejection	3
even	3
fault	3
fresh	3
fun	3
game	3
giving	3
hahahaha	3
hehe	3
help	3
indego	3
ish	3
keep	3
later	3
least	3
longer	3
lose	3
luck	3
mango	3
move	3
muddy	3
neg	3
never	3
newduke	3
player	3
prism	3
r/b	3
r/y	3
rah	3
real	3
reason	3
rz	3
saved	3
sees	3
sooo	3
stale	3
t12	3
t22	3
t37	3
t39	3
t41	3
t50	3
t7	3
taken	3
taking	3
technically	3
tempo	3
thank	3
thing	3
thinks	3
trying	3
u3	3
uhhhhhhhhh	3
uhhhhhhhhhhhhhhhhhhhhh	3
us	3
welp	3
were	3
whaaaat	3
whaaat	3
whut	3
win	3
without	3
won't	3
wtf	3
x_x	3
ya	3
yayyyy	3
!!	2
!1	2
(actually	2
(after	2
(b4	2
(b5	2
(even	2
(from	2
(it	2
(maybe	2
(no	2
(not	2
(or	2
(probably	2
(since	2
(why	2
....	2
13	2
1m/2y	2
1n	2
2s	2
2save	2
2x	2
3s	2
4save	2
