Note	Frequency (4544 in total)
f	1000
cm	162
kt	138
[f]	84
not	72
is	63
this	58
play	52
no	45
a	40
or	38
known	37
probably	34
if	32
to	30
g2	29
missed	29
y3	29
be	28
i	28
5	26
r2	26
r3	26
p3	25
trash	24
as	23
r4	23
was	22
b4	21
critical	21
b3	20
but	20
p4	20
b2	19
fix	19
m3	19
should	19
y2	19
y4	19
2	18
clue	18
g3	18
m4	17
p2	17
save	17
?	16
on	16
plays	16
4	15
b1	15
g4	15
obvious	15
it	14
red	14
useful	14
1	13
nvm	13
playable	13
the	13
>	12
now	12
purple	12
blue	11
for	11
likely	11
p1	11
so	11
stall	11
y5	11
bad	10
bluff	10
color	10
could	10
green	10
ambi	9
can	9
error	9
g1	9
m2	9
r1	9
that	9
trust	9
work	9
3	8
discard	8
guess	8
lol	8
maybe	8
my	8
read	8
slot	8
xd	8
b5	7
does	7
elim	7
from	7
good	7
have	7
just	7
m1	7
more	7
multi	7
never	7
seems	7
self	7
well	7
y1	7
bomb	6
choice	6
hand	6
hard	6
hmm	6
important	6
of	6
p5	6
positional	6
prio	6
r5	6
think	6
waits	6
we	6
y3>	6
1s	5
after	5
an	5
and	5
clued	5
context	5
do	5
finesse	5
focus	5
here	5
in	5
lhs	5
like	5
looks	5
may	5
me	5
ok	5
only	5
priority	5
rank	5
tccm	5
too	5
will	5
with	5
wrong	5
yellow	5
(?)	4
3s	4
always	4
b23	4
b2>?	4
better	4
called	4
g4>	4
g5	4
how	4
impossible	4
inversion	4
its	4
layered	4
libster	4
much	4
off	4
plays>	4
possible	4
pr2	4
pull	4
r23	4
rainbow	4
risk	4
same	4
soon	4
t19	4
there	4
though	4
touch	4
(aside	3
(b4	3
(else	3
(g2)	3
(r2)	3
234	3
5cm	3
8	3
:(	3
believe	3
best	3
bombing	3
c3	3
card	3
chop	3
declined	3
delayed	3
double	3
due	3
dupe	3
ever	3
exactly	3
expected	3
first	3
fixed	3
florrat	3
g2>	3
g3>	3
gt	3
he	3
i1	3
i5	3
im	3
know	3
later	3
lime	3
lul	3
m5	3
mistake	3
n1>	3
nice	3
nope	3
notes	3
oh	3
oops	3
over	3
p3>	3
p4)	3
p4>	3
prompt	3
pulled	3
r3>	3
required	3
retroactively	3
scream	3
surely	3
t16	3
t8	3
unlikely	3
until	3
very	3
wait	3
way	3
weak	3
why	3
y23	3
(2/4)	2
(b3)	2
(b4)	2
(but	2
(g1)	2
(known	2
(kt)	2
(m3)	2
(obv)	2
(off)	2
(once	2
(p4)	2
(r3)	2
(r34)	2
(tccm)	2
(y2)	2
2s	2
5ce	2
5s	2
99%	2
???	2
anxiety	2
any	2
are	2
assume	2
assuming	2
b34	2
b3>	2
b4>	2
b4>?	2
b5>	2
back	2
based	2
become	2
being	2
blocked	2
bluffed	2
bombs	2
both	2
bp	2
by	2
calls	2
cannot	2
certain	2
clues	2
considering	2
context)	2
contextually	2
cool	2
copy	2
did	2
discarded)	2
doesnt	2
dont	2
down	2
dumb	2
edge	2
failed	2
fi	2
forgot	2
fuck	2
g23	2
g4)	2
g5>	2
give	2
globally	2
god	2
grey	2
has	2
hint	2
hope	2
hopefully	2
huh	2
ill	2
illegal	2
imo	2
k2	2
k3	2
knows	2
legal	2
lie	2
long	2
look	2
m3>	2
m4>	2
moved	2
must	2
need	2
needed	2
number	2
o1	2
o4	2
odd	2
other	2
own	2
p15)	2
p21	2
p23	2
p2>	2
p5>	2
padi	2
panic	2
pdb	2
pog	2
potentially	2
pr4	2
presumably	2
pretty	2
promised	2
prompts	2
r2>	2
r4>	2
really	2
reverse	2
right	2
rip	2
safe	2
sdcm	2
see	2
some	2
start	2
starters	2
starters>	2
still	2
strange	2
suboptimal	2
sure	2
t12	2
t20	2
t27	2
t3	2
teal	2
technically	2
then	2
thing	2
thinks	2
through	2
time	2
twice	2
uhhh	2
undefined	2
undone	2
unplayable	2
up	2
urgent	2
utd	2
valid	2
when	2
whoops	2
worth	2
wtf	2
x	2
y	2
y4>	2
yep	2
yet	2
#illegal	1
'good	1
(3/5	1
(99%	1
(almost	1
(as	1
(b1)	1
(best	1
(bust)	1
(case	1
(context	1
(could	1
(determinable	1
(early)	1
(excluding	1
(fix	1
(fr)	1
(g2	1
(g3)	1
(g35?)	1
(g4	1
(g4)	1
(g5)	1
(ie	1
(its	1
(m2	1
(m2)	1
(m3y4)	1
(m4)	1
(m5)	1
(michael	1
(mistake	1
(never	1
(not	1
(p2)	1
(p4b4)	1
(pr3)	1
(r1)	1
(r4	1
(r4)	1
(r5)	1
(r5)...	1
(rs15)	1
(rs2)	1
(save	1
(shouldnt	1
(soft	1
(spoilers	1
(technically	1
(trash)	1
(typo)	1
(waits	1
(y3)	1
(y4	1
(y4)	1
(y5)	1
->	1
->confirms	1
.	1
10	1
100%?	1
11	1
1cm	1
2/3	1
2/5	1
2/i	1
21	1
23	1
23(1)	1
3)	1
3-for-1	1
35	1
3s+5	1
4)	1
4/i	1
420	1
4s	1
5)	1
50/50	1
5nd	1
5s>	1
6	1
9	1
95%	1
>no	1
????	1
?????????????	1
[cm]	1
[f]?	1
ability	1
actual	1
actuall	1
additional	1
again	1
agree	1
ahead	1
all	1
allison	1
almost	1
also	1
ambiguous	1
amiright	1
another	1
anymore	1
anyways	1
appears	1
apply	1
argue	1
assholes	1
at	1
attempted	1
available	1
avoid	1
away	1
aww	1
b	1
b1)	1
b1/m3	1
b2/m2	1
b24	1
b2>	1
b3/b4	1
b3/m3	1
b32	1
b3>?	1
b4/m3	1
b4/r4	1
b45	1
b4r4)	1
backfire	1
bad/unnecssary	1
believed	1
bell	1
between	1
big	1
bk3	1
black	1
blaze	1
bluff:	1
bluffs	1
bold	1
boy	1
brown	1
bs/2	1
burn	1
c4	1
cant	1
card'	1
careful	1
case	1
certainly	1
chance	1
chance)	1
cm'd	1
color)	1
comes	1
complciated	1
conflicting	1
consistent	1
contextual	1
continuation	1
conventionally	1
convinced	1
couldnt	1
crap	1
cries	1
dangerously	1
dble	1
deciding	1
deck	1
deemed	1
definitely	1
depends	1
desired	1
determine	1
didnt	1
difficult	1
discarding	1
discards)	1
discharge	1
disect	1
distance	1
distinguish	1
distinguishable	1
done	1
dont)	1
doubtful	1
dual	1
dubious	1
early	1
eat	1
either	1
ejection	1
elimination	1
else	1
enough	1
entertain	1
everyone	1
existed	1
exists	1
experience	1
explains	1
f)	1
fails	1
fear	1
feels	1
finese	1
finesse?)	1
finesseable	1
fixme	1
florrats	1
forced	1
free	1
g1)	1
g1>	1
g23>	1
g24	1
g2s>	1
g3/b3	1
g34	1
g3:	1
g3?)	1
g3?>	1
g4/g5	1
g4/g5?	1
g4m4	1
g5/o1	1
gg	1
given	1
giving	1
global	1
gm2	1
going	1
gotten	1
gr3	1
had	1
happen	1
happening	1
hat	1
hat)	1
hate	1
here's	1
hesistate	1
hesitancy	1
hesitates	1
high	1
hmmm	1
hmmmmm	1
hoping	1
horrendous	1
hunch	1
i1/c5	1
i2	1
i2)	1
i4	1
idea	1
idiot	1
idiot)	1
ignorable	1
ignore	1
illogical	1
immediately	1
imperfect*	1
inaction	1
incase	1
indicative	1
inline	1
instead	1
instructions	1
intended	1
interesting	1
interpreted	1
intuition	1
invalid	1
jump	1
k	1
k1	1
kakashi	1
kidding	1
killed	1
lean	1
left	1
lest	1
live	1
locked	1
locking	1
logic	1
love	1
low	1
lucky	1
m1/(r34)	1
m2)	1
m2/y1	1
m23	1
m24	1
m24)	1
m3/p5	1
m34	1
m3>?	1
m3?i	1
m4(m3)	1
m4/r4	1
m5>	1
make	1
makes	1
matching	1
maybe>	1
means	1
meant	1
messages	1
micerang	1
michael	1
might	1
mis	1
mixed	1
most	1
moves	1
multi?>	1
n2	1
n3	1
nah	1
necessarily	1
neg	1
nevera	1
noinstead	1
nothing	1
nothing>	1
now)	1
o1)	1
o2	1
o23	1
o3>	1
o5	1
oblique	1
obnoxious	1
off)	1
ohhhhhhhhhh	1
omni	1
once	1
oop	1
opc	1
opener	1
openers	1
order	1
otherwise	1
ouch	1
outside	1
overthought	1
p	1
p1?>	1
p34	1
p3>?	1
p3p4	1
p4...right?	1
p4>?	1
p4?>	1
p4m4	1
p4m4m3	1
p5???>	1
passed	1
perfect	1
pg3	1
phew	1
phoenix	1
piano	1
pink)	1
plan	1
plausible	1
playable)	1
