Note	Frequency (79911 in total)
f	7276
[f]	6074
[cm]	3365
cm	2689
kt	1604
g3	1273
r2	1239
r3	1223
g2	1159
b3	1151
b2	1135
r4	1134
5	1109
g4	1106
b4	1092
y3	927
y4	913
y2	892
this	786
g1	682
r1	671
i	649
b1	623
r5	608
is	587
2	562
b5	552
g5	552
m2	533
y1	494
p2	492
not	482
p3	480
m3	472
a	470
i3	464
y5	448
4	446
3	444
i2	442
1	439
i4	418
p4	416
m1	366
m4	366
clue	341
the	287
i5	282
to	282
stall	276
m5	268
p1	251
save	249
or	238
i1	237
it	233
on	226
as	221
p5	221
was	213
g	211
here	210
r	209
play	206
should	201
finesse	200
?	195
trash	188
k4	186
n2	181
bluff	179
m	176
b	175
be	175
n3	175
k	165
no	164
k3	163
k2	158
y	158
w4	156
o2	153
n5	152
fixme	147
like	144
discard	140
n4	139
w3	138
looks	135
p	135
turn	133
n1	131
prompted	127
w2	127
why	124
o4	120
you	117
o3	116
for	112
of	109
bad	104
t3	100
that	100
think	100
if	98
k1	97
have	96
prio	96
r2e	96
my	95
oh	94
prob	94
t2	94
fix	90
blue	89
from	89
o1	89
k5	86
and	84
because	82
maybe	81
g23	80
!	79
so	79
red	77
in	76
r4e	76
t	76
we	76
t4	75
r23	74
what	74
green	73
nope	73
probably	73
dda	72
playable	72
missed	71
b3e	70
would	70
b2e	67
r45	67
me	66
g2e	65
hope	65
b23	64
w1	64
with	64
[gd]	63
b34	63
b4e	63
o5	63
y23	63
n	62
but	61
could	61
prompt	61
can	60
g5e	60
just	60
t1	60
y5e	60
good	59
g45	58
y2e	58
u	57
w5	57
bomb	56
will	56
a4	55
does	55
b45	54
g34	54
played	54
guess	52
k34	52
:	51
a3	51
double	51
r3e	51
by	50
r34	50
touch	50
know	49
pablo	49
a2	48
he	48
j	48
lhs	48
pull	48
bye	47
g3e	47
lol	47
w	47
b5e	46
do	46
its	46
m23	46
one	46
get	45
how	45
thinks	45
known	44
r5e	44
y4e	44
yellow	44
5stall	43
n25	43
now	43
y1e	43
y45	43
g4e	42
very	42
better	41
instead	41
priority	41
y3e	41
did	40
fixed	40
gd	40
give	40
o	40
r345	40
y34	40
!1	39
5ce	39
oops	39
rb	39
really	39
scream	39
r1e	38
[r4]	37
t5	37
-->	36
dont	36
nice	36
:(	35
ambig	35
chop	35
tempo	35
m34	33
purple	33
:o	32
card	32
has	32
oopsie	32
pls	32
prefer	32
color	31
don't	31
loaded	31
p4e	31
pink	31
wrong	31
4s	30
[b4]	29
are	29
hand	29
nitawa	29
ok	29
5pp	28
[kt]	28
i34	28
knows	28
stale	28
[g2]	27
about	27
shit	27
there	27
unnecessary	27
b345	26
early	26
g1e	26
n45	26
r24	26
rg	26
see	26
i2e	25
lpc	25
p2e	25
positional	25
push	25
too	25
1s	24
34	24
[r3]	24
at	24
i5e	24
l3	24
m45	24
p23	24
plays	24
sorry	24
wow	24
!2	23
[b3]	23
[g4]	23
[r2]	23
[y2]	23
b1e	23
d:	23
let	23
likely	23
playing	23
when	23
!g	22
3s	22
>	22
bubblegum	22
elim	22
generation	22
imo	22
m5e	22
out	22
r2345	22
wtf	22
!b	21
!r	21
5b	21
[g3]	21
an	21
bg	21
clues	21
fill	21
focus	21
g345	21
gr	21
jack	21
please	21
y24	21
anti	20
blaze	20
cards	20
choice	20
hidden	20
mistake	20
more	20
never	20
nitrate	20
work	20
a1	19
actually	19
b2345	19
believe	19
i345	19
l2	19
m234	19
m345	19
move	19
sadly	19
u2	19
2s	18
c2	18
context	18
d4	18
g234	18
gb	18
i3e	18
man	18
opc	18
r35	18
sephi	18
something	18
up	18
weird	18
yb	18
yg	18
!y	17
25	17
8	17
??	17
???	17
[b2]	17
a5	17
all	17
am	17
dani	17
g2345	17
going	17
i'm	17
illegal	17
important	17
m2e	17
n125	17
notes	17
other	17
right	17
ry	17
sad	17
should've	17
than	17
time	17
want	17
x	17
[y4]	16
b24	16
bombed	16
clued	16
d3	16
didnt	16
discarded	16
g35	16
game	16
gonna	16
gotten	16
hoping	16
markus	16
melwen	16
n23	16
p5e	16
s2	16
s3	16
self	16
!p	15
--->	15
->	15
23	15
[y3]	15
ambiguous	15
blind	15
bonja	15
br	15
c3	15
i45	15
im	15
it's	15
k234	15
l4	15
m24	15
only	15
oop	15
reclue	15
y2345	15
y345	15
18	14
[5]	14
b35	14
d2	14
given	14
joel	14
k2e	14
most	14
much	14
o345	14
p3e	14
still	14
wait	14
!y5	13
20	13
:)	13
any	13
bluffed	13
c1	13
cannot	13
even	13
exactly	13
layered	13
n34	13
p34	13
sure	13
then	13
wanted	13
well	13
12	12
24	12
35	12
7	12
[m2]	12
[r4	12
after	12
b234	12
bm1	12
definitely	12
discarding	12
g24	12
giving	12
gm1	12
hmm	12
i1e	12
i23	12
kyle	12
lie	12
m3e	12
make	12
necessary	12
need	12
o34	12
off	12
r234	12
suspect	12
thought	12
trying	12
u5	12
!5	11
45	11
5pull	11
6	11
[3]	11
[i4]	11
[p3]	11
[p4]	11
c4	11
cluing	11
first	11
hard	11
his	11
inversion	11
k3e	11
locked	11
looked	11
lul	11
n235	11
n245	11
n2e	11
ocm	11
order	11
p24	11
rm1	11
seph	11
stop	11
sus	11
target	11
these	11
u4	11
utd	11
w2e	11
white	11
y234	11
!!!	10
13	10
21	10
4p	10
5p	10
[	10
[1]	10
[2]	10
[r1]	10
[y1]	10
also	10
back	10
bp	10
d5	10
ejection	10
fey	10
fine	10
had	10
i234	10
little	10
m2345	10
m4e	10
must	10
omg	10
over	10
p345	10
promised	10
rank	10
rw	10
same	10
sin	10
thank	10
trust	10
u3	10
u5e	10
unknown	10
y35	10
!!	9
!i	9
14	9
3g	9
4b	9
4r	9
5r	9
af	9
again	9
asael	9
before	9
bluffs	9
brown	9
declined	9
didn't	9
either	9
fake	9
g4e>	9
gy	9
k23	9
kill	9
l5	9
m25	9
mel	9
n234	9
n345	9
omni	9
p1e	9
p45	9
piano	9
piper	9
pp	9
pretty	9
ptd	9
t24	9
t34	9
tcm	9
!b5	8
10	8
11	8
15	8
16	8
22	8
4y	8
50	8
5g	8
5s	8
9	8
[fixme]	8
always	8
b2e>	8
baton	8
bi	8
big	8
both	8
come	8
critical	8
doesnt	8
dumb	8
duped	8
finessed	8
free	8
gentleman's	8
gp	8
k5e	8
knew	8
makes	8
mb	8
n35	8
p2345	8
pov	8
read	8
redistribution	8
round	8
since	8
sloppy	8
slot	8
some	8
t26:	8
t6	8
tccm	8
thing	8
times	8
two	8
u1	8
w3e	8
w4e	8
were	8
yay	8
yr	8
!g3	7
!k	7
...	7
27	7
29	7
2b	7
2save	7
4db	7
4g	7
:/	7
[4]	7
[b1]	7
[g5]	7
[m4]	7
[p2]	7
[r]	7
already	7
available	7
being	7
black	7
blocking	7
burn	7
c	7
carunty	7
cat	7
correct	7
doesn't	7
done	7
dupe	7
flori	7
g2e>	7
getting	7
got	7
hehe	7
him	7
hopefully	7
i15	7
ignition	7
isnt	7
jerry	7
k24	7
kr	7
look	7
m12345	7
m1e	7
m35	7
n2345	7
o5e	7
occupied	7
p35	7
p4e>	7
pestilent	7
pg	7
poor	7
possible	7
redistribute	7
s5	7
smart	7
suspecting	7
t16	7
t19:	7
t9:	7
teal	7
that's	7
timo	7
try	7
w5e	7
where	7
works	7
wr	7
your	7
yp	7
!3	6
!m	6
!r3	6
19	6
2pp	6
31	6
345	6
3bluff	6
3r	6
5nd	6
64	6
[a2]	6
[b5]	6
[g1]	6
[k3]	6
[p1]	6
[r1	6
[r5]	6
[u]	6
[y3	6
a2e	6
andrew	6
b4]	6
bombing	6
c5	6
d1	6
delay	6
discharge	6
elimination	6
else	6
fuck	6
full	6
gk	6
gm	6
go	6
holding	6
information	6
interesting	6
keep	6
killing	6
last	6
legal	6
line	6
lvl	6
marek	6
marked	6
ooo	6
pass	6
point	6
pr	6
r235	6
rm	6
rp	6
s4	6
saving	6
say	6
scared	6
somewhere	6
stomp	6
t20:	6
t22:	6
t23	6
t2:	6
t45	6
t7:	6
t8:	6
use	6
wasn't	6
way	6
wb	6
which	6
