Note	Frequency (22027 in total)
[f]	2082
[cm]	784
i	622
this	519
f	507
to	355
is	332
a	309
cm	290
not	239
the	236
clue	210
have	204
if	180
5	177
it	163
play	159
+	149
but	147
of	132
trash	132
and	119
2	118
g3	116
my	114
be	113
r3	113
g2	111
on	111
->	110
that	110
r2	109
in	108
we	105
b3	102
or	102
don't	101
was	101
should	99
r4	92
y3	91
i'm	87
1	86
think	86
bluff	84
for	84
3	83
y4	83
b2	82
discard	81
because	80
g4	80
me	78
as	77
p4	77
playing	77
do	76
after	75
what	74
y2	74
p3	73
card	70
finess	69
guess	69
4	68
b4	67
you	67
just	64
it's	60
like	60
lol	60
from	59
no	59
b1	58
doesn't	55
probably	55
so	55
g5	54
ok	54
with	54
g1	51
he	51
hand	49
now	49
b	48
maybe	48
clued	47
hope	47
*	46
p2	46
r5	46
why	46
g	45
good	45
know	45
can	44
fix	44
plays	44
r1	44
would	43
are	41
sure	41
known	40
23	39
didn't	38
has	38
double	37
playable	37
y	37
b5	36
instead	36
p1	36
save	36
y5	36
r	35
hopefully	34
pretty	34
at	33
p	32
want	32
way	32
bad	31
chop	31
kimbi	31
though	31
can't	30
could	30
get	30
how	30
i3	30
i4	30
oh	30
see	30
slot	30
played	29
since	29
that's	29
y1	29
does	28
out	28
game	27
into	27
cluing	26
either	26
i2	26
move	26
turn	26
an	25
cards	25
clues	25
m3	25
a:	24
all	24
been	24
exactly	24
nice	24
one	24
read	24
something	24
too	24
weird	24
even	23
m4	23
red	23
self	23
tell	23
unnecessary	23
well	23
!1	22
knows	22
lib	22
other	22
otherwise	22
she	22
wtf	22
actually	21
color	21
gonna	21
idk	21
only	21
time	21
!5	20
better	20
context	20
isn't	20
might	20
very	20
cm'd	19
did	19
enough	19
here	19
looks	19
missplay	19
p5	19
really	19
stall	19
2's	18
assume	18
focus	18
going	18
i1	18
k2	18
push	18
shit	18
supposed	18
up	18
will	18
!a	17
first	17
green	17
least	17
purple	17
right	17
which	17
yellow	17
!y	16
:(	16
about	16
blue	16
discarded	16
gets	16
kyle	16
more	16
ocm	16
seems	16
some	16
then	16
unless	16
!2	15
(4	15
2)	15
4's	15
am	15
critical	15
feel	15
had	15
hm	15
much	15
priority	15
discarding	14
fuck	14
hard	14
lose	14
m2	14
makes	14
melwen	14
position	14
pray	14
valetta	14
wanted	14
when	14
(5	13
5's	13
both	13
i5	13
likely	13
off	13
same	13
still	13
tells	13
trust	13
w4	13
wait	13
xd	13
!r	12
ambiguous	12
away	12
forgot	12
k4	12
kind	12
loaded	12
mistake	12
need	12
our	12
reason	12
us	12
wasn't	12
wrong	12
your	12
!b	11
!g	11
1's	11
?	11
anything	11
c	11
discards	11
done	11
elim	11
given	11
him	11
hoping	11
i'd	11
legal	11
lie	11
locked	11
means	11
pull	11
sdcm	11
uh	11
win	11
without	11
work	11
3's	10
also	10
attempted	10
before	10
convention	10
dupe	10
expect	10
felt	10
fine	10
give	10
i'll	10
mean	10
never	10
next	10
nothing	10
o3	10
positional	10
review	10
t5	10
these	10
things	10
we're	10
who	10
yeah	10
yes	10
