Note	Frequency (11887 in total)
cm	1055
[cm]	1042
f	980
5	568
->	214
[f]	201
4	188
r3	186
3	176
g4	167
kt	159
b3	158
g3	156
b4	150
b2	147
r4	145
y3	142
2	132
g2	132
r2	128
y4	118
i	112
y2	108
23	87
not	86
1	80
i3	78
g	73
p3	73
y5	71
g5	70
or	68
p4	66
r	66
i2	65
m3	64
b	62
b5	62
r5	61
r1	58
g1	57
i4	57
p2	55
b1	53
y	52
is	46
this	46
y1	46
maybe	44
m2	43
m4	42
a	40
no	40
to	40
it	37
n4	37
p	30
?	28
play	28
guess	27
m5	27
i5	26
prio	26
why	26
as	25
prob	25
save	25
p1	24
fix	23
n3	23
you	23
clue	22
have	22
n5	22
now	22
the	22
p5	21
but	20
here	20
i1	20
looks	20
be	19
k4	19
missed	19
o2	19
likely	18
and	17
finesse	17
o4	17
probs	17
blue	16
bluff	16
k3	16
known	16
m1	16
playable	16
prism	16
trash	16
w3	16
34	15
could	15
green	15
n2	15
o3	15
probably	15
should	15
so	15
t2	15
w2	15
w4	15
dont	14
w	14
k	13
lol	13
t4	13
utd	13
was	13
with	13
y23	13
!g	12
are	12
its	12
k5	12
mb	12
omni	12
t3	12
we	12
24	11
elim	11
if	11
seems	11
t	11
!2	10
b23	10
discard	10
k1	10
like	10
m	10
o5	10
s	10
stall	10
!	9
!b	9
-.-	9
234	9
also	9
k2	9
knows	9
m23	9
me	9
null	9
pink	9
r23	9
red	9
!p	8
:(	8
am	8
better	8
bomb	8
br	8
by	8
g23	8
how	8
o1	8
sd	8
stupid	8
that	8
yellow	8
!y	7
a4	7
because	7
dda	7
did	7
just	7
my	7
n1	7
need	7
off	7
on	7
played	7
purple	7
sky	7
w1	7
w5	7
what	7
5ce	6
amb	6
another	6
c2	6
ce	6
db	6
doesnt	6
for	6
get	6
has	6
hello	6
im	6
of	6
oh	6
ok	6
oops	6
plays	6
plz	6
rank	6
some	6
sth	6
t5	6
thought	6
unknown	6
would	6
yp	6
!3	5
!r	5
45	5
a3	5
actually	5
af	5
all	5
bg	5
bp	5
can	5
card	5
cmed	5
do	5
e	5
exactly	5
from	5
gdc	5
gr	5
hand	5
hopefully	5
important	5
in	5
kimbi	5
l2	5
l4	5
lets	5
nice	5
prom	5
prompt	5
rainbow	5
sorry	5
sry	5
