Note	Frequency (13185 in total)
cm	1646
[cm]	1116
f	1032
[f]	614
5	296
3	250
4	247
2	203
i	178
1	132
is	125
g	120
r	114
r3	113
y	106
to	105
b	103
r4	92
you	91
b4	87
y4	87
b3	85
g4	85
g3	82
it	82
this	82
clue	81
not	79
why	71
kt	70
r2	70
be	69
y3	66
g2	65
play	60
a	58
b2	55
p	53
p2	53
?	52
y2	52
p3	51
p4	49
.	46
was	46
should	44
lol	43
i4	41
m2	41
or	41
34	38
have	38
i3	36
m3	35
what	35
on	34
w	34
g5	33
no	32
b5	30
m	30
fix	29
did	28
m4	28
playable	28
can	27
that	27
i2	26
we	26
and	25
guess	25
like	25
the	25
discard	24
if	24
r1	24
y5	24
are	22
g1	22
my	22
r5	22
don't	21
important	21
just	21
looks	21
of	20
y1	20
23	19
b1	19
card	19
could	19
o4	19
prio	19
so	19
better	18
do	18
trash	18
me	17
!y	16
o3	16
t4	16
about	15
it's	15
known	15
m1	15
o2	15
r4->	15
save	15
how	14
m5	14
!1	13
!f	13
as	13
blue	13
bluff	13
cards	13
didn't	13
first	13
n4	13
p1	13
45	12
b2->	12
by	12
floriman	12
p5	12
slot	12
w4	12
!g	11
25	11
at	11
i5	11
likely	11
n3	11
p2->	11
then	11
think	11
after	10
gr	10
i1	10
k3	10
know	10
oh	10
playing	10
t	10
w3	10
y5->	10
!2	9
!5	9
!b	9
->	9
-_-	9
1s	9
3s	9
4s	9
bomb	9
cluing	9
doesn't	9
forgot	9
g3->	9
might	9
n5	9
schark	9
with	9
would	9
your	9
!r	8
am	8
bad	8
clued	8
finesse	8
flori	8
for	8
here	8
hm	8
hmm	8
in	8
k4	8
more	8
must	8
n2	8
now	8
prob	8
r2->	8
red	8
t3	8
than	8
will	8
:/	7
><	7
[cm]?	7
any	7
bg	7
chop	7
k	7
maybe	7
pull	7
rg	7
ry	7
seems	7
y2->	7
y3->	7
y4->	7
yb	7
!b3	6
^^	6
b23	6
but	6
can't	6
cannot	6
discarded	6
double	6
expected	6
get	6
give	6
good	6
has	6
kakashi	6
pr	6
prefer	6
some	6
strange	6
t2	6
thought	6
time	6
which	6
who	6
wrong	6
!3	5
!r3	5
345	5
another	5
b4->	5
believe	5
blind-play	5
bp	5
br	5
dda	5
does	5
expect	5
fire	5
focus	5
from	5
g2->	5
g4->	5
go	5
going	5
green	5
gw	5
idea	5
intended	5
keep	5
look	5
m4->	5
nothing	5
o	5
p4->	5
pg	5
played	5
potential	5
prompt	5
purple	5
r3->	5
stale	5
suboptimal	5
t1	5
t14	5
touch	5
very	5
w1	5
y4e	5
!cm	4
!g3	4
!m3	4
!p	4
))	4
35	4
:p	4
;-;	4
already	4
also	4
assume	4
b1->	4
black	4
c4	4
color	4
copy	4
critical	4
doing	4
ever	4
feels	4
g5->	4
hope	4
idk	4
k2	4
kyle	4
l3	4
last	4
let's	4
loaded	4
long	4
make	4
n	4
necessary	4
o1	4
o5	4
ok	4
omg	4
one	4
only	4
oop	4
oops	4
pink	4
py	4
r23	4
r5->	4
ri	4
rip	4
scream	4
should've	4
since	4
smth	4
something	4
suit	4
supposed	4
t11	4
unless	4
using	4
w2	4
wait	4
were	4
where	4
y2e	4
yg	4
yp	4
yr	4
!i	3
15	3
235	3
5s	3
??	3
a4	3
all	3
asaelr	3
b3e	3
b4->?	3
b5->	3
because	3
before	3
bluffs	3
bpg	3
c1	3
c2	3
convention	3
down	3
ejection	3
enough	3
exactly	3
floriman's	3
g1->	3
g3e	3
game	3
gb	3
gotten	3
gy	3
had	3
hand	3
help	3
hmmm	3
i2->	3
instead	3
isn't	3
k5	3
kill	3
kimbi	3
least	3
let	3
lhs	3
m3->	3
m45	3
mm	3
mmm	3
mr5	3
n1	3
n2e	3
n5->	3
nice	3
o1e	3
opc	3
ot	3
p3->	3
pi	3
probably	3
r24	3
r4->?	3
r4?->	3
r4e	3
rb	3
read	3
reclue	3
reds	3
responsibility	3
reversed	3
rp	3
s1	3
s4	3
same	3
sense	3
start	3
t10	3
t1:	3
t22	3
t24	3
t28	3
t5	3
t8	3
there	3
too	3
trust	3
turn	3
u2	3
u3	3
u4	3
us	3
want	3
way	3
wg	3
y2->?	3
y3e	3
ygp	3
zam	3
!	2
!4	2
!g5->	2
!i3	2
!m	2
!m4	2
!o	2
!o5	2
!p1	2
!r5	2
!r5->	2
!w	2
!y4->	2
)	2
1-away	2
1-for-1	2
1/r2	2
2/g	2
2/p	2
21	2
24	2
25b3	2
2s	2
5nd	2
:(	2
>	2
?)	2
[f]?	2
a3	2
again	2
ago	2
agree	2
an	2
anything	2
ay	2
b24	2
b345	2
b3b4	2
b3y3	2
b5->?	2
back	2
best	2
between	2
blaze	2
brown	2
chance	2
channel	2
check	2
closed	2
confused	2
confusing	2
context	2
d2	2
decide	2
definitely	2
delaying	2
dupe	2
duped	2
duping	2
echo	2
either	2
end	2
even	2
explain	2
faster	2
fine	2
finish	2
fresh	2
g/2	2
g1m2	2
g24	2
g34	2
g3m3	2
g4->?	2
g4?->	2
g5e	2
ga	2
gby	2
gd	2
gp	2
guilt	2
gyi	2
hard	2
i23m234	2
i35	2
i4e	2
imo	2
info	2
into	2
ir	2
iss	2
jake	2
k3->	2
killing	2
l2	2
later	2
less	2
lock	2
lool	2
loool	2
lotem	2
lpc	2
m1->	2
m1e	2
m2->	2
m2->?	2
m25	2
marked	2
matches	2
mice	2
misplay	2
missing	2
neither	2
noticed	2
o3e	2
o4e	2
off	2
oi	2
okay	2
otherwise	2
ouch	2
over	2
p/2	2
p23	2
pang	2
pbi	2
permission	2
pgy	2
player	2
plays	2
pm	2
point	2
pov	2
prism	2
r2->?	2
r2e	2
r34	2
r3p3	2
rank	2
rb2	2
rby	2
really	2
reason	2
respect	2
round	2
ryb	2
s	2
s2	2
s3	2
sadness	2
safe	2
see	2
slot1	2
slot2	2
stall	2
stealing	2
still	2
sure	2
t1->	2
t13	2
t18	2
t23	2
t25	2
t27	2
t30	2
t32	2
t34	2
t36	2
t4->	2
t45	2
t46	2
teal	2
tempo	2
tg	2
them	2
touching	2
tr	2
twice	2
u5	2
w4->	2
well	2
when	2
whole	2
without	2
work	2
worth	2
wouldn't	2
y1/m1	2
y23	2
y3->?	2
y3y4	2
y4->?	2
y45e	2
yaay	2
yellow	2
ygb	2
yi	2
ym	2
yri	2
!12	1
!15s	1
!1g2	1
!1y	1
!23	1
!25b3g3	1
!34	1
!3r	1
!a4->	1
!a5->	1
!a?	1
!b2	1
!b4	1
!b5	1
!b5->	1
!bg	1
!br	1
!by	1
!critical	1
!g1	1
!g2b2y4	1
!g4	1
!g4->	1
!g?	1
!gb	1
!gm	1
!gr	1
!i1	1
!i4	1
!i4->	1
!i5	1
!i5->	1
!im	1
!k3	1
!m2	1
!n2->	1
!o1	1
!o2	1
!o3	1
!o4	1
!p2	1
!p3	1
!p5	1
!p5->	1
!pr	1
!py	1
!r/1->	1
!r2	1
!r3r4	1
