Note	Frequency (21984 in total)
f	2606
if	976
[f]	686
cm	621
g2	606
b3	596
r2	590
r3	574
g3	570
b2	562
b4	500
r4	494
g4	482
y3	477
y2	462
y4	372
not	330
m2	318
p2	305
[cm]	302
p3	295
b5	283
m3	283
b1	282
r1	281
p4	256
g5	246
g1	245
r5	242
y1	234
5	233
m4	212
kt	204
y5	198
m1	195
p	176
m5	167
i2	160
i3	150
p5	149
i4	134
guess	129
p1	124
probably	101
play	95
2	82
n2	80
nope	79
i1	72
i5	71
thinks	71
n3	69
o3	68
o2	65
k3	64
be	59
k4	57
n5	57
w2	57
3	53
k2	53
fixme	52
n4	52
t2	51
w3	51
o4	50
n1	49
tccm	48
a	45
t3	45
o1	44
sdcm	42
t4	42
[5cm]	39
t5	38
w4	38
could	37
1	36
[ocm]	35
i	35
4	32
o5	32
x2	32
clue	31
fixed	28
this	27
because	26
or	25
[tcm]	24
is	23
k5	23
t1	23
[kt]	22
from	21
maybe	21
to	21
23	20
the	20
discard	19
5cm	18
[fixme]	18
have	18
on	18
utfcm	18
a4	17
af	17
pp	17
prompt	17
u2	17
[r3]	16
after	16
should	16
w1	16
it	15
mistake	15
w5	15
bad	14
bluff	14
card	14
hopefully	14
k1	14
l3	14
pulled	14
s2	14
stall	14
t8	14
but	13
gd	13
opc	13
pf	13
[b2]	12
blue	12
fix	12
kim	12
lhs	12
might	12
u5	12
!3	11
[g2]	11
[g3]	11
[r2]	11
[tccm]	11
like	11
looks	11
lpc	11
of	11
s3	11
save	11
[gd]	10
[y2]	10
chop	10
mm2	10
since	10
think	10
u3	10
yellow	10
!1	9
?	9
as	9
bomb	9
kyle	9
l1	9
l4	9
now	9
pfp	9
t6	9
trash	9
would	9
a1	8
a3	8
finesse	8
florrat	8
ocm	8
oops	8
pull	8
t23	8
tcm	8
u1	8
!4	7
[b3]	7
[b4]	7
[p3]	7
[pf]	7
[r1]	7
[sdcm]	7
[tocm]	7
can't	7
l2	7
libster	7
lul	7
playable	7
potentially	7
tempo	7
that	7
u4	7
!r	6
[b1]	6
[y1]	6
anymore	6
dda	6
dupe	6
elim	6
g0	6
hf	6
mice	6
mm1	6
other	6
played	6
some	6
t13	6
t25	6
tim	6
utbcm	6
was	6
wrong	6
y0	6
!2	5
??	5
[g4]	5
[i1]	5
[i2]	5
[y4]	5
connected	5
didn't	5
for	5
green	5
know	5
no	5
occupied	5
ooo	5
positional	5
possibly	5
red	5
s4	5
sarcastic	5
somehow	5
stale	5
sure	5
t17	5
t9	5
utf[cm]	5
what	5
zamiel	5
!g	4
!y	4
1s	4
[m2]	4
[p2]	4
[r5]	4
