Note	Frequency (41637 in total)
f	5956
[f]	3891
why	1752
cm	1312
[cm]	1074
5	904
not	801
3	795
4	748
2	487
this	487
i	461
discard	423
probably	400
it	393
elim-->	371
play	368
should	368
b	352
g	349
r	324
y	315
looks	302
2/3	294
???	280
pp	272
no	266
r3	263
?	252
??	248
r2	248
lol	244
b2	239
missed	234
stall	226
be	225
clue	224
g2	223
how	222
oof	215
fixme	212
b3	206
g3	203
a	194
is	194
y2	179
kt	162
y3	161
p	159
r1	159
wth	159
b4	158
play-->	151
1	148
r4	144
g4	143
y1	142
b1	141
bomb	140
g1	140
have	136
bluff	131
you	131
like	119
did	118
to	116
can	115
the	112
but	111
that	111
save	110
elim	109
i2	107
don't	104
y4	104
instead	102
m3	102
reclue	102
prio	99
here	96
m2	96
p2	96
i3	95
p3	93
known	91
m	91
give	90
oops	87
3/4	86
do	85
lhs	83
my	81
if	76
fix	72
get	72
finesse	71
maybe	71
8cs	70
as	70
m4	70
start	70
i4	69
p4	67
was	67
playing	66
just	64
p1	63
i1	61
can't	60
b5	58
dda-->	57
what	56
will	56
it's	54
dda	53
g5	53
shouldn't	53
with	53
r5	52
stomp	52
y5	50
?????	48
m1	48
m5	48
now	48
amb	46
bad	46
on	46
w	45
mistake	44
red	43
touch	43
better	42
wrong	42
by	41
baton	40
-->	36
:(	36
color	35
trash	35
i5	34
o2	34
wait	34
both	33
me	33
ambig	32
fake	32
other	32
trust	32
????	31
fault	31
k	31
of	31
so	31
technically	31
we	31
idk	30
n2	30
promise	30
he	28
hopefully	28
n3	28
p5	28
pass	28
shame	28
t1	28
green	27
nice	27
what's	27
must	26
n4	26
n1	25
playable	25
prompt	25
steal	25
blue	24
some	24
stale	24
3/4?	23
come	23
double	23
hes	23
in	23
k1	23
after	22
know	22
may	22
t	22
w3	22
2/4	21
any	21
likely	21
lpc	21
really	21
tt-->	20
doesn't	19
eject	19
let's	19
promised	19
w2	19
(but	18
(probably	18
at	18
false	18
game	18
illegal	18
let	18
o1	18
o3	18
off	18
t3	18
that's	18
2/5	17
blocking	17
exactly	17
focus	17
isn't	17
played	17
tempo	17
again	16
good	16
kill	16
o4	16
or	16
very	16
weak	16
2/3/4	15
and	15
bombed	15
first	15
pink	15
please	15
sad	15
t2	15
t4	15
believe	14
cluing	14
lie	14
oh	14
r/b	14
sense	14
sure	14
w4	14
way	14
[f]?	13
cert	13
fixed	13
for	13
going	13
hard	13
k2	13
k3	13
o	13
oop	13
pull	13
r/g	13
subopt	13
tccm	13
5ce	12
about	12
because	12
definitely	12
early	12
mb	12
more	12
n	12
n5	12
sarc	12
see	12
would	12
[cm]?	11
attempted	11
didn't	11
guess	11
i'm	11
lanvin	11
look	11
need	11
sarc-->	11
scream	11
somehow	11
use	11
weird	11
yellow	11
a3	10
discharge	10
forgot	10
hidden	10
important	10
job	10
legal	10
nope	10
occ	10
real	10
time	10
yeah	10
yes	10
8c	9
are	9
assume	9
black	9
does	9
g/b	9
gonna	9
had	9
layered	9
level	9
sadly	9
self	9
w1	9
when	9
4/5	8
5-pull	8
actually	8
allowed	8
another	8
b/p	8
broken	8
burn	8
correct	8
discarding	8
dupe	8
from	8
gd	8
gtb	8
k4	8
kakashi	8
loaded	8
makes	8
much	8
only	8
plays	8
push	8
u2	8
work	8
y2-->	8
(maybe	7
2/4?	7
2/5?	7
b/p?	7
beginner	7
c	7
dup	7
fill	7
hope	7
k5	7
l2	7
melwen	7
o5	7
ok	7
out	7
prio-->	7
purple	7
still	7
super	7
too	7
using	7
wasn't	7
y/b	7
y/g	7
your	7
2/3/o4	6
2/3?	6
an	6
b/g	6
b/r	6
b1-->	6
certain	6
discard-->	6
g/p?	6
getting	6
keep	6
kyle	6
lh	6
luck	6
make	6
miss	6
nc	6
nothing	6
number	6
prompted	6
refuse	6
s	6
selfish	6
slow	6
supposed	6
t5	6
take	6
think	6
tt	6
turn	6
unless	6
waste	6
yay	6
zero	6
(can	5
(hidden)	5
(unless	5
b2/3	5
b5-->	5
blind-play	5
bomb-->	5
c4	5
card	5
clear	5
clues	5
defer	5
ejection	5
floriman	5
g/r	5
g/y	5
ignore	5
l	5
patch	5
pf	5
possible	5
r2-->	5
read	5
s2	5
slot	5
something	5
swine	5
them	5
thinks	5
well	5
won't	5
(exactly	4
(should	4
125	4
4)	4
b/y	4
blaze	4
bluff-->	4
c3	4
cancelled	4
chance	4
channel	4
charm	4
chop	4
context	4
could	4
done	4
end	4
g/i	4
g2-->	4
g2/3	4
hand	4
hate	4
hopefuly	4
info	4
interesting	4
knows	4
lucky	4
lvl0	4
lvl1	4
lvl10	4
lvl13	4
match	4
needed	4
never	4
one	4
p/b	4
pace	4
phantom	4
positional	4
priority	4
r/p	4
r1-->	4
r5-->	4
review	4
schark	4
shamefully	4
stall-->	4
they	4
u3	4
unlikely	4
until	4
worked	4
y5-->	4
(by	3
(certain)	3
(looks	3
(or	3
(why	3
2/3/4?	3
2/3/m4	3
234	3
3pp	3
5dp	3
5nd	3
a1	3
a2	3
also	3
aren't	3
b-->	3
b/g?	3
b2e	3
b3/i4	3
bec	3
big	3
bluffed	3
bombs	3
cards	3
course	3
cut	3
dd-->	3
dobi	3
dont	3
echo	3
everybody	3
fine	3
finessed	3
fire	3
g/y?	3
g3-->	3
g3/4	3
g4-->	3
gandalf	3
generate	3
gray	3
gs/5	3
gt	3
i1-->	3
idea	3
