Note	Frequency (13825 in total)
[f]	815
kt	627
cm	538
f	342
5	308
g2	246
b3	230
r4	221
b4	220
g4	219
r2	218
b2	215
g3	212
r3	210
y4	207
y3	195
save	186
y2	167
2	155
4	150
r5	136
probably	133
b5	131
g1	131
b1	129
3	121
this	115
g5	114
r1	112
y5	109
y1	98
p3	93
p4	90
p2	83
not	74
i	73
ok	73
23	70
p5	67
is	66
[cm]	61
bluff	59
1	58
i3	55
m3	54
p1	54
m2	53
if	52
[f][b1]	50
m4	50
i4	49
nvm	49
or	49
i2	45
xd	45
[f][r3]	44
34	43
[f][b2]	43
stall	43
[f][y2]	42
[f][r2]	41
[f][y1]	41
[f][g2]	40
have	39
no	39
[f][g1]	38
[kt]	38
m5	38
[f][g3]	37
[f][y3]	37
[5]pp	36
a	36
!5	34
[f][b3]	34
looks	34
maybe	34
[fixme]	33
[f][r1]	32
be	32
[2]pp	30
->	29
k2	29
i5	28
5ce	27
lmao	27
was	27
!y	26
n3	26
o4	26
k4	25
45	24
i1	24
k5	24
fixme	23
k3	23
should	23
wait	23
[f][p1]	22
finesse	22
fixed	22
m1	22
t2	22
to	22
w2	22
but	21
else	21
t4	21
!1	20
from	20
n2	20
o3	20
ocm	20
oh	20
play	20
w3	20
definitely	19
now	19
targets	19
[3]pp	18
[4]pp	18
clue	18
like	18
w4	18
!p	17
k1	17
n1	17
t5	17
y	17
!b	16
[f][g4]	16
why	16
!2	15
24	15
[f][y4]	15
could	15
n4	15
n5	15
prio	15
t1	15
think	15
[f][p2]	14
[f][p3]	14
[f][r4]	14
o2	14
t3	14
25	13
[f][b4]	13
b	13
here	13
of	13
what	13
!3	12
????	12
[g2]	12
[y3]	12
actually	12
do	12
dupe	12
fix	12
gd	12
it's	12
one	12
oops	12
prompt	12
rip	12
so	12
t21:	12
!r	11
5pp	11
[!g]	11
[5]	11
[b3]	11
[g3]	11
[y4]	11
blue	11
bluffed	11
elim	11
just	11
known	11
p	11
red	11
target	11
trash	11
w5	11
[b4]	10
[f][k1]	10
[f][m3]	10
[f][p4]	10
[g4]	10
[gd]	10
after	10
discard	10
double	10
o5	10
sure	10
!g	9
[b5]ce	9
[f][k2]	9
[y2]	9
[y5]	9
and	9
ce	9
ig	9
it	9
on	9
t20:	9
t3:	9
trust	9
very	9
234	8
345	8
35	8
[b5]	8
[gd][r2]	8
[r2]	8
[r5]ce	8
as	8
b1/m1	8
br	8
good	8
green	8
missed	8
played	8
t12:	8
t16:	8
t18:	8
t27:	8
the	8
!12	7
!b2	7
=>	7
[!1]	7
[!5]	7
[f][i1]	7
[f][i3]	7
[r3]	7
don't	7
lol	7
r2?m2?	7
s2	7
s3	7
t22:	7
t30:	7
unless	7
!4	6
!m	6
>	6
?	6
[!y]	6
[4]	6
[f][w3]	6
[g5]	6
[g5]ce	6
[p3]	6
[r5]	6
[y1]	6
a4	6
ambiguous	6
better	6
bluffs	6
by	6
chop	6
clued	6
cmed	6
did	6
doesn't	6
for	6
g	6
k	6
likely	6
playable	6
potential	6
r	6
since	6
t29:	6
t31:	6
t9:	6
w1	6
!i4	5
!pb	5
2345	5
5cm	5
[b2]	5
[f][m2]	5
[gd][g2]	5
[i2]	5
[m5]	5
[r4]	5
[y5]ce	5
because	5
c4	5
can	5
charm	5
dda	5
g1/o1	5
k3/k4	5
l3	5
m23	5
mistake	5
n	5
nice	5
o1	5
otherwise	5
pull	5
pulled	5
push	5
still	5
t17:	5
t6:	5
then	5
these	5
udd	5
uh	5
12	4
4db	4
??	4
[!r]	4
[f][i2]	4
[f][k3]	4
[f]r1	4
[gd][b2]	4
[gd][b4]	4
[gd][r1]	4
[kt][fixed]	4
[p2]	4
[p5]	4
[p]	4
a3	4
a5	4
b34	4
c3	4
colour	4
d3	4
fairly	4
finish	4
g1/m1	4
g2/m1	4
gb3	4
hand	4
idk	4
k34	4
know	4
l2	4
l4	4
might	4
move	4
nope	4
p5?g5?	4
plays	4
pretty	4
r34	4
s4	4
s5	4
sdcm	4
some	4
t14:	4
t26:	4
t32:	4
that	4
thought	4
unnecessary	4
x	4
yr	4
!br	3
3pp	3
4pp	3
5nd	3
:d	3
???	3
??????	3
[!1][!2][!3]	3
[34]	3
[5]ce	3
[cm][r3]	3
[f][m1]	3
[f][t1]	3
[f][w2]	3
[f]b2	3
[f]g2	3
[f]r2	3
[fixed]	3
[gd][b1]	3
[gd][r3]	3
[gd][r4]	3
[gd][y3]	3
[i3]	3
[n3]	3
[p4]	3
[t3]	3
a1	3
about	3
anxiety	3
b1/o1	3
b23	3
b4?y5?	3
bad	3
been	3
bi	3
bi4	3
d2	3
didn't	3
discarded	3
discarding	3
does	3
duped	3
fake	3
g5?p5?	3
generation	3
gr	3
guess	3
gy	3
hestitation	3
hmmm	3
hopefully	3
how	3
ignition	3
important	3
lhs	3
locked	3
m	3
m3?m2?	3
m5?m4?m4?	3
me	3
much	3
must	3
n5?b4?	3
n5ce	3
notes	3
omni	3
oop	3
p24	3
pb	3
pickup	3
pink	3
possible	3
r1/i1	3
r1/m2	3
rb	3
really	3
rm	3
she	3
supposed	3
surely	3
t	3
t10:	3
t11:	3
t19:	3
t23:	3
t24:	3
t40:	3
t44:	3
t7:	3
t8:	3
tccm	3
teal	3
thinks	3
tried	3
u4	3
we	3
with	3
would	3
y3/i2	3
yes	3
yg	3
!13	2
!by	2
!k	2
!l	2
!ptg	2
!t	2
!x	2
!yb	2
!yp	2
125	2
1pp	2
235	2
245	2
2pp	2
3/4/5	2
?????	2
[!1][!2]	2
[!b]	2
[!gb]	2
[!p][!r]	2
[!t]	2
[1]	2
[1][kt]	2
[3]	2
[45]	2
[b1]	2
[cm][b4]	2
[cm][k4]	2
[cm][kt]	2
[cm][y2]	2
[cm][y3]	2
[d3]	2
[f]?	2
[f][fixme]	2
[f][m4]	2
[f][n1]	2
[f][n4]	2
[f][o1]	2
[f][o3]	2
[f][s2]	2
[f][t2]	2
[f][t4]	2
[f]y2	2
[fix]	2
[g5]5	2
[gd][b3]	2
[gd][m2]	2
[gd][y4]	2
[i5]	2
[i5]ce	2
[k2]	2
[k3]	2
[k4]	2
[k5]	2
[m2]	2
[m3]	2
[n5]	2
[p1]	2
[p5]ce	2
[t2]	2
a2	2
am	2
ambig	2
any	2
at	2
b1/o2	2
b2/b5	2
b2/o2	2
b3/g3	2
b4/r4	2
b45	2
b4e	2
bg	2
black	2
blind	2
bm	2
bomb	2
br4	2
by3	2
by4	2
c2	2
cluing	2
context	2
d5	2
dark	2
darn	2
declined	2
deferred	2
depending	2
discards	2
doing	2
done	2
earlier	2
either	2
ejection	2
except	2
f'ed	2
forgot	2
g1/i3	2
g1/m3	2
g12	2
g23	2
g3(?)	2
g3/o2	2
g34	2
gb	2
gi3	2
gw	2
gy4	2
has	2
he	2
hesitation	2
