Note	Frequency (186092 in total)
[f]	9902
f	7093
i	3065
-->	2840
this	2782
to	2268
is	2064
cm	1909
clue	1886
play	1777
kt	1719
should	1719
bc	1674
:	1547
not	1432
5	1407
[cm]	1373
looks	1262
known	1239
(	1235
3	1176
2	1174
save	1161
mb	1076
a	1064
hmm	1046
4	1017
here	943
lol	915
be	912
for	898
or	897
b[cm]	892
the	844
why	825
you	814
r2	797
sd[cm]	786
b3	778
r3	772
but	771
fix	754
b4	749
if	746
have	735
r4	729
g3	717
g4	713
b2	698
1	661
g2	660
&	659
promised	647
xd	644
so	638
no	636
mistake	626
i3	620
discard	611
b	602
i2	600
t[cm]	598
prio	594
was	592
gd	591
think	589
stall	584
g	579
as	578
maybe	577
bluff	564
on	550
elim	549
i4	546
y4	545
y3	536
tc[cm]	531
r	524
y2	503
bomb	457
prob	455
don't	446
from	445
didn't	433
me	432
can	427
it	420
y	419
5[cm]	412
oh	410
slot	404
just	399
b1	395
r5	394
that	393
will	392
playable	391
b5	390
m3	386
o[cm]	384
rip	384
:d	382
r1	372
sdcm	368
+	367
g1	364
i5	364
m2	362
g5	359
m4	359
then	358
lel	348
w/	347
doesn't	346
missed	343
my	341
finesse	338
would	338
now	337
prio'd	334
i'm	325
nice	322
could	318
like	317
of	317
!playable	312
in	307
played	302
o2	297
o4	295
do	294
trash	291
what	290
tccm	285
bad	284
sf[cm]	282
thinks	280
did	278
n2	276
how	274
o3	273
nope	272
exactly	271
m5	269
ok	267
one	266
y5	266
cannot	263
i1	263
red	263
we	260
wtf	259
indego	257
card	256
1s	251
instead	251
give	250
y1	249
see	246
when	238
m1	236
has	235
it's	234
clued	232
too	228
know	222
n3	222
wait	219
dr[cm]	216
self	216
needs	213
intended	210
p3	210
3s	206
n5	201
only	201
lanvin	198
tcm	197
need	195
o5	194
ah	193
please	193
2s	191
4s	191
at	189
blue	189
important	189
pink	189
p4	187
plz	185
n1	183
get	181
guess	180
p2	180
ocm	179
tempo	179
color	178
chop	177
also	175
u[cm]	175
haha	174
playing	174
fillin	169
oops	168
are	167
m	166
plays	166
toss	165
