Note	Frequency (48987 in total)
cm	6594
f	4827
[cm]	3394
[f]	2937
5	2803
4	2069
3	2055
2	1632
kt	879
?	753
i	672
b	562
1	561
23	544
g	522
r	461
y	378
this	345
a	264
is	255
34	251
lol	243
p	188
oops	184
o	177
fix	173
play	169
not	159
m	146
you	146
25	137
to	135
g3	117
<3	116
w	115
r4	113
guess	112
b3	110
b4	105
g4	103
should	102
r3	98
be	97
im	93
or	91
45	90
it	89
!1	88
r2	88
what	86
b2	85
i2	82
x	80
no	78
hm	76
g2	74
why	73
y3	73
i3	70
m3	68
i4	67
y4	67
m4	66
clue	65
^^	64
b2e	63
k	63
@@	62
please	60
so	60
r2e	59
but	57
y2	57
have	56
sorry	55
piper	53
do	52
we	52
;;	51
g2e	51
y2e	51
234	49
better	49
g3e	49
nice	49
!2	48
!b	48
!g	47
g4e	47
i5	47
me	47
o3	46
b3e	45
o2	45
r5	45
here	44
are	43
b4e	43
m2	41
!r	40
3b	40
omg	40
prio	40
r3e	39
t	39
!3	38
??	38
did	37
just	37
like	37
!y	36
can	36
e	36
y3e	36
for	35
p3	35
r5e	35
rb	35
y4e	35
prob	34
save	34
the	34
dont	33
o4	33
on	33
r4e	33
24	32
2r	32
ok	32
think	32
trash	32
2b	31
if	31
p4	31
shouldve	31
35	30
3g	28
3r	28
b5	28
p2	28
right	28
???	27
discard	27
how	27
t1	27
:d	26
^^;;	26
cry	26
g1	26
huh	26
looks	26
mb	26
red	26
!r3	25
;;;	25
g5e	25
good	25
really	25
rg	25
ry	25
...	24
345	24
bluff	24
g5	24
it's	24
n	24
some	24
was	24
b5e	23
gb	23
ty	23
:'(	22
:')	22
:(	22
gd	22
my	22
2y	21
af	21
blue	21
didnt	21
i4e	21
m5	21
r1	21
and	20
as	20
bomb	20
fin	20
game	20
green	20
its	20
lolol	20
of	20
want	20
!b3	19
3y	19
:)	19
bad	19
playing	19
t2	19
will	19
y5	19
!5	18
!p	18
4g	18
4r	18
could	18
hopefully	18
n3	18
now	18
would	18
yellow	18
!r5	17
1g	17
4b	17
:p	17
at	17
fixme	17
i5e	17
playable	17
re	17
stall	17
tccm	17
y5e	17
yb	17
!i5	16
1r	16
2g	16
4y	16
b1	16
hope	16
i3e	16
in	16
know	16
let	16
s	16
t5	16
work	16
yg	16
!4	15
:pray:	15
bp	15
going	15
maybe	15
pull	15
thank	15
u3	15
u5	15
y1	15
y1e	15
!g5	14
!r4	14
---	14
..	14
12	14
blaze	14
c	14
first	14
loaded	14
noocm	14
piano	14
r1e	14
seems	14
t24	14
t4	14
t9	14
43	13
does	13
g1e	13
hmm	13
i1	13
m1	13
must	13
o5e	13
p2e	13
p3e	13
push	13
reverse	13
rp	13
stale	13
t18	13
t3	13
t7	13
that	13
!y3	12
+	12
245	12
2m	12
5ce	12
^^;;;	12
am	12
ambi	12
by	12
doing	12
from	12
get	12
hand	12
i2e	12
known	12
likely	12
m5e	12
off	12
one	12
oop	12
pass	12
sure	12
surely	12
wow	12
ye	12
!y2	11
4p	11
a3	11
ahhh	11
an	11
bi	11
brown	11
dda	11
lololol	11
m3e	11
make	11
o4e	11
o5	11
oboy	11
ono	11
p5	11
plays	11
scream	11
see	11
something	11
t11	11
t28	11
then	11
u5e	11
unless	11
v	11
w4	11
your	11
!	10
!i5e	10
2p	10
3p	10
5r	10
:<	10
;)	10
;--;	10
[5]	10
b1e	10
doesnt	10
done	10
gi	10
l	10
oof	10
played	10
t10	10
t15	10
t17	10
t21	10
t25	10
t8	10
trust	10
way	10
woops	10
!b4	9
!i	9
!m	9
!y5	9
!ye	9
--	9
3e	9
5y	9
[cm]?	9
ahh	9
back	9
blocking	9
dang	9
dum	9
dupe	9
ge	9
gy	9
hahaha	9
lucky	9
m2e	9
missed	9
o1	9
ocm	9
opc	9
p4e	9
spook	9
t14	9
u2	9
up	9
utp	9
2345	8
3m	8
4e	8
4m	8
[4]	8
[g3]	8
br	8
card	8
declined	8
dumb	8
fi	8
give	8
go	8
gp	8
guessnot	8
hi	8
ig	8
instead	8
n1	8
n2e	8
n4	8
neg	8
o2e	8
out	8
p1	8
p5e	8
pin	8
pipull	8
ri	8
rm	8
shouldnt	8
since	8
t16	8
t40	8
t43	8
there	8
tocm	8
too	8
w3	8
yp	8
!12	7
!5e	7
!b5	7
!b5e	7
!m4	7
!m5	7
!t	7
!y4	7
1y	7
:fire:	7
[r2]	7
[r4]	7
a3e	7
ah	7
been	7
bg	7
cool	7
crap	7
donno	7
forgot	7
g23	7
has	7
hoodie	7
i1e	7
idk	7
ignore	7
k2	7
knew	7
m23	7
m4e	7
magic	7
might	7
n2	7
n4e	7
n5e	7
ofc	7
promised	7
suspect	7
t12	7
t20	7
t27	7
t30	7
t6	7
u2e	7
uh	7
w3e	7
weird	7
well	7
works	7
ya	7
yr	7
!b3e	6
!g2	6
!g3	6
!g4	6
!i4	6
!o	6
!o2	6
!o4	6
!r2	6
!y4e	6
1b	6
2e	6
3bluff	6
4db	6
5m	6
</3	6
????	6
[g4]	6
[y4]	6
a4	6
a4e	6
ahhhh	6
