Note	Frequency (39242 in total)
f	9427
[f]	5926
[cm]	5304
cm	2471
5	1000
3	649
4	607
2	588
kt	517
r3	409
g3	392
b3	384
b2	360
r2	354
g2	338
y2	319
g4	310
y3	299
r4	295
b4	257
y4	224
m2	222
m3	212
or	208
b1	181
i2	180
g1	179
i3	176
r1	175
1	167
p2	142
m4	140
23	135
m1	134
p3	130
p4	130
i4	112
y1	107
g	106
b5	105
fixme	102
y5	96
g5	94
r5	92
r	91
b	90
y	89
n2	87
probably	86
m5	79
not	78
i1	72
i5	69
play	69
p	64
save	63
n3	62
w3	61
this	58
p1	57
stall	57
p5	51
o4	50
w2	50
o2	49
o1	48
o3	45
n5	44
w4	43
n1	42
prio	42
i	41
n4	40
red	40
be	39
k2	36
k3	35
k4	35
playable	33
t2	33
unclued	33
why	31
fix	30
5ce	29
a	29
t3	29
maybe	28
trash	27
t4	25
the	25
--->y1	24
45	24
could	24
--->y3	23
blue	23
is	23
!2	22
!r	22
green	22
if	22
m	21
---->g2	20
34	20
24	19
?	19
clue	19
!g	18
--->b4	18
elim	18
t1	18
---->r3	17
--->r2	17
fuck	17
to	17
!b	16
---->b1	16
---->y4	16
k1	16
lhs	16
w1	16
--->b1	15
--->y2	15
cmed	15
no	15
pull	15
----g5	14
--->m5	14
--->r4	14
k5	14
like	14
looks	14
o5	14
--->b2	13
--->g2	13
--->p2	13
--->r3	13
a3	13
it	13
t	13
u3	13
yellow	13
---->y2	12
--->g5	12
--->i4	12
25	12
should	12
w5	12
---->g4	11
--->y4	11
as	11
bluff	11
c3	11
color	11
did	11
you	11
--->i2	10
a4	10
better	10
for	10
hopefully	10
k	10
l2	10
l4	10
o	10
w	10
!3	9
----->p2	9
---->r2	9
--->g1	9
--->g3	9
--->i1	9
234	9
35	9
4b	9
4g	9
4y	9
l1	9
l3	9
with	9
!y	8
------>g2	8
---->	8
---->b2	8
---->r5	8
--->g4	8
--->m2	8
4r	8
b1---->	8
c2	8
c4	8
missed	8
purple	8
u2	8
!5	7
!p	7
--->w2	7
--->w5	7
4m	7
after	7
bomb	7
discard	7
how	7
one	7
s	7
safe	7
sorry	7
that	7
!m	6
------>y2	6
-----r3	6
---->b3	6
---->g1	6
---->p2	6
---->t4	6
--->o1	6
---g2	6
[cm]?	6
[unclued]	6
a2	6
by	6
c1	6
clued	6
gb	6
have	6
on	6
soft	6
t10	6
t5	6
tccm	6
will	6
!i	5
&--->i5	5
------->b3	5
----->b3	5
----->y4	5
----->y5	5
---->g3	5
---->p5	5
---->y1	5
---->y5	5
----b3	5
----r4	5
3p	5
4p	5
[f]?	5
and	5
b23	5
bad	5
brown	5
can	5
d3	5
give	5
n	5
priority	5
t26	5
u5	5
would	5
y23	5
yr	5
!w	4
------->r5	4
------a4	4
----->b2	4
----->g2	4
----->i2	4
----->i3	4
----->m4	4
----->r2	4
----->y3?	4
---->b5	4
---->i1	4
---->i4	4
---->i4i5	4
---->ii4	4
---->m3	4
---->m5	4
---->p3	4
---->t5	4
---->y3	4
----b4	4
--->c4	4
--->i5	4
--->l2	4
--->m3	4
---b2	4
---r4	4
---y4	4
-->g1	4
-->w2	4
2m	4
2p	4
3b	4
3g	4
3y	4
[b3]	4
b3---->elim	4
b5---->	4
card	4
critical	4
d4	4
dont	4
finesse	4
g4---->	4
guess	4
here	4
hot	4
i2----->	4
illegal	4
important	4
know	4
l5	4
lel	4
lpc	4
may	4
me	4
nice	4
played	4
prompt	4
r3---->	4
same	4
so	4
still	4
t24	4
t25	4
t30	4
t8	4
tcm	4
thinks	4
was	4
what	4
!g5	3
!n3	3
&	3
------>b2	3
----->b1	3
----->g3	3
----->m3	3
----->p1	3
----->t4	3
----->w1	3
-----p2	3
---->b4	3
---->g5	3
---->m2	3
---->m4	3
---->n5	3
---->o5	3
---->p1	3
---->r1	3
---->r2\\	3
---->r4	3
---->t2	3
---->w1	3
---->w2	3
---->w4	3
----m5	3
----r5	3
--->b5	3
--->i3	3
--->k4	3
--->o3	3
--->p0	3
--->p3	3
--->r1	3
--->t1	3
--->t2	3
--->u2	3
---g3	3
-->b4	3
-->n5?	3
1's	3
3m	3
42	3
5ec	3
8	3
[cm]3?	3
[cm]???	3
[cm][echo]	3
[cm]g4?	3
[cm]p4?	3
[cm]r4?	3
[p3]	3
[y3]	3
all	3
am	3
are	3
batton	3
bg	3
br	3
bs	3
