Note	Frequency (7750 in total)
f	430
cm	361
5	269
3	192
this	185
2	170
4	162
i	142
probably	115
[cm]	103
g2	103
[f]	102
not	99
is	97
b2	86
23	83
r2	81
a	79
1	71
y2	71
r3	70
e	66
g3	66
to	66
g	60
b4	53
g1	53
r4	53
g4	52
trash	52
the	51
b3	50
be	50
y3	49
clue	48
or	47
b	46
y1	45
b1	43
like	42
r	40
m3	39
m2	38
if	37
-->	36
of	36
r1	35
have	34
play	34
y	34
looks	33
should	32
lol	31
was	31
save	30
but	29
jk	29
i2	28
34	26
it's	26
+	25
on	24
y4	24
green	23
m1	23
p2	23
p3	23
wait	23
and	21
maybe	20
n3	20
think	20
bluff	19
elim	19
known	19
m4	19
b5	18
can	18
it	18
p	18
red	18
sure	18
turn	18
24	17
chop	17
i'm	17
my	17
fix	16
g5	16
i4	16
important	16
oh	16
p4	16
i3	15
in	15
n2	15
prio	15
ambig	14
should've	14
dda	13
do	13
instead	13
just	13
no	13
p1	13
possible	13
(probably	12
blue	12
hope	12
m	12
n5	12
that	12
could	11
guess	11
i1	11
isn't	11
m5	11
me	11
o4	11
r5	11
right	11
so	11
t2	11
we	11
what	11
zzz	11
45	10
because	10
doesn't	10
for	10
o3	10
oops	10
pretty	10
really	10
bad	9
cluing	9
discard	9
does	9
double	9
finesse	9
good	9
kt	9
pink	9
prism	9
t	9
w2	9
weird	9
well	9
with	9
work	9
i5	8
kakashi	8
moved	8
n1	8
other	8
played	8
purple	8
supposed	8
t3	8
t4	8
unless	8
w	8
would	8
yellow	8
actually	7
better	7
card	7
don't	7
dupe	7
has	7
k2	7
kind	7
o2	7
ok	7
positional	7
priority	7
that's	7
0	6
234	6
25	6
after	6
are	6
as	6
bomb	6
cards	6
he	6
hopefully	6
lhs	6
lmao	6
now	6
playable	6
pog	6
prompt	6
these	6
wow	6
(1)	5
[2]	5
[4]	5
[5]	5
anyway	5
at	5
blind	5
both	5
can't	5
clued	5
color	5
dark	5
definitely	5
going	5
his	5
k3	5
kyle	5
missed	5
move	5
n4	5
out	5
playing	5
plays	5
rainbow	5
ry	5
tccm	5
though	5
w3	5
want	5
which	5
y5	5
yeah	5
(or	4
12	4
4s	4
[3]	4
[r2]	4
about	4
all	4
almost	4
black	4
blocker	4
c	4
certainly	4
fixme	4
from	4
gb	4
get	4
gonna	4
here	4
idk	4
k	4
kappa	4
kyle's	4
l	4
layered)	4
left	4
might	4
need	4
notes	4
o1	4
one	4
p5	4
pull	4
r23	4
seems	4
self	4
shit	4
shouldn't	4
since	4
something	4
start	4
stupid	4
suboptimal	4
than	4
there's	4
trust	4
unknown	4
w1	4
wasn't	4
way	4
white	4
wrong	4
yg	4
you	4
zamiel	4
->	3
1s	3
35	3
4:	3
5ce	3
5ce'd	3
8	3
[1]s	3
[b]	3
[p]	3
[y4]	3
ah	3
annoying	3
been	3
believe	3
blocking	3
bluffed	3
bp	3
brown	3
c1	3
case	3
choice	3
clues	3
could've	3
did	3
didn't	3
draw	3
duped	3
elims	3
eric	3
feelsbadman	3
forgot	3
fuck	3
haha	3
hesitation	3
how	3
imagine	3
incoming	3
k1	3
k5	3
know	3
knows	3
level	3
loaded	3
lose	3
m23	3
many	3
mean	3
needs	3
omegalul	3
opc	3
order	3
p24	3
rank	3
read	3
rgb	3
rip	3
s2	3
slot	3
some	3
stall	3
still	3
super	3
then	3
theoretically	3
thinks	3
tocm	3
touch	3
try	3
u	3
u2	3
up	3
using	3
w4	3
w5	3
why	3
wonder	3
works	3
y23	3
!1	2
!g	2
(7)	2
(could	2
(i	2
(so	2
(unless	2
-->?	2
-2	2
-y	2
100	2
100%	2
15	2
2:	2
30	2
33	2
345	2
3:	2
3s	2
50%	2
5cm	2
6	2
7	2
?	2
?????	2
[g2]	2
[m1]	2
[m4]	2
[r3]?	2
[r4]	2
[y]	2
again	2
already	2
am	2
ambiguous	2
an	2
any	2
available	2
basically	2
being	2
blaze	2
blockers	2
bombed	2
bombs	2
bottom	2
by	2
c2	2
calculated	2
chance	2
d	2
dang	2
derek	2
discarded	2
discarding	2
dobi	2
doubledown	2
dumb	2
duplicate	2
efaust	2
every	2
feel	2
floriman	2
focus	2
free	2
fucked	2
fun	2
g24	2
game	2
give	2
god	2
gotten	2
great	2
gy2	2
hand	2
having	2
high	2
hmm	2
into	2
is)	2
kimbi	2
l1	2
l3	2
layered	2
least	2
lucky	2
lul	2
make	2
makes	2
man	2
most	2
n	2
nice	2
o	2
o5	2
off	2
ones	2
otherwise	2
p2/t2	2
patch	2
paul	2
point	2
position	2
possibly	2
pulled	2
r/g	2
r2/i1	2
r5/i1	2
rachy	2
re-clue	2
reclue	2
rg	2
s4	2
safe	2
saving	2
spillover	2
strange	2
sucks	2
surely	2
surprise	2
talk	2
target	2
tell	2
there	2
thing	2
time	2
too	2
uh	2
use	2
v	2
very	2
we're	2
were	2
will	2
wouldn't	2
y1/b2?	2
yb	2
yellows	2
!2	1
!b	1
!r	1
!w	1
!yg	1
\"how	1
(	1
(0)	1
(2)	1
(4)	1
(45)	1
(8)	1
(?)	1
(attempted	1
(b1/o3)	1
(because	1
(br)	1
(can't	1
(discard	1
(fix?)	1
(from	1
(g4)	1
(i2?)	1
(if	1
(is	1
(it	1
(k3?	1
(k4	1
(known	1
(l1/c1	1
(maybe	1
(mishka's	1
(more	1
(not	1
(obviously	1
(play	1
(please	1
(r34)	1
(r4/y1/g2/b2/p1/m4)	1
(r45/p34)	1
(r4?	1
(r5	1
(really	1
(risks	1
(should	1
(shouldn't	1
(small	1
(w2	1
(wasn't	1
(y2?)	1
(yeah	1
-4	1
-5	1
-g	1
-gp	1
-multi	1
.89	1
0:	1
1-for-1'd	1
10%	1
11	1
157	1
17	1
18	1
1:	1
1cm	1
2\"	1
2's	1
21	1
245	1
28	1
2g	1
2s	1
3's	1
3)	1
3/4	1
30)	1
321	1
33%	1
36	1
37	1
4)	1
4?)	1
4]	1
51	1
54	1
5nd	1
5p	1
5s	1
6:	1
7:	1
:(	1
?!	1
???	1
[2	1
[a3]	1
[b2]/r1	1
[b4]	1
[b4]?	1
[b5]	1
[blue]	1
[g1]???????????	1
[g4]	1
[g5]	1
[g5]?	1
[g]	1
[g]/m	1
[g]?	1
[green]	1
[i3]?	1
[i5]	1
[i]	1
[i])	1
[k1]	1
[k4]	1
[m2]	1
[m3]	1
[m3]?	1
[ms4]	1
[n1]?	1
[o1]/p1)	1
[o2]?	1
[o4]	1
[p2]	1
[p3])	1
[p]23	1
[r1]/b2	1
[r1]?	1
[r3]	1
[r]	1
[red]?	1
[t3]	1
[t]/i?	1
[trash]	1
[u5]	1
[w3]?	1
[w4]	1
[w]	1
[y1]	1
[y2]	1
[y2])	1
[y2]?	1
[y3]	1
[y]5	1
a5	1
absolutely	1
accidental	1
accidentally	1
actual	1
adrone	1
af	1
aggro	1
ahming	1
also	1
amazing	1
annoyingly	1
apart	1
aren't	1
assumed	1
attempted	1
away	1
b2)	1
b2/m3	1
b23	1
b24	1
b3/i4	1
b5/m1	1
b57	1
b7	1
badly	1
bank	1
believed	1
biiiiiiiiiiiiiiiiiiiiiitch	1
bk	1
blame	1
blocked	1
blocker)	1
blue)	1
blues	1
bluffing	1
board	1
bomb?)	1
bombing	1
brain	1
brown)	1
browns	1
bw	1
bw2	1
byr	1
c5	1
ce	1
charm	1
chicken	1
choose	1
chopmovable	1
christophe	1
close	1
clue)	1
clue?)	1
complicates	1
concerns	1
confused	1
confusing	1
context	1
conventionally	1
conventions	1
cool	1
copies	1
copy	1
correctly	1
couldn't	1
critical	1
d:	1
dammit	1
damn	1
danger	1
dangerous	1
de-dupes?	1
deck	1
decking	1
defer	1
delayed	1
discard:	1
discard?)	1
dmoney	1
dmoney's	1
dog	1
doing	1
done	1
dope	1
doubledown's	1
drawn	1
early	1
easy	1
eat	1
eeeeeeeeeeee	1
efficiency	1
else	1
em	1
embarrassed	1
endgame	1
enough	1
eric's	1
even	1
eventually	1
ever	1
everyone's	1
exactly	1
except	1
extra	1
fact	1
failed	1
feels	1
feelsbad	1
fey's	1
figured	1
fine	1
finessable	1
finessed	1
fireheart	1
first	1
five	1
fix)	1
focused	1
focuses	1
follow-up	1
forgotten	1
freaking	1
fubudis	1
fuuuuuuuu	1
g/y	1
g2)	1
g2/m1	1
g2/o24	1
g34	1
garbo	1
gbp	1
gentleman	1
gets	1
getting	1
giga	1
gk	1
gm	1
gm1	1
goes	1
got	1
gr	1
gray	1
gray)	1
green/yellow	1
greens	1
guaranteed	1
gw	1
gy	1
had	1
hahaahahahaha	1
hahaha	1
hahahahahaha	1
hard	1
he's	1
head	1
hell	1
helps	1
hesi	1
hidden	1
hidden)	1
him)	1
hint	1
holy	1
hoping	1
how)	1
i've	1
i2/ic3	1
i23	1
i3)	1
i4/c34	1
ignition	1
ignored	1
illegal	1
immediately)	1
implies	1
insta-played	1
intended	1
inversion	1
inverted	1
isn't)	1
it)	1
jeff	1
jeff's	1
jokes	1
k4	1
kekw	1
kemurphy	1
kevin	1
kinda	1
knew	1
kopen	1
l2	1
legal	1
lemayo	1
less	1
let	1
likely	1
little	1
lives	1
load	1
lock	1
locked)	1
lol)	1
lolololololololol	1
look	1
lot	1
lotem	1
lucker	1
luckily	1
m)	1
m1)	1
m1/r2	1
m2/b3	1
m3/b1	1
made	1
madman	1
marked	1
masn	1
masn's	1
matter	1
may	1
maybe?)	1
means	1
meant	1
meh	1
mg	1
micerang	1
mn	1
ms	1
n5)	1
needed	1
next	1
nobody's	1
none	1
nonsense	1
nope	1
normal	1
not)	1
note	1
now)	1
ns	1
ns2	1
null	1
number	1
nvm	1
o/v	1
o4?)	1
obviously	1
occupied	1
odd	1
okay	1
omni	1
only	1
oof	1
ooo	1
oop	1
opf-ing	1
opm	1
orange	1
our	1
over	1
overread	1
p34	1
p3?)	1
p7	1
padi	1
pain	1
pass	1
peeposad	1
pepehands	1
phantom	1
pinks	1
placement	1
please	1
pm23	1
poggers	1
possibility	1
potentially	1
practice	1
predicted	1
prevent	1
principle	1
promise	1
promises	1
protect	1
purples	1
puts	1
pw	1
r2/	1
r3)	1
r3/m234	1
r34	1
r7	1
rather	1
rb	1
rbk	1
rbm	1
rbw	1
reason	1
reasonable	1
red)	1
redistribution	1
regular	1
remaining	1
reported	1
required	1
retroactive	1
row	1
rules	1
ryb	1
s	1
s15	1
s3	1
s5	1
sad	1
saddest	1
same	1
sapphire	1
sarcastic	1
saved	1
seen	1
sense	1
sensitivity	1
sequencing	1
she	1
shorts	1
showed	1
sick	1
sinfaith	1
situation	1
skip	1
sky	1
smarts	1
somehow	1
sooner	1
sort	1
spare	1
spicy	1
stale	1
started	1
starting	1
stop	1
stronger	1
strongly	1
such	1
suck	1
sure)	1
sus	1
suspect	1
swineherd's	1
t34	1
t5	1
table	1
targets	1
teal	1
technically	1
tempo	1
tempted	1
things	1
though)	1
thought	1
three	1
throwing	1
times	1
topkeks	1
touched	1
ts	1
u+d	1
u1	1
u5	1
un-chopmove	1
unfortunately	1
unintentional	1
unnecessary	1
useful	1
utd	1
v4	1
valetta	1
w/e)	1
waisel	1
wanted	1
was)	1
we'd	1
went	1
wesley	1
whatever	1
wheeee	1
when	1
whether	1
whole	1
wimpy	1
wish	1
won't	1
woops	1
work)	1
worked	1
worse	1
worst	1
would've	1
x	1
x2	1
y1)	1
y1/m2	1
y2)	1
y2/g3	1
y2/m1	1
y24	1
y2?)	1
y3)	1
y5/g5	1
yaaay	1
yay	1
yeet	1
yellow/teal)	1
yet	1
ym	1
yolooooooooooooooo	1
yuga	1
zakisan	1
zam	1
zzzz	1
