Note	Frequency (39048 in total)
[f]	7559
f	3802
[cm]	3151
cm	2064
kt	1812
5	1197
3	1103
2	1101
4	1052
1	593
g	496
b	481
r	464
y	357
k	317
i	272
a	255
p	246
23	179
m	157
r4	151
save	151
r3	142
b2	134
b3	134
g3	127
should	120
g4	116
r2	116
b4	114
this	114
y4	114
34	113
y3	113
u	110
i3	105
w	105
y2	104
have	101
fix	100
i2	100
g2	98
not	95
it	94
j	92
n	90
to	89
r2e	84
that	84
r4e	79
nvm	78
is	75
probs	75
looks	73
m2	72
i4	71
clue	70
play	69
g4e	68
the	68
5stall	67
m4	67
m3	66
was	63
like	62
:(	61
b2e	60
be	60
b1	59
p3	54
!r	53
b4e	53
why	53
g1	52
g3e	52
nope	51
known	50
m1	49
r1	49
r5e	48
y1	48
g2e	47
p2	47
y5e	47
b3e	46
p4	45
!b	43
m5	43
or	43
o4	42
!y	41
as	40
g5e	40
!g	39
playable	39
r5	39
b5	38
o3	38
g5	37
r3e	37
y2e	37
clued	36
so	35
t	35
y5	35
for	34
of	34
b5e	32
bluff	32
o	32
234	31
i1	31
instead	31
stale	31
!1	29
better	29
on	29
y4e	29
25	28
[f]?	28
because	28
but	28
it's	28
missed	28
n4	28
y3e	28
and	27
p4e	27
?	26
b1e	26
bad	26
finesse	26
i2e	26
ptd	26
!2	25
from	25
i5	25
knows	25
lhs	25
now	25
could	24
my	24
o2	24
oh	24
thinks	24
->	23
guess	23
here	23
maybe	23
discard	22
g1e	22
i3e	22
prio	22
!3	21
5ce	21
m4e	21
me	21
n3	21
did	20
if	20
no	20
p1	20
will	20
??	19
bomb	19
k2	19
k3	19
k4	19
o5	19
p2e	19
p5	19
red	19
i4e	18
m3e	18
n5	18
played	18
t2	18
finess	17
fixed	17
m2e	17
trash	17
t1	16
would	16
can	15
just	15
k4e	15
o1	15
pablo	15
playing	15
probably	15
t7	15
5save	14
[cm]?	14
how	14
n25	14
n2e	14
p3e	14
yg	14
!p	13
[kt]	13
been	13
d:	13
give	13
hopefully	13
know	13
lpc	13
n2	13
rg	13
stall	13
!k	12
1s	12
[f][y2]	12
anti	12
green	12
k1	12
mb	12
might	12
one	12
purple	12
r1e	12
t17	12
t22	12
t3	12
w3e	12
!5	11
gb	11
i'm	11
in	11
k3e	11
p5e	11
right	11
t10	11
t12	11
t15	11
t4	11
t8	11
there	11
what	11
!r5	10
45	10
also	10
b23	10
does	10
let	10
look	10
m5e	10
ok	10
r23	10
ry	10
t13	10
t14	10
t18	10
t24	10
t32	10
then	10
with	10
y1e	10
yb	10
!i	9
!r1234	9
24	9
???	9
bg	9
blue	9
br	9
dda	9
doesn't	9
given	9
gr	9
i5e	9
important	9
k5e	9
m23	9
sad	9
t21	9
t23	9
t25	9
t27	9
t42	9
that's	9
!m	8
5pull	8
>	8
[f][b2]	8
[f][g2]	8
[r2]	8
actually	8
c	8
chop	8
didn't	8
do	8
dumb	8
g2e>	8
gp	8
m234	8
n1	8
n3e	8
n4e	8
please	8
r4e>	8
t16	8
t3e	8
t45	8
t5	8
t6	8
t9	8
think	8
w2	8
w5e	8
wasn't	8
y23	8
yk	8
!m3	7
!w	7
!yg	7
8cs	7
[3]	7
[b3]	7
[f][b3]	7
[f][g3]	7
[f][r2]	7
[f][r3]	7
bk2e	7
card	7
d	7
don't	7
focus	7
g23	7
g5e>	7
get	7
hand	7
he	7
k34	7
looked	7
o2e	7
otherwise	7
prompt	7
prompted	7
really	7
rp	7
shouldn't	7
stupid	7
t11	7
t20	7
t29	7
t37	7
t43	7
t46	7
t51	7
w3	7
wait	7
we	7
work	7
wrong	7
yr	7
!m4	6
2s	6
2save	6
5s	6
[f][y3]	6
[y3]	6
all	6
are	6
b4e>	6
by	6
can't	6
clues	6
cmd	6
d2	6
double	6
e	6
elim	6
had	6
hesitation	6
idea	6
im	6
jack	6
layered	6
m25	6
position	6
prob	6
r2e>	6
r5e>	6
rk	6
saved	6
smth	6
still	6
t28	6
t36	6
t41	6
t48	6
tccm	6
very	6
well	6
when	6
you	6
yp	6
!4	5
!k2	5
!r3	5
345	5
35	5
3bluff	5
:/	5
[23]	5
[4]	5
[b2]	5
[b4]	5
[cm][2]	5
[cm][3]	5
[cm][4]	5
[f][g1]	5
[fix]	5
[r3]	5
a1e	5
a2e	5
a[f]	5
about	5
again	5
b5e>	5
bi	5
bp	5
color	5
g34	5
going	5
gotten	5
i1e	5
i34	5
inversion	5
its	5
loaded	5
n25e	5
need	5
o5e	5
other	5
pg3e	5
phantom	5
plays	5
t26	5
t30	5
t38	5
t49	5
t50	5
t53	5
t54	5
teal	5
terrible	5
thanks	5
too	5
w1	5
w4e	5
y4e>	5
yellow	5
!12	4
!a	4
!b4	4
!g2	4
!gb	4
!m2	4
!t1234	4
!y5	4
3s	4
4s	4
:d	4
????	4
[5]	4
[cm][a]	4
[f][g4]	4
[f][r1]	4
[p2]	4
[y2]	4
ab5e	4
after	4
already	4
am	4
amb	4
an	4
anymore	4
arg	4
at	4
b34	4
b45e	4
bg2e	4
bk	4
bombs	4
c45e	4
d2e	4
discards	4
done	4
finessed	4
forgot	4
g3e>	4
g4e>	4
ga	4
gave	4
gb3e	4
gm	4
good	4
got	4
gr3e	4
has	4
hope	4
i'll	4
i45e	4
k5	4
l3	4
m34	4
move	4
nah	4
notes	4
number	4
o23	4
o34	4
o4e	4
opc	4
p23	4
p24e	4
p2e>	4
pink	4
r3e>	4
r5i4e	4
rb	4
read	4
regret	4
rgb	4
rip	4
s	4
since	4
slot	4
some	4
t19	4
t31	4
t33	4
t34	4
t40	4
t44	4
t47	4
t56	4
tcm	4
tempo	4
took	4
touch	4
tr	4
try	4
up	4
w4	4
waited	4
wasnt	4
y34	4
y3e>	4
y45e	4
yaay	4
!1?	3
!b3	3
!b5	3
!bg	3
!g3	3
!rb	3
!t1234]	3
!yb	3
/shrug	3
15	3
2/5	3
245	3
4charm	3
:)	3
<3	3
[!r]	3
[1]	3
[cm][b]	3
[cm][fix]	3
[cm][g2]	3
[cm][p]	3
[cm][r3]	3
[f][b4]	3
[f][p2]	3
[f][p3]	3
[f][r2	3
[f][y1]	3
[f]a	3
[g4]	3
[g]	3
[i4]	3
[p2e	3
[r1]	3
[y4]	3
a3	3
a4	3
a4e	3
a5e	3
ahhh	3
animex	3
anything	3
apparently	3
before	3
bm2	3
by4	3
calls	3
context	3
d3	3
d5e	3
db2e	3
dupe	3
feel	3
first	3
forever	3
g23e	3
ga5e	3
gy	3
i345	3
i34e	3
ib	3
idk	3
illegal	3
into	3
isn't	3
k2e	3
kinda	3
locked	3
m1b2	3
m345	3
mb2	3
mess	3
mg	3
missing	3
mt2e	3
o345	3
o45e	3
ohhhh	3
only	3
ooo	3
p3e>	3
p5e>	3
pe	3
pg	3
point	3
positional	3
pov	3
pp4	3
pretty	3
prism	3
pull	3
r34	3
ry2e	3
s2e	3
s5e	3
same	3
seph	3
shouldnt	3
soon	3
sorry	3
stomp	3
sucubis	3
t2e	3
t35	3
t4e	3
t57	3
t58	3
t61	3
t64	3
than	3
things	3
touched	3
trust	3
trying	3
u1e	3
unnecessary	3
v	3
w2e	3
wk	3
xmil	3
y24	3
ya	3
yg2e	3
!	2
!b2	2
!b?	2
!g4	2
!g5	2
!g?	2
!i5	2
!m5	2
!n5	2
!o1	2
!o4	2
!p2	2
!p?	2
!r2	2
!ry	2
!t	2
!y2	2
!ybg	2
!yr	2
(probs	2
*	2
-->	2
0	2
157	2
235	2
25save	2
2e	2
2p	2
5cm	2
5p	2
5pulled	2
8clue	2
:cry:	2
?????	2
???????????	2
??????????????????	2
[2]	2
[34]	2
[cm][5]	2
[cm][a3]	2
[cm][g]	2
[cm][p4]	2
[cm][y3]?	2
[cm][y4]	2
[cm][y]	2
[f][b1]	2
[f][i2]	2
[f][i3]	2
[f][m2]	2
[f][n4]	2
[f][p1]	2
[f][r4]	2
[f][w4]	2
[f][y3	2
[f]g4b3e	2
[fix][kt]	2
[g2]	2
[g3]	2
[k1]	2
[k2]	2
[m]	2
[n3]	2
[p3]	2
[p]	2
[r2]?	2
[r4]	2
a2	2
a35	2
a3e	2
ab	2
ahhhhh	2
amy	2
another	2
any	2
awesome	2
b1m2	2
b24	2
b2e>	2
b5e->	2
back	2
best	2
black	2
blacks	2
blindplay	2
blindplays	2
bluffed	2
bm	2
bm1	2
bombed	2
both	2
broke	2
byg	2
cards	2
cat's	2
choice	2
clueing	2
confused	2
confusing	2
couldn't	2
crap	2
critical	2
d4	2
def	2
delayed	2
directly	2
discarded	2
discarding	2
discharge	2
dumdum	2
duplicated	2
early	2
ejection	2
everyone	2
fact	2
focused	2
frack	2
g12	2
g3m1	2
g5m2	2
gby	2
gives	2
gk	2
gm1	2
gm2	2
happen	2
his	2
ib2e	2
id4	2
ignition	2
indeed	2
isnt	2
kg	2
kr	2
l2e	2
l4	2
liked	2
lot	2
m1]	2
m24e	2
m2b5	2
m4e>	2
magic	2
make	2
many	2
matching	2
mb1	2
meeeee	2
mel	2
messed	2
mg1	2
mg4	2
misplay	2
mr3e	2
my1	2
n2i1e	2
n5e	2
n5e>	2
necessary	2
needed	2
needs	2
never	2
nobody	2
o24	2
og2	2
ohh	2
ohhh	2
omg	2
ones	2
oop	2
oops	2
opportunity	2
p1e	2
p34	2
p4e>	2
pass	2
pp2	2
pp3	2
pr	2
promised	2
purples	2
push	2
q	2
r1]	2
r1i5	2
r1m2	2
r45	2
ra	2
ra2e	2
rach	2
realized	2
reverse	2
rg3	2
ri	2
rm	2
ro	2
rw	2
ryb	2
s15	2
s4	2
science	2
see	2
simply	2
sloppy	2
slow	2
someone	2
something	2
start	2
suspects	2
t3/7	2
t39	2
t52	2
t59	2
t5e	2
t60	2
t62	2
tc[cm]	2
they	2
thief	2
those	2
two	2
understand	2
until	2
utd	2
vs	2
want	2
wanted	2
way	2
where's	2
which	2
who	2
whyyyyyyy	2
wish	2
wump	2
y2e>	2
y3g3e>	2
y4]	2
y5e>	2
yay	2
yb4	2
yes	2
yet	2
ym2	2
yrb	2
yup	2
!13	1
!23	1
!3?	1
!5]	1
!ab	1
!b1	1
!b234]	1
!b2?	1
!b2]	1
!bgt	1
!bgy	1
!bp	1
!by	1
!d2	1
!f	1
!gbp	1
!gm	1
!gra	1
!grb	1
!gy	1
!i4	1
!ib	1
!k2]	1
!k?	1
!m1	1
!m1r2	1
!n2	1
!n4	1
!n?	1
!o2	1
!o5	1
!op	1
!p4	1
!pbr	1
!pg	1
!playable	1
!playable?	1
!prg	1
!pw	1
!py	1
!r4	1
!rbgp	1
!rgb	1
!rk	1
!rt	1
!rtp	1
!s	1
!t2	1
!tgp	1
!u2	1
!w2	1
!w34>	1
!w4	1
!wk	1
!y?	1
!yi	1
!ym	1
!yrwp	1
!yw	1
(1)[2]	1
(aka	1
(b1	1
(because	1
(bomb)	1
(but	1
(clue	1
(dda)	1
(finally!)	1
(nothing	1
(p	1
(p3?)	1
(p4?)	1
(the	1
(u?)utd	1
(y4?)	1
*knocks	1
-.-	1
12	1
15s	1
1stall	1
2)	1
2r	1
30	1
36	1
3save	1
4db	1
5/2	1
54	1
5[cm]	1
5ce'd	1
5ced	1
5chop	1
5i34	1
5nd	1
5stalllll	1
5stalls	1
7	1
8	1
:'(	1
:((((((((((((((	1
:@	1
:facepalm:	1
:joy:	1
??????	1
???????	1
??????????????	1
???????????????	1
????????????????????	1
?????????????????????	1
[!1	1
[!2]	1
[!b2?]	1
[!br]	1
[!r1234	1
[!r2	1
[!r5]	1
[!y3	1
[!y]	1
[2][kt]	1
[3g]	1
[5]s	1
[b	1
[b1]	1
[b23m234]	1
[b2][cm]	1
[b4][f]	1
