Note	Frequency (21316 in total)
f	1093
i	583
this	426
?	403
is	341
not	322
cm	283
a	253
to	239
why	230
[f]	223
play	221
lol	206
clue	200
oh	186
5	185
but	170
it	163
save	161
+	148
r3	144
should	144
->	137
bluff	135
be	132
have	129
b3	128
g2	124
no	123
??	121
3	119
finesse	118
the	118
r2	114
you	114
[cm]	112
g3	110
what	109
2	108
discard	106
b4	103
can	103
y2	103
r4	101
y4	99
1	98
do	95
y3	95
b2	94
g4	94
ok	94
we	94
maybe	91
so	91
on	88
4	85
and	85
fix	85
stall	85
as	81
just	78
looks	78
or	78
wait	75
like	73
probably	73
that	69
dont	68
it's	67
bad	66
cant	66
r1	65
was	64
my	63
b1	62
because	62
how	62
if	62
b5	61
trash	60
for	58
p3	58
guess	56
y5	55
blue	54
g1	54
from	52
p4	52
prio	50
r5	50
y1	50
g5	49
lmao	49
need	49
:(	48
with	48
!?	47
get	47
in	47
p2	47
think	46
green	45
me	44
now	44
good	43
yellow	42
red	41
give	40
???	39
right	39
has	38
i3	38
isnt	38
known	38
m2	38
schark	38
also	37
doesnt	37
im	37
playable	37
i2	36
oops	36
plays	36
m3	35
m4	35
would	35
by	34
playing	34
turn	33
can't	32
does	32
i5	32
m1	32
chop	31
could	31
did	31
kakashi	30
know	30
mel	30
p5	30
pls	30
sorry	30
are	29
line	29
oop	29
tempo	29
choice	28
didnt	28
of	27
an	26
better	26
i4	26
then	26
0	25
focus	25
m5	25
double	24
occupied	24
stupid	24
well	24
when	24
!	23
kyle	23
lose	23
actually	22
color	22
cuz	22
dda	22
even	22
game	22
he	22
illegal	22
kt	22
rank	22
that's	22
wtf	22
clues	21
context	21
ejection	21
first	21
...	20
8	20
don't	20
o4	20
off	20
self	20
want	20
am	19
ambig	19
misplay	19
neg	19
one	19
p1	19
pink	19
touch	19
weird	19
any	18
blind	18
card	18
purple	18
seems	18
unless	18
wat	18
work	18
works	18
wrong	18
\\f	17
cluing	17
dumb	17
eject	17
fuck	17
i1	17
likely	17
might	17
nice	17
see	17
w2	17
will	17
????	16
hard	16
idk	16
let	16
must	16
played	16
scream	16
slot	16
uhh	16
uhhh	16
unnecessary	16
at	15
clued	15
getting	15
hell	15
lul	15
n1	15
never	15
notes	15
read	15
trust	15
up	15
!!	14
:/	14
a2	14
hesi	14
k4	14
n2	14
positional	14
really	14
thats	14
thinks	14
u	14
w3	14
wth	14
yeah	14
:o	13
a4	13
about	13
bomb	13
certain	13
early	13
flori	13
its	13
k3	13
kimbi	13
misprompt	13
mistake	13
nothing	13
r23	13
reverse	13
shouldnt	13
though	13
thought	13
very	13
1:	12
5s	12
9:	12
[fixme]	12
after	12
always	12
hate	12
huh	12
instead	12
k	12
knows	12
level	12
meh	12
missed	12
n3	12
nah	12
o1	12
o3	12
pull	12
sephi	12
tccm	12
(-1)	11
cards	11
cmon	11
fine	11
g	11
giving	11
hand	11
here	11
k2	11
more	11
n4	11
n5	11
p23	11
strange	11
subopt	11
wasnt	11
1s	10
7	10
8:	10
:)	10
all	10
blocking	10
case	10
dani	10
db	10
elim	10
fey	10
generation	10
hope	10
kinda	10
lie	10
liv	10
loaded	10
needs	10
noo	10
prompt	10
some	10
something	10
suppose	10
t1	10
uhoh	10
utp	10
(-3)	9
-_-	9
.	9
13:	9
6	9
>	9
ah	9
allowed	9
asaelr	9
assume	9
b23	9
declined	9
hm	9
interesting	9
lhs	9
o2	9
over	9
perhaps	9
permission	9
push	9
sad	9
safe	9
sense	9
shouldve	9
two	9
ugh	9
valid	9
way	9
which	9
xd	9
(or	8
21:	8
4:	8
5:	8
5p	8
a3	8
been	8
bluffs	8
continuation	8
crit	8
discharge	8
dmoney	8
done	8
etc	8
exist	8
fixing	8
gonna	8
hakha	8
k1	8
kool	8
lmfao	8
makes	8
misplays	8
only	8
out	8
possibly	8
promise	8
reclue	8
redisty	8
rip	8
supposed	8
t1:	8
time	8
too	8
w4	8
yellows	8
(i	7
12:	7
32:	7
35:	7
?????	7
anymore	7
black	7
bluffing	7
certainly	7
crap	7
delayed	7
dupe	7
everyone	7
force	7
fpe	7
free	7
gave	7
gets	7
had	7
hanabi	7
into	7
layered	7
less	7
mb	7
mean	7
necessary	7
o5	7
presumably	7
reds	7
seph	7
since	7
still	7
sure	7
t2	7
tho	7
w1	7
y23	7
yes	7
youre	7
16:	6
17:	6
18:	6
19:	6
23:	6
26:	6
2s	6
7:	6
[y2]	6
although	6
asm	6
aw	6
b	6
blues	6
both	6
confusing	6
derek	6
die	6
discarding	6
doing	6
down	6
earlier	6
else	6
ever	6
exists	6
fixed	6
fixme	6
fucked	6
gb2	6
job	6
lolol	6
losing	6
lpc	6
make	6
man	6
many	6
markus	6
may	6
ouch	6
pass	6
pos	6
robense	6
shit	6
surely	6
take	6
terrible	6
tf	6
thank	6
they	6
thing	6
trololol	6
try	6
trying	6
we're	6
wouldnt	6
wow	6
y	6
ya	6
yay	6
yet	6
zam	6
(not	5
(should	5
(why	5
10:	5
11:	5
14:	5
15:	5
24:	5
27:	5
2:	5
6:	5
[kt]	5
a1	5
almost	5
being	5
bombed	5
bp4	5
brown	5
clandestine	5
discarded	5
either	5
exactly	5
failed	5
fill	5
finesses	5
forgot	5
full	5
g/3	5
gd	5
his	5
intended	5
inversion	5
isn't	5
livia	5
look	5
lost	5
m	5
much	5
multi	5
negative	5
newduke	5
nitrate	5
null	5
ohno	5
omg	5
ones	5
opc	5
p	5
p/2	5
pf	5
r	5
regardless	5
s4	5
sadly	5
silly	5
sin	5
slow	5
soz	5
stealing	5
strictly	5
strong	5
technically	5
there	5
these	5
through	5
tocm	5
u3	5
utd	5
wanna	5
wanted	5
white	5
whyy	5
woah	5
yo	5
zak	5
(also	4
(no	4
10	4
12	4
31:	4
33:	4
41:	4
4s	4
5nd	4
9	4
\\	4
a5	4
anything	4
arent	4
b/2	4
bcs	4
before	4
big	4
board	4
bruh	4
charm	4
cluable	4
consider	4
conventions	4
damn	4
defer	4
defered	4
dies	4
discards	4
doubt	4
duping	4
eh	4
end	4
everything	4
feel	4
fixes	4
got	4
gotten	4
heck	4
him	4
hmm	4
i23	4
idea	4
illogical	4
inverted	4
k34	4
k5	4
last	4
long	4
magic	4
mine	4
move	4
ocm	4
ooo	4
pace	4
piano	4
please	4
pog	4
possible	4
pretty	4
promised	4
protect	4
punish	4
quack	4
r/4	4
rules	4
same	4
saved	4
sees	4
single	4
specifically	4
stacked	4
steal	4
stop	4
swine	4
t10	4
t15	4
t4:	4
t8:	4
thonk	4
urgh	4
use	4
variant	4
w5	4
wonder	4
worked	4
yep	4
!!!	3
#2	3
(	3
(-2)	3
..	3
13	3
22:	3
23	3
28:	3
29:	3
30:	3
34:	3
36:	3
37:	3
3:	3
3s	3
42:	3
4head	3
5's	3
90%	3
:d	3
:eyes:	3
?????????	3
[b4]	3
[r4]	3
a:	3
again	3
ahh	3
allow	3
animex	3
another	3
anti	3
anyways	3
apparently	3
b34	3
back	3
become	3
blacks	3
blaze	3
bluff)	3
bluffed	3
bombs	3
boring	3
bro	3
broken	3
burn	3
clearly	3
cming	3
deal	3
distribution	3
enough	3
equally	3
erm	3
expect	3
finessed	3
fml	3
focused	3
g/1	3
g23	3
g45	3
given	3
gray	3
greens	3
ha	3
happen	3
happened	3
happening	3
happens	3
hesitation	3
hmmm	3
hoping	3
ignore	3
ignoring	3
imp	3
important	3
jones	3
jump	3
keep	3
koo	3
lanvin	3
least	3
legal	3
let's	3
lets	3
letting	3
literally	3
lucky	3
matter	3
melwen	3
messed	3
mice	3
misplayed	3
new	3
nooo	3
noooo	3
ohh	3
omni	3
ook	3
order	3
own	3
p/1	3
pablo	3
pdb	3
poor	3
pray	3
ptd	3
purples	3
puzzle	3
r/1	3
r3)	3
r34	3
realize	3
reasons	3
redistribute	3
risky	3
saves	3
say	3
screaming	3
skip	3
someone	3
soo	3
srs	3
stalling	3
suboptimal	3
t14:	3
t3	3
target	3
targets	3
tell	3
telling	3
than	3
them	3
theoretically	3
thingy	3
tsk	3
u2	3
uh	3
uhhhh	3
understand	3
useful	3
whatever	3
where	3
wheres	3
who	3
whoops	3
whyyy	3
wont	3
worse	3
write	3
wyd	3
y/2	3
y24	3
yall	3
yb3	3
your	3
!???	2
'q	2
(!)	2
(ambig)	2
(b)	2
(b34	2
(but	2
(could	2
(ejection	2
(green)	2
(how	2
(in	2
(likely	2
(looks	2
(maybe	2
(me	2
(neg	2
(otherwise	2
(probably)	2
(tccm)	2
(this	2
(though	2
-1	2
......	2
100%	2
11	2
20:	2
21	2
28	2
32	2
4)	2
45:	2
53:	2
5cm	2
:	2
:((	2
>d	2
??????	2
[ambig]	2
[r1]	2
[r5]	2
[should	2
[y3]	2
[y5]	2
actual	2
aha	2
ahhhh	2
alt	2
amazing	2
ambiguity	2
ambiguous	2
annoyed	2
anxiety	2
assumed	2
assuming	2
avoiding	2
b2)	2
b24	2
best	2
bet	2
biggest	2
bit	2
blame	2
bm2	2
bm3	2
bother	2
break	2
bs	2
cannot	2
care	2
cause	2
check	2
choose	2
chose	2
clarify	2
cm'd	2
cmd	2
cont	2
convenient	2
convention	2
couldve	2
count	2
course	2
cue	2
curious	2
dang	2
danger	2
dangerous	2
dbignition	2
deepberi	2
defering	2
despite	2
direction	2
dobi	2
doesn't	2
duck	2
dumdum	2
duped	2
ejected	2
ejections	2
entertain	2
every	2
except	2
expected	2
expecting	2
ez	2
fact	2
fair	2
fake	2
fault	2
fear	2
figured	2
fine)	2
finee	2
finessing	2
five	2
fixy	2
florrat	2
forget	2
fp	2
fucking	2
funny	2
g/2	2
g/5	2
g1)	2
g5)	2
gb4	2
gg	2
gk3	2
goofed	2
gp3	2
green)	2
guide	2
haha	2
hahaha	2
honestly	2
hrm	2
hyphen	2
i'll	2
ignores	2
ihave	2
imo	2
info	2
information	2
jerry	2
k234	2
killing	2
kool's	2
kyle's	2
l3	2
lack	2
lanvin's	2
later	2
least)	2
leaves	2
left	2
legally	2
lelouch	2
lilliana	2
lock	2
locked	2
lololol	2
lord	2
lotem	2
low	2
m23	2
m234	2
m25	2
m3)	2
mad	2
making	2
marek	2
mark	2
marked	2
mel's	2
meme	2
mildly	2
mind	2
misprompts	2
most	2
moves	2
muddy	2
n125	2
n25	2
navy	2
nils	2
non	2
nonsensical	2
nor	2
normal	2
note	2
number	2
o	2
o23	2
o34	2
obvi	2
obviously	2
ooh	2
oopsy	2
other	2
our	2
oy	2
p34	2
p45	2
passing	2
patch	2
pestilent	2
plus	2
point	2
postmans	2
prevent	2
principle	2
prioing	2
priority	2
prolly	2
prompts	2
pulls	2
pushing	2
qb	2
r/2	2
r13	2
reads	2
respect	2
rev	2
rg1	2
ri2	2
ridiculous	2
rm4	2
rm5	2
rp	2
rp2	2
s1	2
s2	2
s3	2
sacrifice	2
safely	2
said	2
saving	2
score	2
she	2
shock	2
skipped	2
smart	2
somehow	2
soon	2
sorta	2
spend	2
sry	2
stale	2
starved	2
stole	2
stoopid	2
suck	2
surprise	2
t17	2
t23	2
t4	2
t5	2
theory	2
there's	2
thx	2
touching	2
tp	2
transfer	2
tricky	2
trusting	2
uhhhhh	2
um	2
unknown	2
unplayable	2
us	2
wants	2
were	2
whats	2
whoopsie	2
whyd	2
win	2
winning	2
witness	2
womp	2
world	2
worth	2
wouldve	2
wut	2
xmil	2
yg2	2
yg4	2
ym4	2
!!!!	1
!!!!!	1
!!!!!!!!	1
!!!?!	1
!!?!	1
!!?!!	1
!1	1
!?!!	1
!?!?!?#!@$r3t';welr'	1
!???!?!	1
!b	1
!b2	1
!p	1
!y2	1
\"any\"	1
\"b2\"	1
\"chop	1
\"correct\"	1
\"m2\"	1
\"p4\"	1
\"prio\"	1
\"skip\"	1
#abolish5stalls	1
%	1
(!!)	1
(1	1
(4	1
(??)	1
(actually	1
(are	1
(b5)	1
(because	1
(by)	1
(can	1
(can't	1
(clearly	1
(couldve	1
(db)	1
(delayed	1
(double	1
(failed)	1
(from	1
(g)	1
(g23)	1
(g3/b2/r2/k1/n?)	1
(g4	1
(he	1
(hesi)	1
(hey	1
(i'm	1
(ie	1
(if	1
(im	1
(io3)	1
(it	1
(kool	1
(lolol	1
(m1)	1
(m2)	1
(m3)	1
(m4)	1
(mel	1
(neither)	1
(nope	1
(now	1
(o5?)	1
(oh	1
(over	1
(p4	1
(play	1
(plays	1
(please	1
(pointless	1
(probably	1
(promised	1
