Note	Frequency (193362 in total)
f	14437
kt	4931
[f]	4783
this	2781
i	2659
cm	2607
not	2036
-->	2031
en	1902
4	1889
a	1844
5	1810
3	1804
lol	1748
maybe	1736
2	1643
--->	1641
[fix]	1459
r3	1421
fix	1420
now	1405
r2	1364
is	1355
b3	1344
g3	1299
r4	1292
be	1228
1	1214
b4	1209
b2	1194
known	1164
no	1146
g2	1143
g4	1126
guess	1108
to	1046
tcm	1016
y4	914
or	909
y3	900
y2	896
if	892
gd	889
ok	847
just	826
as	775
was	752
b	722
g	720
prob	719
it	718
oh	701
r5	700
r	687
hopefully	662
r1	654
prio	649
b1	639
the	632
have	628
i3	627
[cm]	624
g1	615
m3	595
probably	595
b5	591
m2	590
m4	589
g5	581
i2	581
play	573
might	569
i4	568
after	567
y	561
from	560
save	549
ocm	542
likely	484
should	478
p3	476
scream	458
like	455
y1	450
imo	448
y5	447
could	443
p2	443
p4	437
for	435
[tcm]	431
nvm	425
but	408
i5	408
trash	406
nocm	401
that	396
spook	392
think	392
fixed	390
---->	386
d:	380
so	378
5cm	377
fixme	375
bomb	371
m5	369
rip	365
clue	351
off	335
pres	331
m1	326
marked	326
of	323
on	321
very	320
assume	319
looks	313
i'm	312
bluff	309
he	298
here	295
then	295
[5cm]	275
//	273
sn	273
right	271
5pp	270
me	269
o3	267
i1	263
huh	262
must	258
p	255
p1	252
playable	245
discard	244
still	244
well	241
o2	240
would	235
:o	234
p5	232
t2	232
w	231
t3	226
t4	226
ens	223
m	223
missed	222
:p	221
red	221
t1	219
o4	217
+	216
n2	216
something	216
spooked	216
t5	214
34	212
why	208
n3	207
hmm	204
what	203
thinks	200
o7	199
really	199
we	198
plays	197
w3	194
wait	192
way	192
in	191
tccm	191
sure	188
stall	186
w2	186
[fixed]	185
see	185
w4	184
k2	183
piper	182
gunna	181
[kt]	179
and	178
can	178
n1	178
n5	176
t6	174
blue	173
my	173
t13	171
t18	171
seems	170
t10	170
5ce	169
45	168
at	168
doesn't	167
though	167
t9	166
t11	163
n4	162
positional	160
k	159
t8	159
o5	158
by	157
prompt	157
k3	155
any	154
actually	153
af	153
safe	153
heck	152
k4	152
t20	152
can't	150
exactly	150
t15	150
?	149
u2	149
t14	148
t7	148
23	147
i'll	147
ambig	145
t12	144
blocking	143
do	143
t17	143
don't	142
stale	141
green	140
t16	140
finesse	138
t19	138
[ocm]	137
marks	133
prompted	132
t23	132
it's	131
t30	131
did	130
u4	130
utd	129
bad	128
u5	128
t22	127
lpc	126
cm'd	125
t21	125
good	124
u3	124
unclear	124
t25	123
t_t	123
an	122
been	121
read	121
oof	119
2pp	117
ptd	117
uh	117
nice	116
we're	116
[sdcm]	115
all	115
t24	115
unless	115
one	114
presumably	114
o1	113
t28	112
too	112
trust	111
kimbi	108
double	105
makes	105
t29	104
yikes	104
t26	103
will	103
some	102
:s	98
are	98
meh	98
need	98
shout	98
u1	98
w5	98
!1	97
we'll	97
promised	96
tempo	96
[4]	95
playing	95
t32	95
weird	95
least	94
up	94
!r	93
surely	92
either	91
k5	91
supposed	91
w/	91
dda	90
monkas	90
yellow	90
about	89
does	89
t31	89
played	88
t33	88
yolo	88
get	87
hope	87
[gd]	86
\\o/	86
going	86
hmmm	86
work	86
[5]	85
bombs	85
look	85
yay	85
how	84
push	84
t27	84
t35	84
declined	83
slot	83
bluffed	82
rb	82
[tccm]	81
know	81
mark	81
dupe	80
hoping	80
lhs	80
out	80
retro	80
technically	80
!b	79
even	79
woah	79
idea	78
knows	78
:(	77
lolol	77
>.<	76
[3]	76
didn't	76
o	76
:/	75
!g	74
k1	74
sense	74
gb	73
got	73
t	73
works	73
isn't	72
potential	72
t36	72
345	71
t37	70
touch	69
woops	69
[g2]	68
enough	68
more	68
3pp	67
also	67
pink	67
pretty	67
suspect	67
wasn't	67
with	67
[r3]	66
chance	66
crap	66
omg	66
w1	66
!y	65
[r2]	65
fuck	65
am	64
confirmed	64
has	64
hesitation	64
sdcm	64
gotta	63
rg	63
again	62
def	62
since	62
t38	62
back	61
god	61
t40	61
v	61
yg	61
plz	60
strong	60
t34	60
1s	59
a3	59
card	59
ejection	59
needs	59
she	59
t39	59
t42	59
yb	59
chop	58
important	58
bleh	57
layered	57
make	57
thought	57
time	57
wonder	57
??	56
@_@	56
being	56
clued	56
gl	56
hand	56
[2]	55
assumes	55
oop	55
[b2]	54
adrone	54
g23	54
yeah	54
sorry	53
----->	52
a4	52
color	52
ctd	52
go	52
ix	52
please	52
potentially	51
!5	50
100%	50
234	50
5s	50
<--	50
because	50
better	50
eh	50
[b3]	49
[b4]	49
a2	49
blaze	49
definitely	49
feel	49
super	49
uhh	49
worth	49
