Note	Frequency (50815 in total)
f	3217
[cm]	1600
i	1464
[f]	1292
this	1276
kt	1143
is	659
lol	655
5	594
a	505
not	492
\\o/	490
cm	478
maybe	470
oh	408
guess	407
probably	403
3	347
be	343
to	340
4	336
was	311
2	310
it	297
no	289
fix	287
that	275
r3	272
just	261
g3	246
but	244
or	241
1	236
my	228
so	228
wait	227
r2	218
b3	217
b4	214
have	213
g4	211
bad	209
...	207
i'm	207
b2	204
omg	204
think	196
clue	195
what	195
r4	183
g2	180
play	178
sorry	178
the	171
if	161
known	145
m3	143
should've	142
r5	140
y3	138
you	137
m2	133
m4	132
y2	125
like	124
should	124
right	123
could	121
do	119
g5	117
i3	117
y4	116
me	113
[fix]	112
g	112
now	110
i4	106
b1	105
don't	105
might	105
red	105
discard	104
p4	104
b5	103
t3:	103
r1	102
g1	100
y	100
it's	98
[cm]?	97
really	97
on	96
r	96
why	96
he	95
of	95
t2:	95
for	94
know	94
p3	94
and	93
b	92
i2	90
nvm	90
t4:	89
[kt]	86
t17:	86
in	85
t19:	85
t5:	85
m5	83
t6:	83
whoops	81
didn't	79
weird	79
after	78
blue	78
23	77
nocm	77
hope	76
p2	76
t13:	75
playable	74
r2e	74
t9:	74
i5	73
t18:	73
way	72
bluff	71
did	71
dumb	71
t12:	71
trash	71
green	70
nope	69
g2e	68
:(	67
clued	67
sure	67
t14:	67
we	67
can	66
cm'd	66
surely	66
t8:	66
t22:	65
t7:	65
crap	64
r3e	64
bomb	63
g4e	63
t16:	63
t25:	63
possible	62
y1	62
n2	61
o7	61
i1	60
m1	60
oof	59
t30:	59
🤞	59
dupe	58
kimbi	58
t21:	58
y5	58
save	57
t11:	57
with	57
at	56
n3	56
p5	56
would	56
b5e	55
certainly	55
finesse	55
looks	55
m	55
t1:	55
get	54
plays	54
something	54
t15:	54
y2e	54
o3	52
playing	51
t26:	51
w	51
definitely	50
doesn't	50
fixme	50
imo	50
isn't	50
t10:	50
are	49
t24:	49
🤷‍♀️	49
[b2]	48
almost	48
b2e	48
yellow	48
played	47
t28:	47
does	46
how	46
ok	46
about	45
as	45
hopefully	45
t20:	45
:o	44
see	44
t23:	44
gonna	43
n1	43
r4e	43
[r3]	42
been	42
exactly	42
o2	42
o4	42
:d	41
also	41
am	41
hoping	41
n4	41
n5	41
nice	41
t29:	41
t32:	41
update:	41
well	41
[f]?	40
[g2]	40
better	40
game	40
look	40
still	40
discarded	39
k3	39
t34:	39
t35:	38
[b3]	37
haha	37
k2	37
p	37
pianoblook	37
purple	37
t33:	37
that's	37
\\ö/	36
done	36
an	35
k4	35
r5e	35
then	35
w3	35
would've	35
y3e	35
)	34
<(	34
[b1]	34
[r2]	34
[y3]	34
card	34
scared	34
25	33
[g1]	33
actually	33
good	33
has	33
hm	33
mean	33
one	33
p1	33
t27:	33
t31:	33
all	32
double	32
g5e	32
hmmm	32
stall	32
wasn't	32
here	31
there	31
want	31
[fixme]	30
b4e	30
from	30
here's	30
important	30
jesus	30
must	30
piano	30
plz	30
seems	30
t37:	30
?	29
[r1]	29
cm'd?	29
even	29
pretty	29
super	29
uh	29
[g3]	28
eh	28
instead	28
spooked	28
thought	28
u5	28
5pp	27
[r4]	27
k	27
lpc	27
out	27
prio	27
y4e	27
😬	27
[b4]	26
[y2]	26
again	26
can't	26
could've	26
either	26
gotten	26
had	26
loaded	26
o1	26
t42:	26
u3	26
very	26
w2	26
because	25
bold	25
doing	25
g3e	25
honestly	25
k34	25
never	25
p2e	25
since	25
totally	25
u4	25
w4	25
who	25
work	25
feels	24
first	24
o5	24
piper	24
t38:	24
too	24
ugh	24
up	24
will	24
wonder	24
b3e	23
both	23
hand	23
knows	23
t39:	23
[5]	22
[kt]?	22
[lol]	22
[y4]	22
based	22
clues	22
god	22
hanab	22
positional	22
though	22
wow	22
(but	21
34	21
dang	21
feeling	21
gotta	21
idea	21
let	21
mind	21
mistake	21
scream	21
white	21
yes	21
[g4]	20
[i1]	20
[p2]	20
b1e	20
black	20
fixed	20
g1e	20
heck	20
please	20
say	20
t36:	20
t41:	20
these	20
thing	20
[2]	19
[m3]	19
d:	19
dda	19
hmmmm	19
i've	19
i4e	19
kinda	19
let's	19
neat	19
pink	19
rank	19
shouldn't	19
u2	19
y1e	19
–	19
[pf]	18
anything	18
before	18
chop	18
feel	18
m2e	18
pf	18
some	18
thank	18
thanks	18
when	18
y5e	18
😭	18
!g	17
???	17
by	17
christ	17
color	17
ejection	17
going	17
i'd	17
n1e	17
only	17
otherwise	17
priority	17
safe	17
she	17
slot	17
t2	17
t3	17
t4e	17
w1	17
w4e	17
we're	17
welp	17
worth	17
(lol)	16
1s	16
[y1]	16
apparently	16
fine	16
i2e	16
k1	16
make	16
man	16
may	16
once	16
ooh	16
possibly	16
spookz	16
u1	16
[3]	15
[i3]	15
[p1]	15
anyway	15
chance	15
cool	15
discarding	15
g23	15
hard	15
hell	15
interesting	15
layered	15
little	15
lololol	15
much	15
oop	15
pull	15
stupid	15
supposed	15
t40:	15
there's	15
wut	15
your	15
!r	14
(probably	14
*phew*	14
[f]>>>	14
adrone	14
already	14
else	14
en	14
finessed	14
kimbi's	14
knew	14
luck	14
m4e	14
prompt	14
t45:	14
t5	14
tempo	14
w2e	14
8	13
[4]	13
[i2]	13
[i4]	13
another	13
bet	13
critical	13
early	13
ens	13
go	13
heeeeey	13
help	13
hmmmmm	13
i5e	13
k5	13
kind	13
lhs	13
mad	13
o	13
piper's	13
read	13
time	13
wanted	13
we'll	13
which	13
🤦‍♀️	13
!b	12
2pp	12
[m4]	12
[p4]	12
back	12
believe	12
bombed	12
convinced	12
gets	12
hate	12
he's	12
i'll	12
likely	12
made	12
more	12
move	12
n2e	12
p3e	12
t4	12
t44:	12
unnecessary	12
w5	12
whoa	12
yeah	12
yet	12
[cm]'d	11
[n2]	11
cards	11
confused	11
fault	11
forgotten	11
happens	11
kakashi	11
lolol	11
lolololol	11
looking	11
m5e	11
makes	11
n3e	11
push	11
spooks	11
target	11
that'd	11
thinks	11
timer	11
try	11
unclear	11
unless	11
yolo	11
!!!	10
(i	10
.....	10
........	10
[m2]	10
a3	10
amazing	10
assuming	10
bombs	10
brown	10
clearly	10
come	10
derek	10
enough	10
geez	10
give	10
gone	10
hesitation	10
lot	10
meant	10
need	10
ooooh	10
p1e	10
p5e	10
trust	10
vtk	10
where	10
y23	10
yup	10
&	9
100%	9
[1]	9
[cm]???	9
[m1]	9
allowed	9
assume	9
away	9
certain	9
choice	9
discharge	9
dmoney	9
draw	9
eject	9
fun	9
g34	9
got	9
happening	9
horrible	9
literally	9
locked	9
lololololol	9
maaaaybe	9
mb	9
multi	9
overloaded	9
p4e	9
piano's	9
pianoblook's	9
r34	9
risk	9
sick	9
t1	9
t46:	9
t47:	9
than	9
things	9
trying	9
two	9
weirdly	9
won't	9
world	9
wouldn't	9
wrong	9
yep	9
🔥🔥🔥	9
!1	8
!p	8
!y	8
(^)>	8
(or	8
......	8
[g3]?	8
a5	8
anxiety	8
anymore	8
b23	8
c5e	8
clear	8
cluing	8
confirmed	8
context	8
db	8
discards	8
ever	8
gods	8
gray	8
hanabi	8
heeeey	8
huh	8
into	8
l	8
l3	8
l4	8
least	8
m3e	8
meet	8
mess	8
missed	8
obviously	8
occupied	8
other	8
point	8
r23	8
rg	8
sense	8
suspect	8
t43:	8
tbh	8
tell	8
they	8
thx	8
turn	8
unlikely	8
until	8
wacky	8
worked	8
yg	8
you're	8
💣	8
🔥	8
😉	8
#	7
2s	7
>>>	7
[g5]	7
[r3	7
[r5]	7
[r]	7
[tccm]	7
a3e	7
a4	7
bg	7
bluffed	7
bummer	7
c3	7
c4	7
cm'd...	7
cm'ing	7
dark	7
directly	7
dupes	7
freaking	7
gb	7
he'd	7
hey	7
i3e	7
imma	7
k2e	7
legend	7
level	7
lost	7
m1e	7
m23	7
n5e	7
o5e	7
off	7
p23	7
reason	7
saved	7
someone	7
stale	7
stop	7
strong	7
such	7
t	7
t3s	7
take	7
vibes	7
were	7
works	7
zero	7
🎹👻	7
👻	7
#prankz	6
(unfortunately)	6
3pp	6
45	6
5s	6
[b3]?	6
[m5]	6
[o1]	6
[o3]	6
