Note	Frequency (12004 in total)
chop	2212
move	2195
this	408
does	390
have	389
still	384
he	325
last	283
2	152
3	126
5	125
r2	122
g3	121
b3	113
b4	113
r3	99
y3	99
4	95
g2	94
or	90
y2	88
g4	80
r4	79
not	77
b2	76
y4	72
she	69
24	65
20	61
10	60
26	57
r5	57
y5	57
1	56
11	56
16	56
27	56
25	55
28	55
g5	54
14	53
6	53
7	53
i3	53
21	52
17	50
33	50
i4	50
19	49
22	49
i2	49
p3	49
15	48
18	47
30	46
9	44
b5	44
29	43
m3	43
m2	42
23	41
32	41
m5	41
12	39
13	38
8	38
i5	38
31	36
a	36
nope	35
34	33
p2	32
35	31
m4	31
p4	30
play	30
save	30
38	29
36	27
b1	26
37	24
n3	24
r1	23
42	21
43	21
n5	21
r	21
w3	21
41	19
k3	19
y	19
39	18
g	18
n2	18
46	17
k4	17
o5	17
known	16
o3	16
p	16
44	15
40	14
g1	14
is	14
o2	14
p5	14
i	13
k5	13
w2	13
45	12
52	12
b	12
moved	12
k2	11
red	11
53	10
i1	10
n4	10
nm	10
t3	10
w4	10
50	9
47	8
blue	8
clue	8
thisl	8
a3	7
am	7
w5	7
y1	7
48	6
49	6
57	6
be	6
chopmove	6
green	6
n1	6
o4	6
u2	6
was	6
55	5
a2	5
and	5
f	5
it	5
no	5
p1	5
purple	5
s2	5
t4	5
u4	5
51	4
c2	4
if	4
m1	4
maybe	4
mysterious	4
playable	4
self	4
sill	4
slot	4
t2	4
t5	4
u5	4
w1	4
54	3
64	3
a4	3
by	3
card	3
havethis	3
l2	3
l3	3
s3	3
saved	3
thinks	3
to	3
u3	3
when	3
with	3
&	2
56	2
66	2
a1	2
apparent	2
bor	2
both	2
but	2
clued	2
cm	2
d5	2
di5	2
did	2
doesn't	2
get	2
guess	2
hell	2
hestill	2
hope	2
how	2
isn't	2
knows	2
l4	2
may	2
mowe	2
need	2
new	2
now	2
o	2
prob	2
rank	2
s4	2
same	2
see	2
t1	2
the	2
u	2
unnecessary	2
ut	2
why	2
you	2
1st	1
58	1
5y	1
62	1
63	1
65	1
67	1
68	1
73	1
ad	1
adrone	1
after	1
american	1
another	1
any	1
are	1
as	1
ave	1
b17	1
believed	1
blocker	1
board	1
bomb	1
bombed	1
brown	1
chomp	1
chopm	1
clues	1
cm'd	1
coloras	1
could	1
could've	1
d	1
d2	1
d3	1
demonstrated	1
discharge	1
do	1
doesshe	1
doubt	1
dp5	1
fake	1
fix	1
for	1
foundational	1
garbage	1
gen	1
h	1
he's	1
here	1
hes	1
iths	1
jig	1
k	1
k1	1
let	1
let's	1
lie	1
lied	1
lime	1
masn	1
matches	1
me	1
might	1
moe	1
mov	1
move16	1
move17	1
move6	1
mus	1
must	1
mystery	1
nonsensical	1
nopex	1
null	1
o1	1
ok	1
omni	1
one	1
pink	1
plaay	1
playing	1
plays	1
prism	1
promptable	1
pull	1
pushed	1
r2's	1
r2's?	1
respond	1
rgb	1
ripe	1
rygp4	1
save1	1
save7	1
shie	1
shoot	1
should	1
should've	1
similar	1
slow	1
so	1
somehow	1
stil	1
stillhave	1
teal	1
there's	1
they	1
think	1
thought	1
totally	1
touch	1
trash	1
turn	1
two	1
u1	1
uh	1
uh-oh	1
up	1
watch	1
what	1
who	1
whoops	1
witted	1
wt	1
wtf	1
yep	1
