Note	Frequency (48382 in total)
[f]	4639
f	4322
i	1353
is	1259
[cm]	1141
cm	1061
this	993
not	643
it	580
->	567
to	478
clue	456
a	416
elim	376
should	311
play	309
you	304
have	303
be	260
the	255
think	245
why	243
if	233
or	233
don't	231
t6:	225
save	220
t3:	219
t8:	214
t9:	214
t4:	212
5	200
t2:	199
t7:	196
b4	194
t11:	194
t12:	194
t5:	194
b3	190
but	189
t13:	183
t15:	183
t10:	178
r4	175
3	173
g3	172
t14:	167
g4	166
r3	162
as	160
can	157
right	157
t16:	156
sin	154
r2	152
t19:	152
g2	151
4	150
:d	150
so	149
y2	149
b2	148
y3	148
know	145
t20:	145
t25:	139
my	138
finesse	137
1	135
t17:	135
discard	133
t18:	133
no	132
will	131
2	128
like	127
kt	125
do	124
t23:	124
t21:	122
and	120
am	117
of	117
t26:	117
y4	117
lul	115
t22:	111
g5	110
known	108
on	107
here	106
:(	104
t27:	103
chop	102
bluff	101
r1	99
t29:	99
card	97
that	95
kekw	93
looks	92
one	92
probably	92
g1	90
me	90
t28:	90
r5	89
t24:	88
y5	88
b5	86
i4	86
p3	86
are	85
oh	85
p2	85
t30:	85
for	84
what	84
has	82
t33:	82
b1	81
playable	81
just	79
t31:	79
i2	78
that's	78
guess	77
trash	77
i3	76
p4	76
:p	75
t34:	74
want	74
bomb	73
m3	73
blue	71
played	71
unclued	70
doesn't	67
trust	67
in	66
t32:	65
bad	64
we	64
instead	63
m2	63
m4	63
off	63
t35:	63
?	62
green	61
y1	61
fix	59
let	59
mistake	59
cmed	58
red	58
5-stall	57
please	57
t37:	57
some	56
sure	56
how	55
i5	55
important	55
can't	54
sorry	53
he	52
was	52
with	52
get	51
hope	51
p1	51
missed	50
see	50
t36:	50
:d?	49
maybe	49
now	49
rank	48
then	48
dda	47
give	47
marked	47
yellow	47
good	46
didn't	45
p5	43
t38:	43
also	42
else	42
likely	42
pink	42
t39:	42
when	42
at	41
m5	41
only	41
hand	40
playing	40
t40:	39
t44:	39
t41:	38
t42:	38
wait	38
better	37
first	37
okay	37
draw	36
m1	36
need	36
o3	36
again	35
huh	35
since	35
thinks	35
level	34
move	34
->?	33
does	33
n3	33
o4	33
out	33
very	33
i1	32
knows	32
tell	32
by	31
em	31
lhs	31
them	31
time	31
either	30
k2	30
more	30
purple	30
sadge	30
t43:	30
turn	30
hmm	29
stall	29
which	29
wrong	29
1s	28
color	28
priority	28
said	28
thanks	28
there	28
double	27
forgot	27
let's	27
lpc	27
n4	27
o2	27
opc	27
thinking	27
w3	27
abi	26
always	26
because	26
did	26
fey	26
nope	26
oops	26
still	26
t46:	26
#1	25
cluing	25
hm	25
indego	25
n2	25
n5	25
nice	25
all	24
assume	24
cards	24
jeff	24
really	24
rip	24
unless	24
both	23
k3	23
might	23
newduke	23
ok	23
reason	23
t3	23
w2	23
w4	23
yes	23
another	22
bombed	22
from	22
lanvin	22
t4	22
t47:	22
thought	22
weird	22
5s	21
arv	21
focus	21
mb	21
pass	21
up	21
2s	20
5-pull	20
5cm	20
clued	20
could	20
dup	20
kakashi	20
mark	20
n1	20
o5	20
t45:	20
t49:	20
tempted	20
won't	20
fixme	19
kappa	19
lel0uch	19
question:	19
scream	19
team	19
tempo	19
utd	19
welp	19
amb	18
kyle	18
make	18
read	18
safe	18
shadow	18
touch	18
even	17
exactly	17
isn't	17
k4	17
lel	17
other	17
prompt	17
respect	17
t48:	17
too	17
believe	16
certain	16
choice	16
context	16
idea	16
kill	16
sin_troll	16
something	16
suspect	16
troll	16
try	16
3-bluff	15
blind	15
blocking	15
discarding	15
help	15
kinda	15
over	15
prio	15
self	15
suppose	15
t50:	15
use	15
least	14
mean	14
multi	14
question	14
t51:	14
technically	14
understand	14
works	14
(?	13
5ce	13
clues	13
earlier	13
hmmm	13
interesting	13
lock	13
lol	13
many	13
moved	13
o1	13
plays	13
sin's	13
t5	13
worst	13
:o	12
actually	12
an	12
b23	12
choose	12
convention	12
dani	12
derek	12
discharge	12
everyone	12
fake	12
going	12
got	12
info-filling	12
k34	12
messed	12
oop	12
order	12
promised	12
someone	12
work	12
ya	12
your	12
+	11
4s	11
8-clue	11
anymore	11
cannot	11
case	11
frosty	11
game	11
gotten	11
made	11
match	11
must	11
position	11
possible	11
pretty	11
promise	11
sad	11
seems	11
t2	11
tho	11
wonder	11
3s	10
5-save	10
ah	10
any	10
clear	10
correct	10
enough	10
his	10
k5	10
layered	10
loaded	10
locked	10
lotem	10
real	10
touched	10
two	10
u3	10
using	10
way	10
#4	9
<3	9
about	9
already	9
ambigious	9
asaelr	9
black	9
brown	9
cat	9
charm	9
doing	9
dumb	9
errr	9
holding	9
inb4	9
killing	9
lie	9
means	9
misplayed	9
much	9
omni	9
potential	9
protect	9
push	9
risk	9
sense	9
setup	9
slot	9
super	9
t1:	9
t54:	9
t55:	9
target	9
telling	9
treat	9
w1	9
w5	9
where	9
zak	9
#3	8
