Note	Frequency (21184 in total)
f	3517
[f]	1412
[cm]	880
cm	396
r3	383
kt	373
b3	366
g4	346
y3	344
b4	342
g3	339
g2	331
b2	329
r4	325
r2	324
y4	289
y2	287
r1	182
p2	173
p3	161
g1	158
y1	154
not	151
this	143
p4	141
prompt	136
b1	133
nvm	132
b5	130
is	118
r5	118
y5	109
g5	108
5	107
ft1	101
but	98
i	98
2	81
3	81
probably	78
p1	68
to	68
?g2	67
fixme	63
p5	61
prio	61
4	60
?b4	59
the	58
be	57
a	56
oh	54
?r2	52
now	50
?g4	48
play	48
no	46
?b2	43
known	41
like	41
m3	41
he	39
i3	39
what	39
of	38
it	36
b23	35
i2	35
pull	35
?y3	34
amb	34
i4	34
m2	34
m4	34
y23	34
1	33
?y4	33
g23	33
if	33
?b3	32
?y2	31
r23	30
?r3	29
card	29
or	29
?p4	28
should	28
was	28
?p3	27
o3	27
sdcm	27
from	26
maybe	26
trash	26
and	25
clue	25
for	25
prumpt	25
me	24
n3	24
?r4	23
?r5	23
ft7	23
?g3	22
o4	22
by	21
m5	21
okay	21
-->	20
?b5	20
in	20
just	20
likely	20
my	20
why	20
?r1	19
after	19
ft5	19
ft6	19
n4	19
o2	19
?p2	18
?y5	18
guess	18
lol	18
on	18
that	18
have	17
hopefully	17
i'm	17
looks	17
missed	17
possible	17
we	17
actually	16
kt1	16
obv	16
prolly	16
think	16
w2	16
w3	16
23	15
?p1	15
blocker	15
ft10	15
ft15	15
ft3	15
i5	15
promise	15
discard	14
ft4	14
hope	14
o5	14
stale	14
w4	14
[g2]	13
bluff	13
context	13
fuck	13
nocm	13
safety	13
spook	13
t2	13
t4	13
tccm	13
?p5	12
[r2]	12
at	12
certain	12
doesn't	12
ft21	12
ft24	12
has	12
how	12
i1	12
n2	12
one	12
r4g4	12
thinks	12
unclued	12
zcsp	12
?g5	11
?y1	11
[b2]	11
as	11
because	11
ft11	11
ft19	11
ft29	11
get	11
god	11
n1	11
only	11
plays	11
r3y3	11
y	11
you	11
?b1	10
b24	10
ct1	10
did	10
fix	10
ft12	10
green	10
kt6	10
m1	10
n5	10
permission	10
read	10
tho	10
very	10
wait	10
yikes	10
!1	9
??b4	9
?m4	9
[b3]	9
[kt]	9
[y2]	9
big	9
don't	9
double	9
ft13	9
ft14	9
ft18	9
ft28	9
ft31	9
ft33	9
g3b3	9
here	9
impossible	9
inference	9
looking	9
lul	9
most	9
o1	9
p23	9
played	9
playing	9
pool	9
r3b3	9
r3g3	9
r4y4	9
really	9
red	9
seems	9
t3	9
will	9
would	9
y24	9
y3g3	9
[g3]	8
almost	8
also	8
any	8
blue	8
can	8
didn't	8
ft23	8
ft25	8
ft8	8
ft9	8
g34	8
good	8
he's	8
instead	8
k3	8
kt10	8
let's	8
once	8
other	8
push	8
r4b4	8
so	8
y4g4	8
yellow	8
??r3	7
?g1	7
[b1]	7
[p2]	7
[r3]	7
am	7
b	7
does	7
due	7
fix'd	7
ft20	7
ft26	7
g3p3	7
gonna	7
hard	7
hwat	7
important	7
it's	7
k1	7
k34	7
k4	7
know	7
kt7	7
lhs	7
more	7
see	7
supposed	7
sure	7
tbh	7
too	7
uhoh	7
y34	7
8cs	6
??p4	6
[g1]	6
[g4]	6
[p3]	6
[y1]	6
[y3]	6
[y4]	6
about	6
bad	6
bomb	6
certainly	6
choice	6
copy	6
could	6
even	6
first	6
florrat	6
ft2	6
ft35	6
ft37	6
given	6
isn't	6
k2	6
knows	6
kt15	6
kt18	6
lot	6
mistake	6
n25	6
over	6
playable	6
please	6
purple	6
r24	6
r2b2	6
r4p4	6
right	6
still	6
trust	6
u3	6
understood	6
weird	6
which	6
wtf	6
!2	5
!3	5
?	5
?i2	5
?m5	5
?n5	5
?t3	5
[fixme]	5
[sdcm]	5
an	5
b2m2	5
b45	5
brown	5
c2	5
ct6	5
def	5
do	5
excuse	5
finesse	5
ft16	5
ft22	5
ft27	5
g24	5
g2m2	5
going	5
happening	5
imo	5
kt14	5
kt3	5
kt5	5
l3	5
match	5
must	5
note	5
opc	5
out	5
p24	5
paul	5
point	5
possibilities	5
pretty	5
r1m2	5
r34	5
shouldn't	5
something	5
tarsh	5
then	5
two	5
u	5
u5	5
unless	5
until	5
well	5
!k5	4
!r5	4
!y	4
3+2+3	4
?g	4
?g4b3	4
?m3	4
?n2	4
?n3	4
?p	4
?r5y5	4
?w2	4
[r1]	4
[r4]	4
absolutely	4
actual	4
are	4
b1m1	4
b34	4
b4p4	4
b5m5	4
bombs	4
bruh	4
can't	4
cards	4
chop	4
contextual	4
ct3	4
damn	4
dis	4
either	4
enough	4
esdcm	4
eventually	4
extremely	4
feel	4
ft17	4
ft34	4
g1m1	4
g1m2	4
g23m23	4
g4b4	4
g4p4	4
hand	4
hesi	4
holy	4
idea	4
into	4
jesus	4
kt11	4
kt12	4
kt16	4
kt23	4
kt26	4
kt35	4
kt9	4
l4	4
line	4
look	4
make	4
marked	4
matches	4
might	4
move	4
occupied	4
off	4
omegalul	4
p1m1	4
pepega	4
promised	4
r	4
r2m2	4
r2y2	4
save	4
self	4
she	4
some	4
somehow	4
suspect	4
t1	4
that's	4
time	4
u4	4
using	4
want	4
way	4
were	4
whoa	4
whoops	4
woof	4
yep	4
!b	3
!r	3
!stale	3
(but	3
0+1+3	3
1+2+1	3
1+3+5	3
4+4+3	3
5cm	3
??g4	3
??g5	3
??p3	3
??r4	3
?explosive	3
?g3p5	3
?t4	3
[3]	3
[b4]	3
[i3]	3
a1	3
a2	3
anything	3
attempted	3
away	3
b3i3	3
b4i4	3
been	3
bet	3
boi	3
bombing	3
both	3
brave	3
chance	3
christ	3
confirmed	3
dead	3
discarding	3
dude	3
eric	3
ft32	3
ft36	3
fucking	3
g	3
game	3
gb	3
h3	3
hell	3
him	3
hmm	3
i34	3
ignition	3
illegal	3
im	3
k2345	3
kevin	3
kill	3
kimbi	3
kinda	3
kt19	3
kt2	3
kt21	3
kt28	3
kt32	3
kt33	3
kt37	3
kt8	3
l2	3
lost	3
may	3
meant	3
mistaken	3
mr	3
n23	3
negative	3
oop	3
oops	3
paul's	3
piper	3
possibly	3
r1m1	3
r2g2	3
r3i3	3
r3m3	3
r4i4	3
rank	3
rb	3
richard	3
second	3
senseless	3
shadow	3
should've	3
sigh	3
suboptimal	3
t1:	3
these	3
things	3
through	3
tocm	3
u2	3
understand	3
w5	3
we're	3
went	3
when	3
wild	3
wonder	3
work	3
xtreme	3
y1m1	3
y1s	3
y2m2	3
y3m3	3
y4b4	3
y4p4	3
y5m5	3
yike	3
!b4	2
!g	2
!p	2
(5)	2
(i2	2
0+0+1	2
1+0+0	2
1+0+1	2
1+0+4	2
1+2+2	2
1+4+1	2
1+8+4	2
15s	2
2+1+0	2
2+1+4	2
2+2+1	2
2+3+8	2
2+4+0	2
2+4+1	2
2+4+4	2
2+8+1	2
3+1+5	2
3+2+1	2
3+2+5	2
3+4+1	2
3+5+1	2
4's	2
4+0+1	2
4+1+1	2
4+1+3	2
4+3+2	2
4+3+4	2
5+1+1	2
6	2
7	2
7+3+2	2
8+1+1	2
:(	2
???	2
????	2
??b2	2
??g3	2
??p1	2
?b	2
?blue	2
?h1	2
?m1	2
?o1	2
?p3!	2
?r4g4	2
?t5	2
?u1	2
[34]	2
[p1]	2
[r5]	2
[t2]	2
[u25]	2
[u2]	2
[w2]	2
a4	2
a5	2
absolute	2
adrone	2
again	2
allow	2
always	2
another	2
assume	2
attempt	2
b14	2
b1m2	2
b23m3	2
b2o2	2
b2o3	2
b345	2
b3m3	2
b3p3	2
b4g4	2
being	2
believes	2
blind	2
bluffed	2
c3	2
c4	2
c5	2
cannot	2
cause	2
check	2
clear	2
clued	2
color	2
ct14	2
ct4	2
dawn	2
dda	2
demonstrated	2
depending	2
deserves	2
dunno	2
dupe	2
earth	2
elim	2
elims	2
end	2
error	2
every	2
explain	2
extra	2
f)	2
failed	2
figure	2
figured	2
focus	2
forced	2
ft39	2
fun	2
g2b2	2
g4a4	2
g4o5	2
g5y5	2
gets	2
give	2
gtp	2
h4	2
had	2
haven't	2
hear	2
help	2
honestly	2
huh	2
i'll	2
i2c1	2
immediately	2
impossible)	2
inf	2
insane	2
intended	2
interesting	2
inv	2
k234	2
k5	2
kappa	2
kay	2
kil	2
kimbi's	2
kt17	2
kt22	2
kt24	2
kt27	2
kt31	2
kt34	2
kyle	2
left	2
literally	2
little	2
loaded	2
looked	2
love	2
made	2
major	2
makes	2
mice	2
mistakes	2
moved	2
n235	2
n34	2
nao	2
navy	2
nice	2
nomercy	2
non-crit	2
nope	2
o23	2
o4t4	2
obvious	2
occupado	2
open	2
own	2
p1m2	2
p34	2
p35	2
p5i5	2
perhaps	2
perspective)	2
piano	2
pls	2
poompt	2
possibility	2
possible)	2
presumably	2
previous	2
probs	2
prompto	2
prummpmpt	2
prumpppt	2
prumppt	2
prumpto	2
prumpttt	2
prumt	2
r14	2
r15	2
r1i1	2
r1m4	2
r2i1	2
r2i2	2
r2m1	2
r2o2	2
r3m1	2
r3p3	2
r4m4	2
r4y4b4	2
r5b5	2
r5m5	2
r5p5	2
real	2
realize	2
retroactive	2
ride	2
ridiculous	2
risk	2
s3	2
s4	2
safe	2
sarcasm	2
say	2
scream	2
seriously	2
since	2
sing	2
situation	2
smells	2
soft	2
somebody	2
song	2
sorry	2
spooked	2
starter	2
starting	2
strongly	2
super	2
suspected	2
t5	2
t6:	2
t9:	2
than	2
there	2
thing	2
thinking	2
though	2
thought	2
timing	2
timo	2
top	2
touch	2
trying	2
u25	2
unlikely	2
via	2
w/	2
w1	2
waits	2
wee	2
whoopsie	2
whups	2
with	2
won't	2
woo	2
worth	2
wow	2
y15	2
y2b2p2	2
y2i2	2
y2p2	2
y3b3	2
y45	2
yay	2
yellows	2
yes	2
yet	2
your	2
zero	2
!12	1
!125	1
!25	1
!b1	1
!b3	1
!bp	1
!g3	1
!g4	1
!gt	1
!m3	1
!o3	1
!r4	1
!rby	1
!ryt	1
!y2	1
!yb	1
(aggro	1
(almost	1
(b2	1
(b4	1
(demonstrated)	1
(dmoney	1
(especially	1
(i3	1
(if	1
(is	1
(m2	1
(m5	1
(n23	1
(n3	1
(n4	1
(not	1
(other	1
(prolly	1
(r3	1
(richard	1
(shouldn't	1
(super	1
(unless	1
(y23	1
(y3	1
--->	1
-1+1-1+1	1
-1+?+4-1	1
-3+6+4-4	1
->	1
0+0+2	1
0+1+5	1
0+2+1	1
0+2+3	1
0+3+7	1
0+5+1	1
0+7+3	1
0-for-1	1
0=2+2-3-1	1
0=2+8+1+1	1
0=4+2+3+4	1
0=8-1+1+4	1
1's	1
1+0+2	1
1+0+3	1
1+0+5	1
1+0+7	1
1+0+8	1
1+1+0	1
1+1+1	1
1+1+3	1
1+1+4	1
1+2+2+7	1
1+2+7	1
1+3+2	1
1+3+3	1
1+4+0	1
1+4+2	1
1+4+3	1
1+4+4	1
1+4+5	1
1+5+0	1
1+5+10+5	1
1+5+5	1
1+6+1	1
1+7+8	1
1+8+2	1
100%	1
10=1+7+1+1	1
10=1-2+4+7	1
11=-1+3+1+8	1
11=2+2+1+6	1
11=3+5+3	1
11=8+1+2	1
12	1
12=1+6+1+4	1
153	1
1=-1+0+0+2	1
1=-2-1+1+3	1
1=1+8+1+4	1
1=2+4+4+3	1
2's	1
2+	1
2+0+2	1
2+0+4	1
2+1+1	1
2+1+3	1
2+1+6	1
2+1+8	1
2+2+0	1
2+2+2	1
2+2+6	1
2+3+6	1
2+5+1	1
2+5+4	1
2+5+8	1
2+7+1	1
2+7+2+2	1
22	1
24	1
25	1
26	1
2=3-3+3-1	1
2=8+1+5	1
2nd	1
2smert	1
3's	1
3+0+2	1
3+0+4	1
3+0+7	1
3+1+1	1
3+1+3	1
3+2+0	1
3+2+2	1
3+2+7	1
3+3+2	1
3+4+3	1
3+4+8	1
3+6+2	1
3+6+4	1
3+7+1	1
3+8+3	1
300	1
34	1
3=1+2-3+3	1
3=1-1+3	1
3=2+1+-1+1	1
3=3+4+8+1	1
3=3-4+3+1	1
4+1+2	1
4+1+4	1
4+1+7	1
4+1-3+5	1
4+2+1+7	1
4+2+2	1
4+2+3	1
4+3+1	1
4+4+4	1
4+4+6	1
4+4+7	1
4+5+7	1
4+7+1	1
4+8+1	1
4+8+3	1
4-1+1+2	1
4=1+5+7+3	1
4=4+1+0-1	1
5+0+2	1
5+0+6	1
5+2+1	1
5+7+3	1
5=0+3+3-1	1
5=1+3-1+2	1
5=2+0+2+1	1
5=3+4+4+6	1
5=4+1-1+1	1
5=4+3+5+5	1
5=6+3+5+3	1
5=7+1+1+8	1
5ce	1
5nd	1
6+0+1	1
6+1+3	1
6+1+8	1
6+3+1	1
6+3+3	1
6+3+4	1
6+3+7?	1
6+3+8	1
6+4+1	1
6+7+4	1
6+8+1	1
6=-1+3+4	1
6=-3+4+3+2	1
6=1+2+2+1	1
6=2+1+3	1
7+1+4	1
7+2+2	1
7+2+7	1
7+2+8	1
7+3+7	1
7+4+3	1
7+4+4	1
7+5+4+2	1
7+7+6	1
7=3+1+0+3	1
7=3+2+2+0	1
7=8+0+3+8	1
8	1
8+0+1	1
8+1+2	1
8+2+1	1
8+3+6	1
8+4+0	1
8+4+3	1
8+4+4	1
8+7+4	1
8+8+3	1
8+8+4	1
8=2+0+1+5	1
8=2+3+2+1	1
8=8+1-3+2	1
911	1
9=1+2+1+5	1
9=1+2+3+3	1
9=4+3-2+4	1
9=6+x+3+3	1
9=8+3-2	1
:	1
:d	1
:popcorn:	1
;[y3]	1
=>	1
?!	1
?+0-3+7	1
?+1-2+2	1
?+x+x+x	1
????????	1
?????????????	1
???????????????????????	1
?k5	1
[!125]	1
[!1]	1
[!2]	1
[!b3]	1
[!b5]	1
[!b]	1
[2]	1
[5]	1
[b24i4]	1
[b2][f]	1
[b5]	1
[g25]	1
[i2]	1
[k4]	1
[l1]	1
[m2]	1
[m4]	1
[n1]	1
[n2]	1
[n5]555555555	1
[o4]	1
[p4]	1
[p5]	1
[r34]	1
[r45y45g5m4]	1
[t1]	1
[t5s]	1
[tccm]	1
[u5]	1
[w3]	1
[y2i2]	1
[y34]	1
[y5]	1
[y]	1
[yp4]	1
_maybe_	1
_some_	1
a3	1
abject	1
accept	1
according	1
account	1
action	1
afraid	1
against	1
aggressive	1
agree	1
agreements	1
agrees	1
aktions	1
al-quaeda	1
all	1
all-in	1
already	1
ambig	1
ambiguous	1
anticipating	1
anus	1
anxiety	1
anymore)	1
anyone	1
anyway	1
apologies	1
apparently	1
aren't	1
ass	1
assuredly	1
asymmetric	1
available	1
awful	1
awfully	1
b12	1
b15s	1
b1b2	1
b1i3	1
b1m2u1	1
b1m3	1
b1o1	1
b1o3	1
b1u1	1
b23m2	1
b23m23	1
b2m1	1
b2o1	1
b2o4	1
b2u2	1
b34i4	1
b35	1
b3g3	1
b3m1	1
b3m2	1
b3o2	1
b3r3	1
b4's	1
b4m4	1
b4r4	1
b5g5	1
b5i4	1
b5m2	1
b5s	1
ba	1
back	1
bag	1
bananners	1
basterd	1
bbbbby	1
bcuz	1
become	1
becomes	1
beefed	1
before	1
believable	1
believe	1
best	1
better	1
betting	1
bf	1
bitch	1
bk5	1
blaze	1
blocked)	1
bloodbath	1
bloof	1
blorf	1
blucker	1
bluff)	1
bluffing	1
bomba	1
bone's	1
boom	1
bruhhhhhhhhhhhhh	1
bud	1
buddy	1
c3)	1
call	1
calm	1
cancer	1
captain	1
century	1
chalupa	1
champion	1
cheepo	1
chingatown	1
chose	1
chosen	1
chumbus	1
clandestine	1
class	1
classic	1
clearly	1
close	1
cluable	1
clues	1
cluing	1
cm'd?	1
comes	1
coming	1
comm	1
computing	1
concept	1
conclude	1
confirm	1
confused	1
confusion	1
consider	1
considering	1
contextually	1
continuation	1
convenient	1
cool	1
could've	1
crazy	1
creative	1
crit	1
cross	1
crowd	1
cruel	1
ct17	1
ct2	1
ct5	1
ct7	1
cute	1
cuz	1
dammmamamamamaamamnit	1
dang	1
dangerously	1
daniman	1
darn	1
decision	1
declined	1
ded	1
dedupe	1
dee	1
defective	1
definitely	1
delete	1
deleting	1
demanded	1
demonstrates	1
derek	1
desired	1
desync	1
dicknipples	1
dickstick	1
dirty	1
discard)	1
discarded	1
discards	1
discharge	1
discharges	1
discussions	1
dmoney	1
doc	1
doing	1
donut	1
door	1
doubting	1
down	1
draws	1
drunk	1
dubble	1
dum	1
dupes	1
earlier	1
early	1
easy	1
ecks	1
efaust	1
efaust's	1
efficiency	1
ejection	1
elim)	1
else	1
empathy	1
ends	1
entertained	1
entertaining	1
equally	1
erd	1
evar	1
evidence	1
exactly	1
excellent	1
except	1
excluded	1
exists	1
expected	1
extreme	1
fact	1
factual	1
fair	1
fairly	1
fancy	1
far	1
fate	1
faust	1
fausti	1
fausticle	1
fear	1
feels	1
fffffffffffffffff	1
figures	1
fill-in	1
find	1
fine	1
fine-ass	1
finesses	1
fite	1
fixe	1
fixywixy	1
florrat's	1
forgot	1
fukt	1
fully	1
g15s	1
g1o1	1
g1y2	1
g234	1
g23m2	1
g2i2	1
g2m1	1
g2o1	1
g2o3	1
g2o4	1
g2p2	1
g2y2	1
g3a3	1
g3i3	1
g3k3	1
g3m1	1
g3m2	1
g3r3	1
g3w3r3	1
g45	1
g4m3	1
g4m4	1
g4m5	1
g4o4	1
g4r4	1
g4t23	1
g4y4	1
g5m1	1
g5m2	1
g5m3	1
g5m4	1
g5m5	1
g5n5	1
g5o5	1
gain	1
galore	1
games	1
gave	1
gdi	1
generating	1
genius	1
genuinely	1
getting	1
gigantic	1
giving	1
go	1
goddamnit	1
goes	1
goin	1
goodness	1
gorgeous	1
gorilla	1
got	1
gotem	1
gotta	1
graduated	1
grb	1
guaranteed	1
guessable	1
h3g3	1
h5t3n2	1
hang	1
happened	1
happens	1
hatcheted	1
hidden	1
higher	1
hilariously	1
his	1
hmmmmm	1
hokay	1
holds	1
hooves	1
hord	1
hours	1
huge	1
hunnybooboo	1
hurts	1
i1m1	1
i23	1
i24l4	1
i25	1
i2l2	1
i2t5	1
i35	1
i5m5	1
ig4	1
ignores	1
imnotabot	1
imo)	1
implications	1
implied	1
imply	1
impossibru	1
incredible	1
inferences	1
info	1
inform	1
instant	1
interp	1
inverted	1
involved	1
irl	1
i’ll	1
i’m	1
i’ve	1
jeff	1
jim	1
joel	1
k	1
k1m5	1
k2m1	1
k2m23	1
k2y4	1
k4p5	1
kaaaaaaaaaaaay	1
keepthiscard	1
kemurphy	1
kicks	1
killing	1
kills	1
kimbo	1
kind	1
kiss	1
kpb	1
kprumppt	1
kprumpumpt	1
kristo	1
kropmt	1
kt25	1
kt29	1
kt36	1
kt39	1
kt4	1
kunfooz	1
l1t2	1
landed	1
large	1
late	1
layer	1
lazy	1
leftmost	1
lel0uch	1
less	1
level	1
libster's	1
likeliest	1
lips	1
livin'	1
locked	1
lollers	1
loloops	1
loole	1
lots	1
luv	1
lvl	1
m1b2	1
m1g2	1
m23	1
m25	1
m2b1	1
m2b3	1
m2g3	1
m2n2	1
m2p3	1
m2t1n1	1
m34	1
m3n5	1
m3t3	1
m4's	1
m45	1
madness	1
makening	1
maniac	1
many	1
margin	1
markus	1
matter	1
maw	1
mcmoly	1
mcshits	1
mean	1
means	1
mebbbe	1
methinks	1
might've	1
mike	1
mind	1
misfocus	1
misguided	1
misplay	1
miss	1
missing	1
mkk	1
monkas	1
mouth	1
much	1
multi	1
multiple	1
mum	1
murder	1
murdered	1
myself	1
mystery	1
n125	1
n21	1
n245	1
n3)	1
n35	1
n45	1
nah	1
nature	1
next	1
ngl	1
noice	1
nomeggies	1
nomercy)	1
non-blue	1
non-stale	1
notes	1
noticed	1
numerous	1
numptypookums	1
o1p1m2	1
o2345	1
o23l23	1
o2c2	1
o2g2	1
o2g3	1
o2p4h34	1
o45	1
o4o5	1
o5m5	1
o5p4m1	1
obtaining	1
occccccupado	1
occupied)	1
ocm	1
oink	1
ok	1
old	1
omega	1
omegegeie	1
omeglelul	1
omgealul	1
omni	1
ooooops	1
oopsie	1
oopy	1
opportunity	1
orange	1
order	1
otherwise	1
our	1
owe	1
p15s	1
p1g4n5	1
p23h23	1
p23m2345	1
p2g2	1
p2g2n4	1
p2i2	1
p2m2	1
p2n2	1
p2n3	1
p3a3	1
p3m1	1
p3m2	1
p3m3	1
p4h4	1
p4m1	1
p4m3	1
p4t4	1
p5m2	1
p5m3	1
p5m5	1
p5o5	1
pal	1
pass	1
paulcifer	1
paulie's	1
paused	1
pay	1
peepeepoopoo	1
peepo	1
people	1
pepegary	1
pepehands	1
perforce	1
perspective	1
perverse	1
pestilent	1
phrew	1
piper's	1
plan	1
pls2movedatchauwptho	1
pls2notassumep3bigsadifso	1
pls2understandmekthx	1
pm	1
pmprmpmmrpmpmtmtm	1
pnpntmrsmsmtmtmpm	1
pogchamp	1
poooool	1
pooooooool	1
poop	1
poosh	1
poss	1
pprrutmtumpt	1
prayer	1
presume	1
priority	1
prism	1
probable	1
probably)	1
probambly	1
promppto	1
prompterino	1
proompt	1
prooooooooooooooooooompppppt	1
prooootmpo	1
propbbsss	1
proteccccc	1
protecting	1
prove	1
proved	1
proven	1
prpmpmt	1
prppumpt	1
prppumpupmt	1
prpulmppt	1
prtntupmt	1
prudent	1
prummmppt	1
prumppmmpmtmmttt	1
prumppmpmpmpmpmpmpmpmmpmpmpmpmpmt	1
prumppmpmpmpmpmpmtmtmtmmtmt	1
prumpppmtmt	1
prumpptt	1
prumpptttttrrt	1
prumppttty	1
prumptowumpobumpo	1
prumptt	1
prumptv	1
prumpupmputmtmtmt	1
pruppupmppmttttrtpttttt	1
pseudo-anxiety	1
pullio	1
pulllllll	1
punking	1
pupmpt	1
purmpmpmpmpmpmpmpmmpmpmpmtmtmtmtmtmtmtmmpmtmtmtmtmt	1
puuuuuuuuuuuuuuuuuuush	1
que	1
quickly	1
r1g1	1
r1i5	1
r1m125	1
r1m23	1
r1m3	1
r1o1	1
r1o2	1
r1o3	1
r1o5	1
r234	1
r25	1
r2b4	1
r2o1	1
r2y1g3b3	1
r2y2b2	1
r2y2p2	1
r2y2u1	1
r3's?	1
r3)	1
r3b3i3	1
r3b3m3	1
r3g3b3	1
r3g3m3	1
r3g4p4	1
r3i1	1
r3m4	1
r3m5	1
r3o2	1
r3o3	1
r3o4	1
r3w3	1
r3y3p3	1
r4)	1
r45	1
r45u5	1
r45y345g5m4	1
r4a4	1
r4b4p4	1
r4g4p4	1
r4i1	1
r4m1	1
r4m2	1
r4o4	1
r4t4	1
r4y3	1
r4y3g4b2	1
r4y4g4	1
r4y4p4	1
r5g5b5m5o3	1
r5m4	1
r5y5	1
raids	1
randomly	1
re-clue	1
reach	1
react	1
reads	1
reason	1
reconsiders	1
recover	1
redist	1
reeee	1
reeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	1
reeshard)	1
refusal	1
reluctant	1
repeat	1
replay	1
required	1
resolves	1
respect	1
respecting	1
restrain	1
review	1
rife	1
rightmost	1
rike	1
rofl	1
rookie	1
rs15	1
rule	1
ryg	1
s2	1
s23b23	1
s3b2	1
sadly	1
scared	1
scary	1
scb	1
scoop	1
scrumdiddly	1
scuzi	1
seals	1
secret	1
seeing	1
seem	1
seemed	1
seeming	1
several	1
shit	1
shit)	1
shoe	1
shoot	1
shout	1
shut	1
significantly	1
simple	1
simply	1
single	1
slammed	1
sleep	1
slight	1
slightly	1
slot	1
smell	1
sniper	1
solid	1
somewhere	1
son	1
sonnyboyguy	1
soon	1
soon)	1
sooperposishun	1
soul	1
specs	1
spectators	1
spillover	1
spookage	1
spoon	1
stalled	1
steal	1
sticky	1
stomp	1
stomped	1
stompo	1
stop	1
stops	1
strange	1
strawman	1
strong	1
strugglebus	1
style	1
suggests	1
superpoosition	1
surely	1
sus	1
sware	1
t14	1
t15:	1
t16	1
t17	1
t19	1
t1i2	1
t1n3	1
t23	1
t23)	1
t24	1
t26	1
t2:	1
t2c2	1
t2r23	1
t51	1
take	1
tank	1
tarsion	1
teal	1
team	1
tempo	1
temporarily	1
terrified	1
th	1
thankskkks	1
their	1
theory	1
thine	1
third	1
though?)	1
thoughts	1
tiddies	1
tiiiiiime	1
tiny	1
today	1
together	1
tomas	1
toooo	1
trained	1
transfer	1
trashiness	1
treating	1
tried	1
trusts	1
try	1
turbo	1
turn	1
u1	1
u235	1
u345	1
u3b5	1
uh	1
uhohspaghet	1
um	1
uncm	1
unholy	1
universe	1
unknown	1
unlikely)	1
up	1
us	1
utd	1
v	1
vaguely	1
valuable	1
vibes	1
visible	1
w/o	1
w4b4	1
waited	1
waiting	1
wake	1
wanted	1
waow	1
warfare	1
wasn't	1
we'll	1
we've	1
weasels	1
welp	1
wftf	1
what's	1
whatever	1
where	1
whether	1
who	1
whole	1
whoopsnugget	1
whut	1
whyyyyyyyyyyy	1
willing	1
win	1
works	1
world	1
worried	1
worse	1
would've	1
wrong	1
wronpt	1
wut	1
wutf	1
wutface	1
x+y+5	1
xxxxtra	1
y'all	1
y13	1
y15s	1
y1i2	1
y1o2	1
y23m23	1
y23m3	1
y23p2	1
y24i2	1
y2b2p3	1
y2g2	1
y2g2r2	1
y2m1	1
y2o4	1
y2r2	1
y3)	1
y34m3	1
y3b3m3	1
y3g3b3	1
y3g3m3	1
y3m2	1
y3o4	1
y3p3	1
y3r3	1
y3w3	1
y4(5)	1
y4b3	1
y4g4p4	1
y4o4	1
y4r4	1
y5g5	1
y5g5b4u4	1
yard	1
yeah	1
yeeeeelrrererererere	1
yeeso	1
yeller	1
yiiiiiiiiiiikes	1
yike-o	1
yolo	1
yolo'd	1
ypprpuemputmmut	1
yu	1
