Note	Frequency (49719 in total)
f	3118
[f]	2129
cm	969
kt	887
5	753
b2	712
r2	707
b3	697
[cm]	694
g3	683
g2	675
+	658
r3	637
y2	614
b4	610
g4	577
y3	559
i	544
r4	543
as	533
1	502
y4	492
b1	464
r1	454
this	454
g1	421
not	405
ocm	392
p3	391
y1	388
3	370
2	369
p2	354
tcm	328
4	322
p4	310
is	282
m2	273
5cm	268
no	258
r	258
g	256
m1	251
b	247
b5	247
r5	244
clue	243
i2	228
stall	227
i4	226
p1	225
g5	221
y	220
i3	218
a	214
m3	198
to	193
y5	190
tccm	180
gd	179
7	162
p	162
play	152
if	150
m4	148
be	145
guess	144
sdcm	144
from	138
i1	138
prompt	135
undo	135
after	129
discard	127
6	126
0	125
known	125
have	122
p5	120
save	120
missed	116
should	112
cancelled	110
it	107
or	107
prio	106
think	102
8	101
bluff	101
the	101
what	99
probably	96
by	92
trash	91
oh	90
red	90
why	90
m5	88
i5	86
maybe	85
now	80
n2	78
but	77
fixme	76
don't	74
finesse	73
k3	71
like	70
hmm	69
my	69
k4	67
o3	67
that	66
was	65
??	64
bomb	64
crap	64
:(	63
[kt]	63
elim	62
o2	62
t1:	62
n1	61
w3	61
blue	60
can	60
n3	60
hopefully	58
pf	58
..	57
green	57
on	57
ambig	56
fix	56
9	55
plays	55
it's	54
may	54
t1[cm]	54
you	54
n5	53
context	52
k2	52
for	51
slot	51
t4	51
w2	51
card	50
nvm	50
t4:	50
with	50
t1	49
t4[cm]	49
because	48
chop	48
dda	48
tocm	48
?	47
yellow	47
o1	46
and	45
of	45
wait	45
11	44
blocking	44
reset	44
12	43
bad	43
looks	43
playable	43
t3	43
t6:	43
n4	42
will	42
believes	41
doesn't	41
me	41
t1[f]	41
o4	40
so	40
w4	40
just	39
t2	39
10	38
promised	37
--->	36
r23	36
really	36
>	35
double	35
rg	35
in	34
k1	34
t9:	34
r34	33
right	33
t5:	33
5[cm]	32
do	32
might	32
oops	32
scream	32
t10:	32
w1	32
does	31
mistake	31
t17:	31
would	31
actually	30
believe	30
give	30
gonna	30
locked	30
t20:	30
!r	29
[tcm]	29
seems	29
useful	29
:/	28
m	28
please	28
t16:	28
thinks	28
13	27
[fixme]	27
b23	27
clued	27
lpc	27
nice	27
okay	27
since	27
t12:	27
t5	27
early	26
good	26
i'm	26
k5	26
unclued	26
!p	25
bombs	25
did	25
focus	25
g23	25
gp	25
know	25
nope	25
purple	25
self	25
t21:	25
t6[cm]	25
t8:	25
y23	25
-->	24
attempted	24
fixed	24
gb	24
pull	24
suspect	24
t11:	24
t7[cm]	24
5pp	23
could	23
t17[cm]	23
t6	23
t7:	23
!g	22
didn't	22
rb	22
ry	22
t10[cm]	22
t12[cm]	22
t18:	22
yb	22
!r5	21
14	21
???	21
assume	21
at	21
hope	21
how	21
omg	21
t15:	21
t3:	21
unless	21
!y	20
...	20
5]	20
better	20
haha	20
opc	20
pretty	20
read	20
tempo	20
then	20
very	20
wrong	20
wtf	20
---->	19
-1	19
[5cm]	19
bp	19
g34	19
rgb	19
stale	19
sure	19
t13:	19
t33:	19
t8[cm]	19
:p	18
[sdcm]	18
color	18
declined	18
dup	18
fpe	18
had	18
obvious	18
out	18
positional	18
t13[cm]	18
t17	18
t5[cm]	18
w	18
!1	17
!b	17
-g	17
[2	17
expected	17
important	17
likely	17
lol	17
see	17
t14:	17
too	17
touch	17
!y5	16
-b	16
-y	16
clear	16
has	16
p23	16
rp	16
shit	16
should've	16
t13	16
t26:	16
t32:	16
t6[f]	16
u4	16
way	16
!r2	15
>>>	15
b34	15
choice	15
dupe	15
level	15
p34	15
pink	15
she	15
t12	15
t28:	15
t4[f]	15
turn	15
u2	15
yp	15
->	14
[ocm]	14
can't	14
cmed	14
copy	14
dobi	14
either	14
he	14
k	14
let's	14
o5	14
rank	14
shouldn't	14
shout	14
t22:	14
t23:	14
t24:	14
t39:	14
t8	14
though	14
y34	14
y45	14
yg	14
(	13
-2	13
:)	13
????	13
[g3]	13
critical	13
get	13
here	13
more	13
permission	13
played	13
t19:	13
t25:	13
wow	13
>>	12
[f]?	12
an	12
another	12
any	12
are	12
b345	12
feels	12
find	12
game	12
look	12
one	12
otherwise	12
possible	12
r345	12
spook	12
t13[f]	12
t29:	12
t31:	12
t34:	12
t7	12
u3	12
y12	12
!2	11
!5	11
!g2	11
!r3	11
-5	11
[5]	11
[b2]	11
a4	11
clue;	11
clues	11
fill-in	11
huh	11
kimbi	11
m23	11
melwen	11
null	11
