Fireheart	3158	3
ADrone	11161	7
asaelr	18949	8
Dr_Kakashi	11933	3
Floriman	17390	9
florrat2	3422	12
IAMJEFF	3051	3
indego	60328	8
kimbifille	28103	4
Kyle	16974	5
Lanvin	41384	5
Lel0uch	58411	6
Libster	4693	10
MarkusKahlsen	34385	11
melwen	31358	4
Nitrate2	14651	8
NoMercy	2195	8
pianoblook	55807	14
piper	18471	9
RaKXeR	2046	9
scharkbite	3745	1
sephiroth	22770	6
sin_faith	9122	5
sjdrodge	15142	7
Sucubis	7301	6
Nitrate	6924	9
swineherd	12225	8
Zamiel	9458	6
TimeHoodie	4299	1
Valetta6789	8113	3
timotree	23094	8
VerySloppyTwo	10180	4
