Note	Per game	Total
pianoblook	14	55807
florrat2	12	3422
MarkusKahlsen	11	34385
Libster	10	4693
Floriman	9	17390
Nitrate	9	6924
piper	9	18471
RaKXeR	9	2046
asaelr	8	18949
indego	8	60328
Nitrate2	8	14651
NoMercy	8	2195
timotree	8	23094
ADrone	7	11161
sjdrodge	7	15142
Lel0uch	6	58411
sephiroth	6	22770
Sucubis	6	7301
Zamiel	6	9458
Kyle	5	16974
Lanvin	5	41384
sin_faith	5	9122
kimbifille	4	28103
melwen	4	31358
VerySloppyTwo	4	10180
Dr_Kakashi	3	11933
Fireheart	3	3158
IAMJEFF	3	3051
Valetta6789	3	8113
scharkbite	1	3745
TimeHoodie	1	4299
