Note	Frequency (39562 in total)
f	2393
cm	2126
this	1414
i	952
is	718
to	548
not	510
be	509
a	440
the	414
or	365
lol	353
it	336
if	307
5	283
clue	283
should	279
play	276
but	267
on	259
maybe	232
likely	225
was	216
for	213
b4	195
kt	195
have	194
think	193
just	189
no	187
known	185
3	184
2	179
r3	177
g3	173
g4	173
oh	171
r4	169
as	165
b3	162
4	159
now	159
of	157
possible	147
discard	145
prio	145
like	144
and	142
y4	142
b2	139
adrone	137
in	137
piano	137
so	137
from	133
you	132
must	131
my	128
red	128
fix	127
1	126
what	124
that	121
me	120
right	118
with	116
bomb	114
trash	110
y3	110
bad	109
here	105
can	103
probably	101
i3	100
stall	99
do	98
r2	98
i4	96
y2	95
blue	94
he	93
we	93
get	92
p3	90
could	89
damn	89
m4	89
then	89
g2	88
guess	87
bluff	86
shoulda	86
hand	85
finesse	84
give	84
r5	84
save	84
5pp	83
im	83
why	83
will	83
m3	80
gonna	78
dont	77
has	77
i2	77
p4	77
did	76
plz	76
one	73
push	73
hm	70
:p	69
b5	69
5ce	68
positional	68
would	68
out	66
am	65
at	65
cant	65
fuck	64
g5	64
green	64
does	63
pull	63
sure	63
how	62
its	61
yellow	61
lets	60
m2	60
m5	60
might	60
playable	58
still	58
played	57
thinks	57
well	57
chop	56
after	55
double	55
cm'd	54
hopefully	54
i5	52
instead	52
know	52
p2	52
i1	51
nope	51
1s	50
are	50
god	50
y5	50
about	49
any	49
g1	49
looks	49
plays	49
u2	49
all	48
card	46
clued	46
2pp	45
really	45
don't	44
whoops	44
clues	43
unclear	43
utd	43
cmd	42
kimbi	42
k3/4	41
okay	41
some	41
though	41
u5	41
need	40
r1	40
see	40
eh	39
missed	39
most	39
other	39
p5	39
also	38
b1	37
both	37
damnit	37
way	37
def	36
either	36
good	36
huh	36
prompted	36
something	36
turn	36
u3	36
w4	36
better	35
n3	35
n5	35
8	34
again	34
assume	34
even	34
fishcat	34
o3	34
o4	34
shit	34
when	34
forgot	33
playing	33
since	33
thank	33
want	33
dumb	32
seems	32
sorry	32
can't	31
let	31
piper	31
time	31
y1	31
k3	30
prompt	30
touch	30
->	29
3s	29
5s	29
:(	29
doesn't	29
going	29
point	29
super	29
up	29
w3	29
actually	28
bombs	28
cause	28
n2	28
possibly	28
these	28
u4	28
2s	27
brown	27
dda	27
isnt	27
