Note	Frequency (13684 in total)
cm	4101
f	813
5	629
2	614
3	584
[cm]	539
1	479
4	476
e	437
b2	191
g3	186
r2	175
r3	175
b3	173
g2	156
[f]	148
b4	141
y2	139
23	137
g4	133
y4	132
r4	130
y3	121
b	84
r1	75
y1	72
g1	71
g	68
trash	66
b1	64
m2	63
r	62
or	59
i3	55
m3	54
y	50
p2	46
m4	45
p3	44
i2	40
prism	36
g5	33
p4	32
save	30
m1	29
34	27
b5	27
kt	27
m23	27
m5	27
p	27
i4	26
45	25
y5	25
not	24
w3	23
w4	20
k2	19
tccm	19
i	18
25	17
k3	17
k4	17
n2	17
24	16
i1	15
p1	15
priority	15
!b	14
???	14
fixme	14
m	14
n3	14
null	14
345	13
bluff	13
fix	13
o4	13
r5	13
234	12
o2	12
o3	12
p5	12
this	12
to	12
!r	11
oop	11
pink	11
i5	10
k	10
k1	10
n1	10
n5	10
t37	10
w	10
!n5	9
?	9
k5	9
o1	9
o23	9
play	9
t3	9
y23	9
b23	8
clue	8
gd	8
why	8
!g	7
a4	7
double	7
g23	7
is	7
o5	7
t4	7
1/2	6
a	6
a2	6
here	6
t	6
w2	6
1/5	5
5ce	5
a3	5
be	5
blue	5
do	5
lime	5
mahogany	5
red	5
s	5
stall	5
tomato	5
!1	4
-2	4
-3	4
-g	4
1/4	4
35	4
ambi	4
as	4
b34	4
bad	4
can't	4
for	4
gb	4
huh	4
if	4
known	4
n4	4
navy	4
omni	4
pass	4
pull	4
r23	4
sky	4
t5	4
yb	4
!3	3
!b2	3
!p	3
!y	3
1/3	3
2345	3
bm23	3
br	3
bs	3
color	3
dda	3
ejection	3
green	3
light	3
m45	3
maybe	3
me	3
no	3
opportunity	3
p23	3
played	3
should	3
should've	3
t11	3
t2	3
turn	3
u2	3
u4	3
yg	3
!12	2
!b5	2
!r5	2
!t4	2
!yb	2
1's	2
13	2
15	2
245	2
8	2
=\	2
[1]	2
[3]	2
[b3]	2
[fix]	2
[g3]	2
[g4]	2
a1	2
ambig	2
b45	2
been	2
berry	2
bomb	2
but	2
c	2
can	2
card	2
chop	2
context	2
critical	2
discharge	2
diseased	2
does	2
early	2
fi	2
finesse	2
forest	2
gets	2
gm23	2
good	2
gp	2
gr	2
gy	2
has	2
have	2
it	2
kimbi	2
like	2
likely	2
locked	2
mistake	2
most	2
n23	2
n25	2
need	2
ocm	2
oh	2
on	2
oops	2
pyr	2
rg	2
rg3	2
rp	2
sapphire	2
self	2
shadow	2
so	2
start	2
t16	2
t18	2
t24	2
t36	2
think	2
touch	2
u5	2
utd	2
wanted	2
yellow	2
yp	2
yr	2
!2	1
!5	1
!a	1
!bg	1
!byr	1
!forest	1
!g3	1
!gr	1
!m2	1
!pink	1
!pr	1
!r1	1
!r2	1
!red	1
!rp	1
!rpy	1
!ry	1
!yg	1
!yk	1
&	1
-_-""	1
-b	1
-ry	1
10	1
1234	1
125	1
21	1
253	1
2×	1
3m	1
42	1
4r	1
53	1
54	1
5cm	1
5nd	1
[2]	1
[5]	1
[a4]	1
[g5]	1
[m5]	1
[r5]	1
[y2]	1
[y4]	1
a5	1
adrone	1
after	1
ah	1
and	1
anxiety	1
ar	1
asaelr	1
at	1
b/w	1
ba3	1
because	1
better	1
bg	1
bi	1
bi4	1
black	1
blaze	1
blocking	1
bluffs	1
bm2	1
bm5	1
bombs	1
boss	1
both	1
bp4	1
brown	1
burn	1
bw4	1
by	1
by4	1
chance	1
charm	1
could	1
dani	1
daniman	1
declined	1
discarded	1
doesn't	1
don't	1
dup	1
enough	1
exist	1
fake	1
fey	1
florian	1
floriman	1
focus	1
free	1
from	1
g24	1
g3g4	1
game	1
gbm	1
gbp	1
get	1
gi	1
gi4	1
give	1
gm4	1
gpb	1
gpw	1
gr4	1
gr5	1
gray	1
greedy	1
gri	1
grp	1
grpy	1
gui5	1
guide	1
gw3	1
gy1	1
gyp	1
hand	1
he	1
help	1
hmm	1
hmmm	1
hope	1
i2-i4	1
i34	1
i34;	1
ice	1
ignition	1
igr	1
ik	1
illegal	1
im23	1
important	1
isn't	1
jake	1
just	1
k23	1
k234	1
k2345	1
k24	1
knew	1
kr3	1
kyle	1
lol	1
looks	1
m13	1
m1b1	1
m234	1
m24	1
m2b2	1
m34	1
m35	1
ma	1
matched	1
mb2	1
mb5	1
mm234	1
mp23	1
mr23	1
mr5	1
muddy	1
muddy4	1
must	1
my	1
my5	1
n35	1
no...this	1
nomercy	1
now	1
o	1
oh....o2	1
okay	1
omg	1
only	1
ooo	1
orchid	1
patch	1
peach	1
pi	1
piper	1
playable	1
plays	1
plus	1
principle	1
prio	1
priority.....this	1
promised	1
purge	1
purple	1
py	1
question	1
r3i3r4	1
ra3	1
rb	1
rb4	1
really	1
reverse	1
rgb	1
rgk	1
ri4	1
risk	1
rk	1
rm	1
rm23	1
rm3	1
rpg2	1
rpi	1
rw	1
ry4	1
ryb	1
rybp	1
ryg	1
ryt2	1
s4	1
saved	1
scream	1
sdcm	1
see	1
see's	1
self-	1
sephiroth	1
single	1
sky4	1
slot	1
some	1
starting	1
strange	1
suboptimal	1
sure	1
sus	1
t1	1
t10	1
t19	1
t21	1
t22	1
t26	1
t27	1
t28	1
t29	1
t38	1
t41	1
t43	1
t53	1
t6	1
tangelo	1
the	1
then	1
though....reverse	1
through	1
tpg	1
transfer	1
u-turn	1
u23	1
u3	1
u45	1
ugh	1
ugh....terrible	1
uhhh	1
unknown	1
unnecessary	1
use	1
used	1
valid	1
w1	1
w5	1
was	1
wg	1
what	1
when	1
white	1
will	1
with	1
wp4	1
wr3	1
y45	1
yb4	1
yba	1
ybm4	1
ybpink	1
ygb	1
ygi	1
yk	1
ym	1
zam	1
😅	1
😎	1
