Note	Frequency (4352 in total)
f	1092
cm	857
5	102
2	77
3	74
4	63
this	54
..	53
1	46
.	41
i	41
is	39
kt	39
?	31
a	26
not	26
or	23
to	23
r4	21
oh	19
y4	18
b3	17
maybe	17
23	16
if	16
[cm]	15
clue	15
g3	15
y3	15
but	14
i4	14
m3	14
probably	14
r3	14
[f]	13
b4	13
presumably	13
r	13
the	13
we	13
b5	12
g4	12
lol	12
m4	12
on	12
be	11
g	11
looks	11
play	11
34	10
actually	10
here	10
me	10
fix	9
m2	9
missed	9
so	9
will	9
g1	8
g2	8
i3	8
p3	8
red	8
rip	8
should	8
why	8
??	7
get	7
guess	7
m23	7
p2	7
p3>	7
r1	7
...	6
after	6
b5>	6
blue	6
can	6
fa	6
known	6
n3	6
oops	6
r2	6
r5>	6
teal	6
y2	6
yeah	6
:/	5
as	5
b2	5
better	5
exactly	5
have	5
it's	5
lhs	5
like	5
o3	5
p5	5
playable	5
potentially	5
really	5
save	5
sky3	5
was	5
white	5
y5	5
:(	4
and	4
assume	4
b	4
bluff	4
bomb	4
card3>	4
cause	4
color	4
could	4
dda	4
dupe	4
g2e	4
g5	4
k2e>	4
kappa	4
m1	4
m234	4
m5	4
navy	4
p4	4
r1>>?	4
r5	4
some	4
tomato	4
use	4
utd	4
well	4
wrong	4
y	4
y4>	4
5ce	3
???	3
almost	3
also	3
any	3
b1	3
before	3
big	3
card	3
discard	3
doesn't	3
don't	3
first	3
for	3
g2e>	3
going	3
issues	3
it	3
just	3
know	3
m	3
m/1	3
m1>	3
mahog	3
mahog3>	3
marked	3
means	3
more	3
my	3
no	3
non	3
of	3
open	3
p	3
p4>	3
prio	3
r4>?	3
same	3
scams	3
seems	3
supposed	3
sure	3
trust	3
turn	3
weak	3
what	3
works	3
y5k5>	3
yellow	3
!2	2
235	2
24	2
45	2
4s	2
5cm	2
\	2
all	2
already	2
an	2
are	2
bad	2
because	2
brave	2
brown	2
c2	2
card3	2
certainly	2
coming	2
darkpink4	2
didn't	2
fair	2
ffs	2
finesse	2
g2>	2
g5>	2
give	2
good	2
gray	2
green	2
hard	2
i1	2
i2	2
i23	2
i5	2
im	2
in	2
instead	2
into	2
k5	2
lets	2
lose	2
low	2
m5y5	2
mahogany	2
mm	2
multi	2
must	2
myb	2
o23	2
o2>	2
o4	2
one	2
oop	2
order	2
other	2
ouch	2
outside	2
p2b2	2
pay	2
phew	2
playing	2
possible	2
prism3	2
prompt	2
reclue	2
right	2
sadge	2
see	2
seem	2
sky	2
sky5	2
stall	2
tbh	2
think	2
time	2
turbo	2
twice	2
unlucky	2
w2	2
w4	2
way	2
with	2
wonder	2
y1	2
y2f	2
y2m1	2
yb	2
you	2
zam	2
!b	1
!g	1
!r	1
!y	1
!y5?	1
!yb	1
#	1
#1	1
#2	1
#?	1
%	1
.cm	1
/stomp	1
0	1
16	1
17	1
1>	1
234	1
24dupe	1
25	1
27	1
2nd	1
2s	1
2save	1
3/m	1
300	1
31	1
3s	1
;-;	1
>.<	1
????	1
?????????	1
^^	1
a3	1
accidental	1
again	1
always	1
am	1
and/but	1
anyways	1
asaelr	1
assuredly	1
attempt	1
autoplays	1
away	1
b2>	1
b2?>	1
b2f	1
