Note	Frequency (37165 in total)
f	6809
cm	1182
[f]	990
5	751
not	617
3	612
2	529
i	511
4	412
this	342
r3	337
kt	313
g3	308
r2	300
b2	296
b3	294
g2	281
play	280
r4	279
g4	274
b4	266
maybe	266
or	264
save	260
probably	246
y3	243
to	232
why	227
[cm]	226
y4	226
is	224
1	222
prompt	221
prio	212
should	210
y2	191
by	182
have	182
be	179
it	176
clue	173
here	172
like	172
m2	167
oh	167
m3	155
a	149
bluff	146
i3	141
b1	137
i2	137
guess	136
was	133
g1	132
r1	130
of	129
p3	129
m4	128
ambig	127
looks	127
i4	123
p2	122
if	121
sdcm	119
p4	118
as	117
known	111
off	108
y1	108
but	107
think	104
b5	101
fixme	101
just	101
the	99
missed	97
m1	96
after	93
no	93
my	85
tccm	85
it's	84
bomb	81
can	81
r5	79
trash	75
fix	74
bad	73
woops	73
discard	72
i1	72
n2	72
g	71
did	67
elim	66
now	66
and	65
n3	65
so	65
wait	65
g5	64
i5	64
k2	64
hopefully	62
since	60
m5	59
will	59
y	59
b	58
e	58
n4	58
context	57
instead	57
w3	57
what	57
likely	56
playing	56
y5	55
>	53
do	53
doesn't	53
r	53
on	52
n1	50
w4	50
with	50
finesse	49
for	49
red	49
might	48
p1	48
exactly	46
w2	46
:)	45
still	44
better	43
k4	43
because	42
good	42
plays	42
touch	42
would	42
card	41
playable	41
sorry	41
thinks	41
damn	40
don't	39
i'm	39
pp	39
o3	38
p5	38
played	38
right	38
that	38
could	37
o2	37
something	36
clued	35
double	35
k3	35
then	35
baton	34
dda	34
kyle	34
look	33
n5	33
p	33
how	32
me	32
done	31
oop	31
blue	30
does	30
kimbi	30
know	30
pink	30
he	29
mistake	29
neg	29
hesitation	28
o4	28
stall	28
t3	28
certain	27
declined	27
from	27
gd	27
has	27
hope	27
thought	27
what's	27
k1	26
lhs	26
weird	26
wrong	26
didn't	25
in	25
slot	25
turn	25
dupe	24
nope	24
pull	24
23	23
choice	23
cluing	23
get	23
other	23
a4	22
chop	22
fixed	22
green	22
t2	22
up	22
at	21
loaded	21
really	21
some	21
t4	21
valetta	21
we	21
:(	20
ah	20
color	20
lol	20
rank	20
that's	20
almost	19
g2>	19
m	19
o1	19
you	19
+	18
5ce	18
can't	18
ejection	18
hand	18
more	18
r4>	18
seph	18
w1	18
are	17
b2>	17
lime	17
utd	17
about	16
black	16
piano	16
positional	16
t1	16
(but	15
an	15
attempted	15
b3>	15
certainly	15
confused	15
r2>	15
than	15
5:	14
[f]?	14
bombs	14
c2	14
c3	14
first	14
forgot	14
g4>	14
give	14
gray	14
kakashi	14
level	14
never	14
see	14
shout	14
sure	14
yellow	14
?	13
a3	13
already	13
been	13
c4	13
g3>	13
k5	13
kind	13
lpc	13
o5	13
otherwise	13
r3>	13
seems	13
sky	13
u4	13
well	13
4/5	12
??	12
again	12
b4>	12
blaze	12
discarded	12
hard	12
only	12
push	12
trust	12
w5	12
when	12
wtf	12
13:	11
17:	11
18:	11
b1>	11
b2e	11
brown	11
chance	11
even	11
g4?>	11
game	11
had	11
null	11
occupied	11
one	11
timehoodie	11
w	11
y1>	11
(or	10
(since	10
10:	10
8:	10
a2	10
b23	10
elim>	10
g1>	10
going	10
hoping	10
lanvin	10
livia	10
move	10
pass	10
possible	10
scream	10
stale	10
stomped	10
unnecessary	10
wasn't	10
y2>	10
4:	9
a1	9
also	9
always	9
any	9
bit	9
bluffs	9
early	9
echo	9
g2e	9
hmm	9
i2>	9
idiot	9
l3	9
messed	9
moved	9
must	9
order	9
p2>	9
purple	9
r2e	9
read	9
schark	9
shouldn't	9
u3	9
u5	9
work	9
(maybe	8
(not	8
15:	8
19:	8
22:	8
25:	8
29:	8
3:	8
6:	8
8	8
actually	8
basically	8
before	8
being	8
bubblegum	8
clearly	8
clues	8
discarding	8
getting	8
isn't	8
knows	8
layered	8
lelouch	8
let	8
let's	8
low	8
nobody	8
perhaps	8
r1>	8
r5>	8
sarcastic	8
strange	8
target	8
too	8
until	8
14:	7
26:	7
3/4	7
7:	7
9:	7
;)	7
asaelr	7
bombed	7
both	7
dmoney	7
e>	7
ever	7
failed	7
focus	7
ice	7
jeff	7
locked	7
much	7
nice	7
omg	7
out	7
p1>	7
p3>	7
pace	7
prism	7
prob	7
promise	7
promised	7
r23	7
redist	7
rz	7
s3	7
sad	7
t5	7
tempo	7
totally	7
two	7
u2	7
which	7
whisper	7
works	7
wouldn't	7
y3>	7
y5>	7
(probably	6
1:	6
20:	6
23:	6
4)	6
:/	6
:d	6
another	6
bluffed	6
bm1	6
clear	6
ehm	6
either	6
elimination	6
expected	6
feels	6
fine	6
frosty	6
gotta	6
k34	6
kyle's	6
leave	6
make	6
n5>	6
need	6
ocm	6
over	6
people	6
piper	6
reclue	6
scharkbite	6
slightly	6
soon	6
spook	6
use	6
using	6
very	6
want	6
won't	6
y23	6
y4>	6
y4e	6
yep	6
yet	6
ym1	6
(should	5
12:	5
2/3	5
2/4	5
21:	5
3)	5
31:	5
34:	5
35:	5
39:	5
accidental	5
am	5
anymore	5
b/y	5
b2?>	5
berry	5
bm2	5
bombing	5
cards	5
correct	5
course	5
damnit	5
dani	5
dark	5
discharge	5
dupe)	5
eject	5
enough	5
figure	5
full	5
g23	5
g2?>	5
gm1	5
ignition	5
intended	5
into	5
k	5
keep	5
kimbi's	5
l2	5
later	5
least	5
lie	5
lot	5
m1>	5
marked	5
n2>	5
n2e	5
necessary	5
o	5
omni	5
pablo	5
presumably	5
priority	5
r1m2	5
r24	5
r2?>	5
random	5
respect	5
rm1	5
sense	5
single	5
stuff	5
t1:	5
t23	5
t3:	5
t5:	5
teal	5
technically	5
there's	5
time	5
variant	5
we're	5
y2e	5
(why	4
11:	4
16:	4
36:	4
:p	4
adrone	4
all	4
anyway	4
b34	4
b5>	4
back	4
blocking	4
c1	4
c5	4
careful	4
charm	4
cool	4
dda>	4
definitely	4
destroy	4
die	4
down	4
draw	4
drawn	4
ejected	4
fireheart	4
g1m2	4
g34	4
gb3	4
gi3	4
go	4
i'd	4
i1>	4
i3>	4
illegal	4
indigo	4
interpreted	4
inversion	4
m1?>	4
m2e	4
m4>	4
m5?>	4
mean	4
melwen	4
n25	4
negative	4
okay	4
opening	4
p23	4
p3?>	4
please	4
plus	4
possibly	4
prevent	4
prompted	4
r1e	4
r34	4
reverse	4
saved	4
score	4
screamed	4
second	4
seem	4
selfbluff	4
stop	4
surely	4
t	4
t10:	4
t12:	4
t2:	4
take	4
tempted	4
there	4
through	4
twice	4
u3>	4
wanted	4
whether	4
y1m2	4
y2?>	4
yb3	4
yeah	4
'f'	3
(because	3
(could	3
(if	3
(looks	3
1)	3
1/2	3
10	3
12	3
18	3
1s	3
27:	3
28:	3
2xr4	3
34	3
39	3
42:	3
45	3
45:	3
5pull	3
[b3]	3
[cm]?	3
[y3]	3
a4e	3
although	3
annoying	3
anxiety	3
around	3
attempt	3
attention	3
avoid	3
b/p	3
b/r	3
b1m1	3
b4?>	3
b4e	3
best	3
bg3	3
bg4	3
bi4	3
blind	3
bluff)	3
blunder	3
bm3	3
bm5	3
brain	3
burn	3
burning	3
choice)	3
christophe	3
clearer	3
cluable	3
confusing	3
consider	3
couldn't	3
depends	3
derek	3
digging	3
disagreement	3
discard)	3
discards	3
doctorabi	3
duck	3
find	3
finessed	3
fresh	3
g/b	3
g12	3
g15s	3
g1m1	3
g2/3	3
gave	3
gb4	3
generation	3
gentleman's	3
gets	3
given	3
gives	3
gr3	3
gr4	3
gy4	3
hanabiplus	3
he'd	3
helena	3
help	3
hindsight	3
i'll	3
i4?>	3
idea	3
important	3
interesting	3
