Note	Frequency (19113 in total)
f	3980
cm	2030
5	719
b2	351
r3	350
g2	347
r2	333
b3	327
g3	305
y2	289
r4	264
2	262
kt	262
b4	254
g4	245
y3	241
r1	238
3	236
b1	224
g1	221
y4	205
4	199
gd	184
b	176
r	172
g	156
p	154
y1	150
pull	138
i2	135
y	133
i3	127
m2	127
me	126
p2	125
1	116
p3	113
m3	109
i4	106
p4	105
b5	101
m4	89
r5	87
fix	86
i1	84
g5	83
pf	82
p1	80
not	79
play	77
m1	71
tp	71
?	64
y5	56
i5	55
i	54
af	53
k2	51
m5	48
k1	47
2/3	44
n2	44
nvm	44
n1	40
n3	40
k3	39
a	38
o2	37
k4	36
w	35
o3	33
n4	31
this	30
fixme	29
p5	29
if	28
n5	27
missed	26
now	26
o1	26
clue	25
looks	25
w3	25
stall	24
w2	24
o4	22
m	21
k5	19
t2	19
3/4	17
imp	17
is	17
pd	16
probably	16
w1	16
after	15
be	15
maybe	15
r4---	15
to	15
23	14
better	14
lhs	14
no	14
why	14
nice	13
t3	13
turn	13
u3	13
2/4	12
gr	12
im	12
it	12
just	12
k	12
like	12
should	12
g4---	11
pp	11
t1	11
think	11
trust	11
u2	11
w4	11
a3	10
b3---	10
g2---	10
r2---	10
s	10
t4	10
u4	10
was	10
:/	9
b4---	9
elim	9
green	9
o5	9
or	9
r3---	9
red	9
save	9
u5	9
4/5	8
a4	8
an	8
bomb	8
br	8
but	8
c3	8
can	8
l2	8
mistake	8
my	8
o	8
on	8
u1	8
w5	8
y2---	8
yellow	8
34	7
as	7
b2---	7
bad	7
d	7
discard	7
exactly	7
gb	7
idiot	7
playme	7
s4	7
sick	7
time	7
we	7
big	6
bluff	6
c1	6
color	6
g3---	6
gy	6
have	6
instead	6
known	6
likely	6
playable	6
s1	6
s2	6
tccm	6
with	6
wrong	6
y3---	6
y4---	6
yep	6
you	6
2/5	5
234	5
5ce	5
a1	5
a2	5
b5---	5
been	5
c4	5
dupe	5
for	5
g2/3	5
incoming	5
k2345	5
l1	5
l3	5
might	5
n	5
nope	5
p4---	5
pb	5
seems	5
t5	5
the	5
thinks	5
what	5
a5	4
blue	4
blunder	4
bp	4
by	4
c	4
c2	4
d3	4
dda	4
exact	4
finesse	4
full	4
guess	4
hes	4
i4---	4
lol	4
love	4
lpc	4
marked	4
p2---	4
possible	4
prio	4
really	4
rk	4
stale	4
t	4
thank	4
trash	4
u	4
utp	4
11	3
1s	3
3/4/5	3
5s	3
b/r	3
b1---	3
b2----	3
bg	3
choice	3
cm?...cm	3
d2	3
didnt	3
dis	3
do	3
f4	3
g1---	3
g1m1	3
g2----	3
gk	3
going	3
gonna	3
good	3
hope	3
i'm	3
i1---	3
i2---	3
idk	3
l	3
look	3
m23	3
master	3
n125	3
n25	3
n5---	3
needs	3
nt	3
of	3
opc	3
out	3
played	3
please	3
plus	3
pos	3
prompt	3
purple	3
r2/4	3
r5---	3
rb	3
rkass	3
ry	3
shoulda	3
t10	3
tf	3
ya	3
yb	3
yr	3
!y	2
14	2
2/1	2
2/3/4	2
24	2
245	2
26	2
2s	2
3/4/kt	2
345	2
41	2
4s	2
5nd	2
8	2
9	2
?!	2
???	2
a1---	2
also	2
any	2
are	2
b/y	2
b1m2	2
b1m3	2
b2---?	2
b3---?	2
b3/4	2
b34	2
b4---?	2
b5----	2
bd	2
black	2
bombing	2
bombs	2
clearer	2
clues	2
cmon	2
cn	2
d4	2
dont	2
early	2
experiment	2
f1	2
failed	2
fixed	2
floriman	2
free	2
g/b	2
g/y	2
g1m2	2
g23	2
g3---?	2
g3/4	2
g4---?	2
g4/5	2
g5---	2
gbi	2
get	2
gi	2
gm1	2
go1	2
goes	2
got	2
gw	2
how	2
i'll	2
i1r3	2
i5---	2
in	2
justice	2
k3---	2
k3/4	2
k35	2
kb3	2
km4	2
kp4	2
l23	2
l4	2
m1---	2
m1g1	2
m1r1	2
m2----	2
m5---	2
markus	2
matches	2
n45	2
notg	2
noty	2
off	2
oh	2
os	2
p/y	2
p3---	2
patch	2
pg	2
planned	2
plz	2
pm1	2
priority	2
purge	2
push	2
py4	2
question	2
r/b	2
r1m2	2
r1m3	2
r1m5	2
r2/3	2
r2m1	2
r2m2m3	2
r2m4	2
r3/4	2
r4---?	2
read	2
real	2
reclue	2
review	2
rs	2
ryg	2
s/5	2
s5	2
schark	2
sdcm	2
sf	2
so	2
start	2
stomp	2
supposed	2
sure	2
t/p	2
t14	2
t17	2
take	2
than	2
timo	2
tm2	2
uh	2
unlikely	2
wonderful	2
xm	2
y1m1	2
y1m2	2
y1y2	2
y2/y3	2
y23	2
y3----	2
y4---?	2
ybp	2
yea	2
yp	2
!i	1
(p)y?	1
-r2	1
05	1
1----	1
1/2	1
1/5	1
1/r	1
10	1
123	1
134	1
15	1
157	1
1r2	1
1s54	1
2.3	1
2/5/1/color	1
2/5?	1
2/5?important?	1
22	1
2345	1
235	1
25	1
2?3	1
2a---	1
2b2---	1
2g	1
2g2---	1
2g2---?	1
2g3---	1
2g3----	1
2g4---?	1
2m3---?	1
2ndg4	1
2w4---?	1
2y3	1
3.4	1
31	1
34/n5	1
3n	1
3s	1
3s1	1
4'	1
4----?	1
45	1
4c	1
5/4	1
5/i	1
5/maybe	1
54	1
5nd6	1
5pull	1
63	1
7	1
8cs	1
\	1
]	1
a4b4	1
absolute	1
adrone	1
af?cm?	1
afpb	1
ag2	1
again	1
ah	1
am	1
amb	1
ambiguous	1
ambitious	1
