Note	Frequency (31123 in total)
f	3740
[cm]	879
cm	753
5	656
->	545
i	517
this	511
kt	492
[f]	441
b2	376
2	374
g2	371
b3	369
r3	363
4	353
r2	348
3	346
g3	339
to	337
not	328
r4	300
y2	294
a	292
b4	291
as	278
g4	269
is	250
y3	241
probably	235
y4	231
1	225
should	212
clue	208
played	207
nvm	203
r1	202
play	187
why	178
p2	168
was	164
b1	162
it	161
p3	159
g1	158
m3	158
be	153
y1	151
m2	149
i2	148
the	146
have	138
i3	137
b5	136
missed	125
r5	125
i4	121
like	121
looks	116
p4	116
or	115
maybe	111
g5	109
if	107
m1	102
m4	97
y5	94
n2	90
of	87
just	84
for	83
on	83
guess	80
i'm	80
don't	79
that	79
but	78
m5	78
know	77
n5	75
and	74
bluff	73
bad	72
could	72
my	71
i5	67
discard	65
oops	64
p1	64
how	62
i1	62
no	61
think	61
what	61
from	60
n4	60
instead	58
save	58
get	57
trash	57
:(	56
better	56
would	56
finesse	55
:d	54
hmm	54
k2	54
might	54
n3	54
fix	53
give	52
k3	52
sure	52
you	52
stall	51
because	50
fixme	50
bomb	49
does	49
so	49
p5	47
playable	47
with	47
o2	45
o3	45
me	44
we	44
n1	43
red	43
sorry	43
card	42
k4	42
since	42
unclued	42
g	40
chop	39
t1	39
t2	39
blue	38
it's	38
in	37
playing	37
o4	36
w3	36
will	36
doesn't	35
at	34
priority	34
can	33
do	33
melwen	33
o5	33
w4	33
has	32
t4	32
w2	32
clued	30
hand	30
he	29
yellow	29
:/	28
actually	28
here	28
r	28
that's	28
y	28
need	27
now	27
o1	27
t11	27
t23	27
green	26
t3	26
t5	26
nice	25
plays	25
t16	25
t8	25
double	24
idea	24
move	24
one	24
t13	24
then	24
?	23
an	23
b	23
known	23
right	23
t10	23
t12	23
dda	22
good	22
lose	22
t19	22
t32	22
t9	22
[fixme]	21
mistake	21
really	21
t28	21
!g	20
prio	20
t20	20
t27	20
t6	20
trying	20
about	19
cannot	19
k5	19
shouldn't	19
still	19
t17	19
touch	19
uh	19
are	18
been	18
discarded	18
k1	18
oof	18
pink	18
positional	18
scream	18
something	18
t14	18
t21	18
5ce	17
first	17
purple	17
push	17
some	17
t30	17
there	17
bombed	16
did	16
important	16
more	16
nope	16
ok	16
slot	16
t15	16
t18	16
t22	16
t29	16
way	16
!1	15
ah	15
didn't	15
look	15
o_o	15
prompt	15
pull	15
t26	15
time	15
a4	14
also	14
ambig	14
forgot	14
getting	14
hopefully	14
intended	14
make	14
much	14
point	14
t24	14
t36	14
t7	14
turn	14
understand	14
work	14
a3	13
all	13
discarding	13
even	13
gotten	13
let	13
m	13
otherwise	13
out	13
see	13
t37	13
unnecessary	13
!2	12
!y	12
1s	12
after	12
ejection	12
knows	12
lucky	12
misplay	12
needs	12
oh	12
seph	12
t25	12
t33	12
utd	12
w1	12
want	12
weird	12
when	12
already	11
any	11
apparently	11
before	11
jack	11
p	11
stupid	11
t34	11
thedaniman	11
thinks	11
u3	11
uuuh	11
well	11
works	11
x)	11
-_-	10
amy	10
anything	10
anyway	10
clueing	10
correct	10
gonna	10
hope	10
into	10
lhs	10
magic	10
moved	10
never	10
only	10
t38	10
t41	10
technically	10
too	10
w5	10
yup	10
zakisan	10
.	9
2s	9
3s	9
[3]	9
[kt]	9
blind-play	9
cards	9
choice	9
clues	9
early	9
else	9
had	9
isn't	9
level	9
makes	9
melwen's	9
super	9
t31	9
touching	9
ugh	9
unless	9
wrong	9
!5	8
8	8
:o	8
[5]	8
another	8
asaelr	8
being	8
believe	8
both	8
confused	8
d3	8
game	8
great	8
illegal	8
kind	8
least	8
luck	8
risky	8
sephiroth	8
she	8
supposed	8
t47	8
t49	8
tccm	8
trust	8
wait	8
wouldn't	8
!g3	7
!r	7
!y4	7
4s	7
af	7
allowed	7
believes	7
can't	7
couldn't	7
directly	7
echo	7
exactly	7
fault	7
gives	7
giving	7
hanabiforwill	7
hesitation	7
lie	7
noone	7
notes	7
oop	7
rank	7
reclue	7
s4	7
saving	7
start	7
t35	7
t40	7
tell	7
tempo	7
than	7
wasn't	7
wtf	7
xmil	7
yes	7
yet	7
!p	6
!r3	6
5s	6
[2]	6
[m4]	6
a2	6
bit	6
bombs	6
burn	6
color	6
course	6
definitely	6
elimination	6
enough	6
focus	6
free	6
hoping	6
lousy	6
needed	6
nitrate	6
pablo	6
piano	6
read	6
s2	6
schark	6
scharkbite	6
slow	6
someone	6
t39	6
t44	6
totally	6
u2	6
we're	6
white	6
!b5	5
2/5	5
5cm	5
>=	5
[4]	5
again	5
anymore	5
assume	5
attempt	5
black	5
blind-played	5
bonja	5
bubblegum	5
clear	5
derek	5
dmoney	5
draw	5
eject	5
ever	5
everyone	5
except	5
gets	5
hanabi	5
help	5
