Note	Frequency (8968 in total)
f	317
i	283
this	243
cm	177
+	144
to	138
a	126
is	125
not	119
clue	104
have	101
the	99
5	96
if	88
2	79
play	77
and	70
be	66
that	62
it	61
in	58
g3	57
my	56
should	56
[f]	54
b3	53
but	53
of	52
r2	52
trash	51
1	49
r3	47
*	46
after	46
don't	45
g2	44
or	44
i'm	43
was	42
b2	41
because	41
as	40
discard	40
r4	39
3	38
4	38
me	38
we	38
on	37
p4	37
->	36
y2	36
y3	36
hand	35
you	34
b1	33
p3	33
b4	32
clued	32
for	32
g4	32
bluff	31
from	31
y4	31
think	30
do	28
playing	28
why	28
card	26
guess	26
now	26
finess	25
g5	25
he	25
what	25
a:	24
it's	24
like	24
ok	24
playable	24
plays	24
so	24
b	23
doesn't	23
y	23
just	22
maybe	22
no	22
p2	22
at	21
g	21
has	21
know	21
!1	20
[cm]	20
could	20
lib	20
probably	20
r	20
with	20
can	19
i4	19
known	19
r5	19
slot	19
!5	18
lol	18
would	18
!a	17
actually	17
even	17
r1	17
save	17
cluing	16
p	16
p1	16
sure	16
y5	16
!2	15
!y	15
(4	15
2)	15
can't	15
double	15
exactly	15
get	15
knows	15
oh	15
since	15
that's	15
way	15
color	14
fix	14
g1	14
instead	14
other	14
pray	14
pretty	14
see	14
something	14
though	14
turn	14
wtf	14
(5	13
are	13
bad	13
good	13
hope	13
i2	13
least	13
red	13
2's	12
been	12
cards	12
clues	12
didn't	12
i3	12
ocm	12
one	12
yellow	12
!r	11
23	11
assume	11
b5	11
cm'd	11
does	11
first	11
game	11
isn't	11
m3	11
nice	11
otherwise	11
played	11
up	11
valetta	11
will	11
y1	11
context	10
did	10
gonna	10
hopefully	10
how	10
out	10
then	10
too	10
!4	9
!b	9
?	9
all	9
better	9
c	9
discarded	9
enough	9
hm	9
loaded	9
might	9
missplay	9
move	9
purple	9
push	9
self	9
shit	9
tell	9
uh	9
weird	9
well	9
!g	8
about	8
focus	8
here	8
him	8
idk	8
likely	8
means	8
nothing	8
potential	8
really	8
sdcm	8
sorry	8
stall	8
still	8
trust	8
unless	8
unnecessary	8
very	8
wrong	8
!a:	7
(2	7
25	7
4's	7
4)	7
5's	7
an	7
b:	7
blue	7
critical	7
either	7
kyle	7
libster	7
m2	7
makes	7
mercy	7
right	7
same	7
seems	7
supposed	7
tells	7
time	7
wait	7
want	7
work	7
y)	7
(after	6
1's	6
ambiguous	6
anything	6
b)	6
both	6
chop	6
convention	6
cuz	6
discarding	6
done	6
dupe	6
fuck	6
fucked	6
got	6
green	6
i1	6
i5	6
into	6
k2	6
legal	6
lose	6
lucky	6
mistake	6
more	6
only	6
p5	6
priority	6
read	6
there's	6
us	6
yeah	6
!p	5
34	5
also	5
any	5
assumed	5
feel	5
free	5
gets	5
going	5
had	5
his	5
less	5
looks	5
lul	5
m4	5
much	5
need	5
off	5
potentially	5
pull	5
she	5
some	5
stuff	5
w4	5
we're	5
which	5
without	5
won't	5
xd	5
your	5
!2)	4
(!5	4
(3	4
(p	4
:(	4
;_;	4
almost	4
assuming	4
attempted	4
away	4
being	4
best	4
call	4
comp	4
dda	4
decided	4
definitely	4
despite	4
duped	4
ever	4
expect	4
expected	4
fake	4
finessing	4
g)	4
g34	4
getting	4
glad	4
having	4
inversion	4
k4	4
kakashi	4
last	4
libster's	4
little	4
make	4
marked	4
may	4
most	4
needs	4
next	4
notes	4
number	4
p)	4
point	4
r)	4
reachable	4
reason	4
review	4
rz	4
say	4
sense	4
stomp	4
super	4
t2	4
t4	4
t5	4
take	4
teal	4
tf	4
thank	4
things	4
touch	4
valid	4
w	4
wasn't	4
what's	4
win	4
wonder	4
!c)	3
!y)	3
!y2	3
(!3	3
((5	3
(a:	3
2))	3
24	3
3's	3
[y2]	3
ambig	3
anymore	3
anyway	3
ask	3
ass	3
before	3
blind	3
certainly	3
classic	3
close	3
cool	3
discards	3
doing	3
due	3
dumb	3
duping	3
early	3
felt	3
fixed	3
give	3
giving	3
happen	3
happened	3
hard	3
he's	3
i'd	3
illegal	3
k	3
let	3
lib's	3
made	3
making	3
man	3
matches	3
meh	3
n4	3
never	3
position	3
possibility	3
practice	3
previous	3
prompt	3
raz	3
reclue	3
remember	3
requires	3
risk	3
ry4	3
sad	3
seriously	3
somehow	3
stephen	3
stop	3
suboptimal	3
t	3
t3	3
these	3
thing	3
thought	3
turns	3
until	3
use	3
useful	3
variant	3
w2	3
wanted	3
were	3
when	3
whether	3
who	3
works	3
wouldn't	3
y))	3
y34g4	3
yellows	3
yes	3
yet	3
yg	3
!3	2
!b)	2
!y3	2
!y4	2
!y5	2
#i	2
#si	2
&	2
(!a:	2
(1	2
(and	2
(c	2
(g4	2
(m2)	2
(maybe	2
(most	2
(not	2
(or	2
0	2
100%	2
234	2
2nd	2
345	2
45	2
5's?	2
5p	2
??	2
[b4]	2
again	2
allowed	2
already	2
am	2
asaelr	2
assumption	2
attempt	2
attention	2
b34	2
back	2
balls	2
believe	2
big	2
bit	2
bluffing	2
by	2
c)	2
c:	2
called	2
cant	2
cause	2
choice	2
clear	2
cluable	2
combination	2
completely	2
confusing	2
conventions	2
count	2
crazy	2
curious	2
data	2
deal	2
delayed	2
died	2
discharge	2
discuss	2
doubt	2
down	2
draw	2
dunno	2
earlier	2
eject	2
ejection	2
end	2
equal	2
every	2
exist	2
extremely	2
fact	2
failed	2
find	2
fine	2
forgot	2
g2i3	2
games	2
gbp5	2
gg	2
given	2
go	2
goal	2
god	2
gotten	2
gp	2
great	2
greens	2
guess)	2
guy	2
heart	2
help	2
honestly	2
hoping	2
i'll	2
idea	2
identity	2
impossible	2
insane	2
intentionally	2
jeff's	2
k3	2
k5	2
kimbi	2
kind	2
kinda	2
knew	2
l3	2
l4	2
lack	2
layered	2
learn	2
levels	2
libs	2
lie	2
light	2
lines	2
locked	2
lolol	2
look	2
lost	2
lot	2
lpc	2
m	2
m5	2
mean	2
meme	2
million	2
mine	2
minutes	2
missed	2
missplayed	2
missplaying	2
myself	2
necessary	2
neg	2
nevermind	2
nop	2
once	2
opener	2
our	2
over	2
plan	2
please	2
pls	2
positional	2
positionals	2
possible	2
pr5	2
prev	2
promise	2
promissed	2
question	2
r3y4	2
rb3	2
reading	2
reasonable	2
regardless	2
rg	2
rip	2
round	2
rp3	2
safe	2
saved	2
says	2
scream	2
screamed	2
sensitivity	2
shame	2
signals	2
single	2
specially	2
spending	2
spent	2
start	2
strikes	2
strong	2
target	2
telling	2
thinks	2
told	2
totally	2
true	2
trying	2
under	2
unfortunate	2
unfortunately	2
universe	2
unlikely	2
unlikely)	2
used	2
valetta's	2
w3	2
we'll	2
whatever	2
wump	2
y34	2
years	2
you're	2
yri	2
§21	2
!2.	1
!=	1
![c	1
!a2	1
!a5	1
!b3	1
!b5	1
!f	1
!g)	1
!g1	1
!gm1	1
!gm2	1
!i1	1
!r2	1
!r3	1
!r3)	1
!r4g3b2	1
!r5	1
!rm	1
!rygp3b1	1
!w	1
!y1	1
#13	1
%	1
(!y	1
((r	1
((y	1
(+l4	1
(2)	1
(4)	1
(5)	1
(actually	1
(aka.	1
(as	1
(b	1
(b2	1
(b:	1
(bluff)	1
(could	1
(despite	1
(either	1
(extremely	1
(fake	1
(g	1
(g3	1
(g4)	1
(he	1
(i2)	1
(known	1
(lanvin	1
(lets	1
(looks	1
(m4)	1
(no	1
(p)	1
(p3?	1
(p3?)	1
(probably	1
(r1)	1
(r2	1
(r2)	1
(r23)	1
(r3	1
(r3)	1
(r4)	1
(s5	1
(should	1
(t4)	1
(there	1
(unlikely	1
(y2)	1
(ygb	1
);	1
*and*	1
--'	1
->?	1
->b:	1
1's?	1
1-away	1
10000%	1
2-3	1
22	1
23k4	1
24)	1
3's)	1
3-bluff	1
34)	1
35	1
5)	1
50%	1
5])	1
7	1
8	1
80%	1
99%	1
:(((	1
<	1
[2]	1
[45]	1
[a2r4]	1
[b5]	1
[g]	1
[gp5]	1
[ocm]?	1
[p2gbp5]	1
[p3]	1
[r3]	1
[r4]	1
[r5]	1
[r]	1
[super	1
[trash2gbp5]	1
[y]ellow	1
a1	1
a2	1
a3	1
a:5	1
aaand	1
accident	1
accidental	1
adjust	1
af	1
afraid	1
agree	1
alright	1
ambitious	1
anxiety	1
anyone	1
aren't	1
asap	1
assumes	1
available	1
b1i4	1
b1p2	1
b2)	1
b23	1
b23i4	1
b2?)	1
b3->	1
b4->	1
b4m2	1
b:color	1
ballsy	1
banking	1
based	1
become	1
began	1
behavior	1
beside	1
bg	1
bg4	1
blatant	1
block	1
blocking	1
blues	1
bluff)	1
bluffed	1
bp	1
bp2	1
bp5	1
br3	1
brain	1
broke	1
brown	1
bry3	1
bw	1
bw5	1
by2	1
c3	1
c4	1
calc	1
came	1
cannot	1
card's	1
care	1
carunty	1
case	1
cautious	1
centric	1
chance	1
charm	1
checked	1
chops	1
clarifies	1
clue)	1
cm'd?	1
cm'ing	1
cm(?)	1
collaborating	1
color)	1
come	1
communicate	1
conditional	1
confident	1
confirmation	1
conflicting	1
confusing)	1
consider	1
consideration	1
continuously	1
convention:	1
cooler	1
copy	1
couldn't	1
counting	1
counts	1
course	1
covers	1
criticals	1
current	1
cut	1
danger	1
dare	1
decision	1
deduping	1
deep	1
default	1
defer	1
dejavu	1
delay	1
derek	1
die	1
different	1
differently	1
difficulty	1
direct	1
direction	1
discard)	1
discern	1
discussion	1
dismay	1
distributing	1
distribution	1
doc	1
doge	1
dont	1
doublebluff	1
drawing	1
drawn	1
drew	1
duck	1
dude	1
duh	1
dump	1
each	1
easy	1
eat	1
eating	1
echo	1
echo'd	1
efcm	1
elim	1
else's	1
endangers	1
entertain	1
entertained	1
entertaining	1
environment	1
erd	1
establish	1
expect:	1
expecting	1
explanation	1
fakesave	1
fast	1
fat	1
fault	1
feels	1
feelsbadman	1
figure	1
figures	1
finessed	1
first)	1
fix->	1
floriman	1
flush	1
fml	1
follow	1
forcefully	1
forces	1
fucking	1
full	1
future	1
g1pn2	1
g23	1
g234	1
g24p34	1
g2gi3	1
g3)	1
g34b4	1
g34i3	1
g3b2	1
g3r2b3	1
g3s	1
g4b3p4	1
g4r4y4b1p2	1
g4y1	1
g5i4	1
gb4	1
generated	1
gentleman's	1
gentleman's-ed	1
gentlemans	1
gi3	1
gi3g4	1
gkmw3	1
gods	1
goodbye	1
gp3	1
gr4	1
greater	1
green/4	1
grey	1
guarantee	1
guaranteed	1
guilt	1
gy4	1
gyb23i3	1
hanab	1
hanabi	1
handle	1
happen)	1
happens	1
harder)	1
hate	1
haven't	1
hell	1
hella	1
helpful	1
helping	1
her	1
hesitation	1
hey	1
high	1
highly	1
hilarious	1
hoped	1
hopin'	1
huh	1
hurt	1
hype	1
i've	1
idendity	1
idiot	1
ignore	1
illegally	1
important	1
indego	1
indicate	1
info	1
initially	1
intended	1
interesting	1
inverts	1
its	1
its'	1
joel	1
k34m3	1
kappa	1
kill	1
know)	1
knowing	1
kt	1
l45	1
lanvin	1
later	1
leads	1
learned	1
leaving	1
left	1
lelouch	1
leting	1
level	1
level)	1
liar	1
life	1
likely)	1
literally	1
lol)	1
long	1
longer	1
love	1
low	1
lucked	1
lying	1
m1	1
m2)	1
m2k3	1
m2t1n2	1
m8	1
mark	1
match	1
matching	1
max	1
meaning	1
meaningless	1
meant	1
mega	1
meh)	1
mentality	1
mercy's	1
miss	1
missed/confused	1
missplays	1
mistake/discard	1
mistakes	1
mn2	1
modulation	1
moment	1
months	1
mothafucka	1
mt	1
mt4	1
murdered	1
must	1
n	1
n)	1
n))	1
n1	1
n2	1
n3	1
n4p5	1
n5	1
needed	1
needsfix	1
negative	1
neither	1
nobody	1
non-hard	1
non-p	1
non-red	1
none	1
nooooo	1
norm	1
normal	1
notice	1
nuts	1
nvm	1
o	1
o1	1
o1)	1
o1l4	1
o2	1
o245l45	1
o3	1
observed	1
obviously)	1
ocm's	1
ocms	1
ol45	1
old	1
om	1
omg	1
omw5	1
ones	1
oof	1
oopb	1
open	1
opposite	1
order	1
ot3	1
own	1
p(b)2	1
p2->	1
p3pg5	1
p4)	1
p45	1
p4]	1
p[f]	1
pablo	1
pang	1
part	1
particularly	1
passed	1
passion	1
payed	1
paying	1
pb	1
pb4	1
pc	1
people	1
pepepe's	1
perspective	1
picked	1
pimak	1
planned	1
player	1
pm1	1
pog	1
pogchamp	1
poor	1
posible	1
positive	1
pp	1
pr3	1
pr4	1
practice)	1
practicing	1
prefered	1
premature	1
press	1
previously	1
principle	1
prio	1
prioritied	1
probable	1
probe	1
prompted	1
prompts	1
protecting	1
proud	1
proves	1
proving	1
pseudo-cm	1
put	1
py	1
quaaack	1
quack	1
quit	1
r))	1
r1)	1
r1g2bp1i2	1
r1y3g34b2(p4	1
r2gb1p2	1
r3's	1
r3->	1
r4m5	1
r[3]	1
ran	1
random	1
rash	1
rather	1
rb	1
rbw4	1
re-evaluate	1
re-iterate	1
read:	1
reads	1
real	1
reason)	1
reasoning	1
reclued	1
recluing	1
refuse	1
relate	1
relevant	1
remains	1
removed	1
replay	1
require	1
required	1
retroactive	1
reverse	1
reversed	1
reversing	1
rg3g4	1
rg5	1
rg5p4	1
rgp	1
ri2	1
risking	1
risky	1
rp4	1
rt4	1
ry1	1
ry5	1
ryb3	1
s	1
s3)	1
sacrifice	1
sacrifices	1
save)	1
saves	1
scared	1
screaming	1
seats	1
section	1
seem	1
seen	1
self)	1
sensors	1
setting	1
she's	1
shocked	1
shouldn't	1
show	1
showed	1
shows	1
sick	1
sicker	1
sigh	1
situation	1
slight	1
slow	1
smell	1
soft	1
solid	1
someone	1
somewhat	1
somewhere	1
speedrun	1
spend	1
spiderman	1
stalling	1
stayed	1
stephen's	1
strike	1
striking	1
strongly	1
succeeded	1
such	1
sufficiently	1
suficient	1
supposedly	1
sure:	1
surely	1
surprise	1
surprised	1
sus	1
sweet	1
t1	1
t1->	1
t345	1
t40	1
t45	1
taking	1
taunting	1
tccm	1
tcm's	1
teammates	1
technically	1
tempo	1
than	1
thanks	1
therefore	1
thinking	1
