Note	Frequency (17025 in total)
f	2260
if	721
cm	586
g2	497
r3	461
b3	459
g3	447
r2	447
b2	414
r4	396
b4	392
y3	385
g4	366
y2	364
y4	290
m2	276
[f]	275
m3	243
p3	243
not	242
b5	239
p2	232
r1	220
p4	218
b1	212
r5	201
g5	194
g1	191
y1	186
y5	165
m4	164
5	161
m1	156
kt	152
m5	151
i2	129
i3	124
p	124
p5	117
i4	114
guess	94
p1	88
probably	79
nope	72
o3	61
i5	60
n2	60
n3	57
thinks	57
k3	55
[cm]	53
i1	52
o2	52
play	50
o4	47
2	46
be	45
k4	45
w2	45
t2	43
fixme	42
k2	42
n5	42
w3	42
a	41
t3	41
t4	40
tccm	40
3	39
n4	37
o1	37
n1	36
sdcm	32
t5	32
x2	32
o5	28
w4	28
could	27
fixed	27
1	26
[ocm]	26
i	26
clue	22
t1	22
4	20
because	20
this	20
[kt]	19
k5	19
maybe	19
or	19
23	18
from	18
[5cm]	17
utfcm	17
5cm	16
on	16
the	16
af	15
pp	15
[fixme]	14
is	14
k1	14
mistake	14
s2	14
u2	14
bad	13
it	13
have	12
hopefully	12
opc	12
pf	12
should	12
w1	12
w5	12
!3	11
[b2]	11
[r3]	11
[tcm]	11
but	11
discard	11
prompt	11
s3	11
stall	11
to	11
u5	11
fix	10
gd	10
kim	10
lpc	10
pulled	10
t8	10
think	10
[gd]	9
after	9
card	9
l4	9
would	9
yellow	9
as	8
chop	8
florrat	8
l3	8
lhs	8
might	8
now	8
ocm	8
of	8
pfp	8
u3	8
!1	7
!4	7
?	7
[g3]	7
[r2]	7
a4	7
bomb	7
can't	7
finesse	7
l2	7
libster	7
pull	7
u1	7
!r	6
[pf]	6
[tccm]	6
[tocm]	6
[y1]	6
[y2]	6
a1	6
blue	6
elim	6
g0	6
kyle	6
like	6
playable	6
potentially	6
save	6
since	6
t13	6
t25	6
t6	6
tcm	6
tempo	6
tim	6
!2	5
[b1]	5
[g4]	5
[i1]	5
[r1]	5
anymore	5
didn't	5
for	5
hf	5
looks	5
lul	5
no	5
ooo	5
s4	5
sure	5
trash	5
u4	5
utbcm	5
utf[cm]	5
was	5
wrong	5
y0	5
!g	4
!y	4
1s	4
[b4]	4
[g2]	4
[p3]	4
[r5]	4
[sdcm]	4
[y4]	4
bluff	4
c2	4
c3	4
c4	4
connected	4
dda	4
doesn't	4
dupe	4
green	4
know	4
l1	4
making	4
mice	4
move	4
oops	4
other	4
played	4
positional	4
possibly	4
s1	4
stale	4
t14	4
t17	4
t7	4
that	4
uutd[cm]	4
x1	4
zam	4
zamiel	4
??	3
[5]	3
[b3]	3
[g1]	3
[i2]	3
[i3]	3
[m1]	3
[m2]	3
[utbcm]	3
[utfcm]	3
[y3]	3
been	3
blocking	3
ef	3
finesse/bluff	3
g	3
its	3
known	3
lanvin	3
mm2	3
moved	3
my	3
omni	3
priority	3
red	3
rz	3
sd	3
slot	3
t10	3
t15	3
t16	3
t23	3
tocm	3
valetta	3
what	3
will	3
with	3
won't	3
yet	3
!n	2
!p	2
(can't	2
(kyle	2
0	2
[1]	2
[b5]	2
[g5]	2
[m3]	2
[o1]	2
[p2]	2
[p5]	2
[u1]	2
a5	2
also	2
and	2
asael	2
b0	2
bf	2
both	2
c1	2
c5	2
can	2
certain	2
color	2
connects	2
context	2
cory	2
dark	2
die	2
discarded	2
don't	2
dont	2
double	2
duped	2
duplication	2
else	2
fireheart	2
floriman	2
good	2
gtb	2
has	2
he	2
idea	2
important	2
ind	2
ipf	2
let	2
m5)	2
matches	2
me	2
meant	2
mel	2
mm3	2
obviously	2
occupied	2
once	2
oop	2
piano	2
pls	2
plus	2
poop	2
promise	2
r0	2
sarcastic	2
self	2
so	2
soft	2
some	2
t12	2
t21	2
t26	2
t40	2
t9	2
use	2
vander	2
we	2
weird	2
you	2
zamiel's	2
!b3	1
!g3	1
!g4	1
!m2	1
!w3	1
#11	1
#31	1
&	1
(??)	1
(not	1
(once	1
+	1
1+3+1	1
1[cm]	1
1y	1
2)	1
3/4	1
45	1
4db	1
5ce	1
7	1
8	1
@	1
[b2	1
[bad]	1
[chop	1
[g0]	1
[k3]	1
[k4]	1
[l1]	1
[m4]	1
[m5]	1
[n4]	1
[o2]	1
