Note	Frequency (659 in total)
[f]	167
5	53
[cm]	43
3	35
kt	32
2	30
4	25
1	19
b	13
g	12
23	10
r	9
y	9
i	8
r3	6
g3	5
[f]?	4
b2	4
i3	4
k	4
m2	4
r2	4
w	4
34	3
[y1p2]	3
g1	3
g2	3
i1	3
i2	3
not	3
p2	3
r1	3
!2	2
25	2
35	2
???	2
b3	2
b3>	2
b4	2
b5	2
g3>	2
g4	2
g5	2
i4	2
i5	2
m	2
m3	2
m3>	2
no	2
off	2
r3>	2
r4	2
r4>	2
shoulda	2
why	2
y2	2
y2>	2
!r	1
!y2	1
...	1
12	1
125	1
2(4?)	1
234	1
4(2?)	1
5i	1
?	1
???????????	1
[!2]	1
[3]4?	1
[4]	1
[b]	1
[bp]x	1
[cm]ed?	1
[i2][4]	1
[y]	1
and	1
b2>	1
b4>	1
bi	1
bi3	1
clue	1
clued	1
exactly	1
fill-in?	1
fix	1
fixed	1
from	1
g23	1
g3r2	1
g4>	1
g5>	1
gb	1
gmi	1
gy	1
hm	1
i1m2	1
if	1
k1	1
kek	1
lhs	1
looks	1
lpc	1
m2r5	1
maybe	1
mb	1
n5	1
nocm	1
now	1
p	1
phantom	1
prio	1
r1m3	1
r2>	1
r5	1
ri2	1
rm23	1
ry	1
shouldn't	1
stall	1
t10	1
t12	1
t12:	1
t21:	1
t22	1
tccm	1
thinks	1
this	1
touch	1
w2	1
w3	1
was	1
when	1
y3>	1
y4>	1
