Note	Frequency (135700 in total)
f	12452
kt	3542
[f]	2299
cm	2271
this	2022
i	1888
not	1702
--->	1495
a	1341
en	1303
lol	1274
maybe	1187
r3	1123
4	1110
r2	1082
b3	1070
5	1068
3	1053
now	1046
r4	1038
g3	1014
known	990
b2	989
fix	987
is	949
b4	946
2	940
-->	933
g2	914
be	907
g4	900
no	833
guess	781
y4	718
y2	717
y3	714
1	702
to	684
or	678
ok	655
just	637
if	635
gd	617
tcm	611
was	588
r5	581
oh	577
as	559
r1	542
probably	521
b1	510
it	504
prio	504
g1	496
b5	491
g5	470
have	468
m3	467
i3	463
m2	461
hopefully	456
m4	447
might	440
play	440
save	436
i4	430
i2	428
ocm	420
prob	420
the	412
[cm]	410
scream	409
after	402
b	386
g	386
r	383
---->	379
p3	376
y5	376
fixme	375
likely	372
y1	370
from	368
nvm	354
should	353
p2	349
p4	346
trash	331
could	317
i5	317
imo	316
y	314
m5	301
d:	300
nocm	291
think	290
like	289
that	283
rip	280
so	280
fixed	277
[fix]	272
m1	268
for	266
5cm	265
but	259
bomb	252
clue	249
bluff	243
very	235
assume	233
right	229
i'm	228
[tcm]	227
he	227
here	224
on	223
of	218
must	215
5pp	212
i1	207
p1	200
p5	188
huh	183
playable	183
o2	182
then	180
o3	179
:p	175
missed	175
me	174
discard	173
w3	172
still	169
looks	168
spook	168
k2	167
well	166
why	166
red	165
+	163
n3	163
thinks	163
marked	162
[5cm]	159
n2	159
really	159
w4	158
would	157
n1	156
5ce	152
stall	152
plays	151
o4	150
w2	149
wait	149
t1	146
t2	145
k3	144
we	144
hmm	143
n5	143
something	143
t3	142
what	142
and	140
piper	140
:o	139
way	139
w	138
can	137
t4	134
any	133
k4	133
spooked	133
prompt	132
sn	132
my	130
t5	130
m	129
//	128
34	128
o5	128
tccm	128
positional	127
see	127
doesn't	125
ambig	123
safe	123
in	122
u2	122
marks	121
exactly	120
n4	120
finesse	118
prompted	118
blue	117
actually	115
sure	114
though	113
p	112
green	111
heck	110
?	109
i'll	109
gunna	108
can't	107
u4	106
by	105
u5	105
stale	104
45	103
at	103
lpc	103
t9	100
do	99
don't	99
bad	98
did	98
u3	98
2pp	95
seems	95
uh	95
[ocm]	94
cm'd	94
t13	94
k	93
it's	92
presumably	92
an	91
t18	91
t6	90
t_t	90
been	89
[kt]	87
read	87
nice	86
w5	86
t7	85
t8	85
t11	84
utd	84
double	83
one	83
u1	83
t16	82
23	81
ens	81
k5	81
yellow	81
o1	80
t14	80
kimbi	79
t10	79
t12	79
t15	79
t19	79
unclear	79
t30	78
unless	78
all	77
we're	77
will	77
shout	76
dda	75
t20	75
t21	75
ptd	74
off	73
oof	71
t17	71
tempo	71
weird	71
:/	70
good	70
need	70
some	70
af	69
blocking	69
lhs	69
t23	69
t28	69
:(	68
work	68
hmmm	67
k1	67
yikes	67
too	66
trust	65
meh	64
o7	64
t25	64
declined	63
about	62
played	62
knows	61
promised	61
t22	61
:s	60
are	60
does	60
makes	60
t35	60
>.<	59
mark	59
we'll	59
[fixed]	58
even	58
playing	58
slot	58
t29	58
bombs	57
t26	57
up	57
either	56
get	56
has	56
hoping	56
w/	56
yay	56
!1	55
didn't	55
least	55
push	55
w1	55
a3	54
hope	54
how	54
t24	54
hesitation	53
----->	52
going	52
got	52
isn't	52
know	52
t27	52
t31	52
t32	52
wasn't	52
bluffed	51
look	51
pretty	51
dupe	50
fuck	50
rb	50
supposed	50
touch	50
3pp	49
chance	49
layered	49
more	49
omg	49
out	49
yolo	49
also	48
lolol	48
with	48
god	47
pink	47
t33	47
a4	46
crap	46
gb	46
uhh	46
woops	46
!r	45
??	45
[gd]	45
a2	45
adrone	45
because	45
oop	45
she	45
works	45
assumes	44
card	44
sense	44
thought	44
1s	43
again	43
since	43
suspect	43
bleh	42
clued	42
ejection	42
idea	42
important	42
plz	42
sorry	42
eh	41
g23	41
please	41
t36	41
[g2]	40
assumed	40
chop	40
k34	40
!b	39
345	39
5s	39
@_@	39
[tccm]	39
better	39
dumb	39
go	39
gotta	39
o	39
yb	39
!y	38
back	38
color	38
definitely	38
feel	38
feels	38
needs	38
yg	38
!g	37
(no	37
4pp	37
had	37
hand	37
wtf	37
100%	36
am	36
def	36
r23	36
t37	36
t38	36
t39	36
uhhh	36
5]	35
bc	35
being	35
ix	35
make	35
t40	35
technically	35
time	35
v	35
worth	35
!5	34
[r2]	34
another	34
b23	34
enough	34
first	34
t42	34
there	34
these	34
w/e	34
wonder	34
y34	34
[b3]	33
believe	33
else	33
game	33
gl	33
rg	33
self	33
super	33
yep	33
234	32
[5]	32
b45	32
echo	32
ooh	32
u5]	32
[r3]	31
anything	31
anyway	31
blaze	31
notes	31
ooo	31
pull	31
t34	31
yeah	31
both	30
darn	30
delayed	30
hmmmm	30
multi	30
n25	30
purple	30
r34	30
there's	30
wat	30
25	29
[b1]	29
attempted	29
focus	29
fwiw	29
happening	29
shouldn't	29
soon	29
sort	29
woah	29
[4]	28
clues	28
discarding	28
let	28
lmao	28
nope	28
potential	28
t45	28
that's	28
ugh	28
woulda	28
:'(	27
<3	27
[r1]	27
bet	27
bm1	27
doubt	27
hf	27
hint	27
l4	27
opc	27
shoot	27
y23	27
[3]	26
finessed	26
g34	26
gm1	26
l2	26
m23	26
m25	26
rce	26
ry	26
somewhere	26
unlikely	26
unnecessary	26
!2	25
(or	25
[2]	25
black	25
certainly	25
critical	25
hard	25
i've	25
maaaybe	25
only	25
r45	25
reverse	25
rm1	25
t41	25
won't	25
yr	25
0%	24
35	24
<--	24
[g3]	24
fine	24
gr	24
nothing	24
shadow	24
white	24
[3	23
[r4]	23
[u3	23
\\o/	23
assuming	23
c2	23
doing	23
dunno	23
dupes	23
g45	23
generation	23
l3	23
lord	23
m45	23
mistake	23
risky	23
rp	23
unsure	23
want	23
x	23
90%	22
[b2]	22
[y2]	22
[y3]	22
a1	22
already	22
burn	22
dangerous	22
draw	22
getting	22
into	22
needed	22
other	22
sd	22
t	22
t44	22
4]	21
5ish	21
b34	21
charm	21
choice	21
cm'd?	21
confused	21
desynced	21
everything	21
kinda	21
m34	21
risk	21
t46	21
worked	21
y45	21
:d	20
<---	20
[b4]	20
almost	20
confirmed	20
delay	20
eject	20
gp	20
he's	20
here's	20
hm	20
jeez	20
