Note	Frequency (23400 in total)
f	3584
[f]	1291
cm	887
is	594
i	502
this	444
[cm]	367
not	310
->	283
elim	257
it	247
clue	195
to	194
a	169
save	140
you	135
have	133
or	132
should	131
be	124
why	118
sin	117
t9:	117
play	115
t6:	110
think	109
b3	106
5	105
t15:	105
don't	102
t11:	101
t3:	100
t12:	99
t8:	99
r4	97
t4:	96
t5:	96
as	95
the	94
b4	93
if	93
r3	92
t7:	92
t10:	89
g3	87
g4	87
t16:	86
3	85
t14:	85
but	83
t19:	82
t13:	81
g2	79
t2:	79
t20:	78
lul	77
y3	73
no	72
t17:	72
can	71
t25:	71
4	70
t23:	70
unclued	69
t26:	68
r2	66
like	65
right	65
t22:	64
so	61
t21:	61
y2	61
do	60
g5	60
has	59
probably	59
y4	59
1	58
b2	58
discard	58
know	58
t18:	57
will	56
2	55
finesse	55
of	55
t29:	54
i4	52
kekw	52
looks	52
t27:	52
that	50
chop	49
t28:	49
t30:	49
b5	47
t24:	47
:(	46
and	46
kt	46
t34:	45
p3	44
5-stall	43
i3	43
just	43
trust	43
here	42
r5	42
:p	41
i2	41
marked	40
my	40
p2	40
t33:	40
:d	39
one	39
what	39
bad	38
bluff	38
m3	38
for	37
t31:	37
y5	37
blue	36
g1	36
guess	36
p4	36
t37:	36
r1	35
want	35
card	34
dda	34
m4	34
are	33
on	33
that's	33
trash	33
am	32
bomb	32
doesn't	32
fix	32
t32:	32
can't	31
i5	31
in	31
played	31
b1	30
red	30
sure	30
cmed	29
known	29
me	29
t36:	29
t35:	28
get	27
mistake	27
oh	27
playable	27
with	27
?	26
hope	26
m2	26
good	25
important	25
maybe	25
now	25
green	24
o3	24
please	24
t40:	24
t42:	24
y1	24
->?	23
o4	23
sadge	23
see	23
t38:	23
thinks	23
yellow	23
else	22
indego	22
let	22
likely	22
sorry	22
t39:	22
double	21
instead	21
level	21
m5	21
w3	21
better	20
didn't	20
he	20
off	20
okay	20
time	20
give	19
hmm	19
i1	19
lel0uch	19
p1	19
pink	19
some	19
stall	19
t41:	19
very	19
when	19
:d?	18
at	18
how	18
missed	18
n4	18
p5	18
t44:	18
thanks	18
was	18
hand	17
huh	17
n3	17
t46:	17
them	17
again	16
does	16
fey	16
m1	16
o2	16
t47:	16
then	16
we	16
wrong	16
bombed	15
by	15
cards	15
knows	15
might	15
more	15
n2	15
nope	15
said	15
color	14
em	14
lanvin	14
n5	14
need	14
only	14
since	14
t4	14
there	14
w4	14
5-pull	13
always	13
amb	13
either	13
first	13
k2	13
let's	13
lhs	13
lpc	13
oops	13
opc	13
playing	13
reason	13
still	13
t45:	13
w2	13
5cm	12
abi	12
all	12
also	12
another	12
because	12
clued	12
draw	12
k3	12
lel	12
move	12
n1	12
wait	12
weird	12
b23	11
both	11
certain	11
cluing	11
dani	11
hm	11
k34	11
mark	11
purple	11
rank	11
respect	11
rip	11
scream	11
t3	11
thinking	11
unless	11
1s	10
assume	10
did	10
hmmm	10
info-filling	10
moved	10
nice	10
t43:	10
team	10
tempo	10
turn	10
welp	10
yes	10
5ce	9
derek	9
everyone	9
exactly	9
fixme	9
from	9
isn't	9
o5	9
out	9
pretty	9
prompt	9
read	9
sin's	9
touch	9
choice	8
k4	8
kappa	8
mb	8
multi	8
order	8
pp5	8
priority	8
question:	8
really	8
seph	8
t48:	8
t50:	8
t51:	8
tell	8
u3	8
use	8
utd	8
which	8
2s	7
8-clue	7
:(?	7
asaelr	7
blind	7
could	7
discarding	7
dup	7
earlier	7
even	7
fake	7
focus	7
forgot	7
help	7
idea	7
kakashi	7
kill	7
many	7
match	7
never	7
ok	7
other	7
prio	7
seems	7
t49:	7
too	7
touched	7
w5	7
work	7
your	7
#1	6
3/4	6
4db	6
anymore	6
believe	6
blocking	6
btw	6
clues	6
dare	6
ejection	6
fill-in	6
hopefully	6
g34	6
inb4	6
interesting	6
jack	6
kyle	6
lh	6
m23	6
made	6
melwen	6
n25	6
o1	6
oop	6
pass	6
paula	6
possible	6
start	6
suspect	6
t52:	6
technically	6
tempted	6
treat	6
try	6
trying	6
using	6
works	6
worst	6
ya	6
5-save	5
5s	5
[1]	5
a2	5
any	5
care	5
choose	5
context	5
contextually	5
convention	5
count	5
cry	5
depends	5
discharge	5
doing	5
exception	5
frosty	5
g45	5
game	5
hard	5
higher	5
i34	5
illegal	5
killing	5
kinda	5
locked	5
look	5
make	5
mean	5
much	5
must	5
promised	5
protect	5
push	5
question	5
r3/r4	5
random	5
shadow	5
she	5
someone	5
something	5
stale	5
sus	5
t2	5
true	5
u2	5
whatever	5
#3	4
(cry)	4
3-bluff	4
3s	4
4s	4
<3	4
actually	4
after	4
amy	4
best	4
brave	4
case	4
cat	4
crit	4
discarded	4
due	4
easy	4
enough	4
exist	4
fill	4
fine	4
generation	4
getting	4
given	4
gm5	4
going	4
his	4
holding	4
into	4
jeff	4
k234	4
killed	4
least	4
lock	4
lotem	4
lvl	4
mango	4
next	4
ocm	4
omni	4
oru	4
over	4
p23	4
plays	4
plz	4
potential	4
prism	4
pull	4
r23	4
r34	4
rachy	4
real	4
realize	4
ride	4
risk	4
say	4
self	4
setup	4
slot	4
stop	4
t1:	4
t54:	4
t56:	4
target	4
tho	4
thought	4
touching	4
troll	4
unlikely	4
w1	4
without	4
won't	4
