Note	Frequency (16004 in total)
f	4702
[f]	662
cm	643
5	448
kt	379
3	376
4	366
2	333
r	183
g	179
[cm]	178
1	163
b	160
why	121
y	119
r2	106
g3	105
not	102
i	101
23	96
b3	96
b2	94
this	92
g2	91
clue	83
i3	81
r3	81
i2	77
no	76
y2	73
should	72
g4	67
b4	66
r4	65
is	64
m2	64
34	62
?	59
p	59
play	59
y3	59
b1	55
p3	52
i4	49
m	49
m3	49
w	46
g1	45
m4	44
r1	43
a	42
be	42
fix	42
m1	41
i5	39
45	38
here	38
p2	38
y4	38
looks	37
it	36
r5	35
or	33
from	32
how	32
wtf	32
m5	30
as	28
stall	28
what	28
after	27
thinks	27
y1	27
lpc	26
n2	26
n3	26
prio	26
save	26
will	26
b5	25
shoulda	25
g5	24
knows	24
p4	24
y5	24
you	24
:/	23
i1	23
w3	23
discard	22
wut	20
[cm]?	19
bluff	19
b5>	18
bomb	18
but	18
if	18
lhs	18
n4	18
prolly	18
25	17
just	17
known	17
hm	16
know	16
missed	16
n1	16
off	16
retarded	16
345	15
dafuq	15
g4>	15
->	14
do	14
g2>	14
i3>	14
k	14
my	14
o3	14
opc	14
p1	14
p5	14
r4>	14
rip	14
was	14
y5>	14
...	13
234	13
finesse	13
for	13
have	13
i2>	13
me	13
played	13
w2	13
!b	12
24	12
and	12
are	12
did	12
i4>	12
kekw	12
now	12
on	12
red	12
the	12
:d	11
clued	11
n5	11
o2	11
r5>	11
to	11
trash	11
!1	10
!2	10
!r	10
12	10
[3]	10
because	10
dda	10
fixed	10
g3>	10
g5>	10
n2>	10
p4>	10
r1>	10
rg	10
touch	10
y2>	10
y3>	10
>	9
[f]?	9
by	9
can	9
doesn't	9
k3	9
m5>	9
mb	9
nice	9
o4	9
r2>	9
t20:	9
wth	9
!y	8
35	8
b2>	8
b3>	8
important	8
in	8
may	8
oops	8
ry	8
w2>	8
w4	8
???	7
[4]	7
[kt]	7
already	7
b4>	7
bad	7
bg	7
blue	7
choice	7
d:	7
gb	7
green	7
i'm	7
i5>	7
m4>	7
pf	7
rank	7
stomp	7
utd	7
w1	7
wrong	7
🤡	7
!g	6
!r4	6
[2]	6
[5]	6
a1	6
could	6
don't	6
hesitation	6
n5>	6
need	6
of	6
ok	6
positional	6
prompt	6
r3>	6
t17:	6
t21:	6
t3:	6
t7:	6
tccm	6
when	6
with	6
100%	5
5ce	5
5pp	5
8cs	5
:	5
>_<	5
ambig	5
clues	5
didn't	5
discarded	5
ejection	5
failfish	5
fixme	5
get	5
gp	5
gw	5
hope	5
huh	5
illegal	5
k4	5
k5	5
kidding	5
like	5
likely	5
look	5
must	5
o1	5
playing	5
plays	5
rb	5
rgb	5
shit	5
should've	5
smth	5
so	5
suspect	5
t13:	5
t9:	5
won't	5
work	5
would	5
y4>	5
yep	5
!p	4
125	4
1s	4
????	4
????????	4
a2	4
about	4
af	4
am	4
anymore	4
attempt	4
b1>	4
b2345	4
bi	4
bm2	4
bw	4
card	4
chop	4
cloo	4
double	4
game	4
gd	4
give	4
k1	4
kek	4
l2	4
lmao	4
lol	4
m23	4
much	4
nocm	4
o	4
o5	4
p5>	4
pb	4
pink	4
promised	4
really>	4
redistributed	4
rp	4
saev	4
scream	4
stale	4
t10:	4
t26:	4
t27:	4
t4:	4
tempo	4
tocm	4
tt	4
u2	4
u3	4
w3>	4
wait	4
yellow	4
!3	3
!5	3
!m	3
15	3
235	3
245	3
2pp	3
2y3s>	3
5/i	3
8	3
[1]	3
[g4]	3
a5>	3
ah	3
an	3
b2m3	3
bc	3
bleuf	3
blocking	3
bm5	3
cards	3
declined	3
delayed	3
e	3
ed	3
ehm	3
elim	3
even	3
fuck	3
fucking	3
g23	3
g34	3
gi	3
gotten	3
gy	3
instead	3
k2	3
k2>	3
k4>	3
l1	3
l3	3
markus	3
n23	3
necessary	3
needs	3
oop	3
passbluff	3
patch	3
playable	3
plz	3
promise	3
pull	3
