Players	# with purples
Kyle	2651
Fireheart	2114
micerang	2114
IAMJEFF	1949
kimbifille	1933
Floriman	1727
Valetta6789	1712
asaelr	1696
melwen	1618
sjdrodge	1333
TimeHoodie	1204
pianoblook	1082
Livia	1051
Jake_Stiles	953
sephiroth	848
padi	795
Asddsa76	762
sin_faith	755
will.i.am	697
kopen	682
qqqq	657
TheDaniMan	607
Sucubis	594
piper	543
timotree	538
Lel0uch	526
derekcheah	486
invarse	478
indego	469
Pablo-	449
newduke	400
Lanvin	394
swineherd	386
Fey	377
Nitrate2	376
MarkusKahlsen	331
Bonja97	329
MasN	325
wortel	324
duckmammal	301
Wittvector	291
avanderwalde	253
ADrone	252
Zakisan	252
ChristopheAF	246
jeff10	242
jack67889	241
rz	220
hakha3	178
dobi	174
MangoPie	156
Animex52	109
rachyrules	103
Nitrate	94
rkass	92
HelanaAshryvr	91
VerySloppyTwo	90
cockdestroyer	89
wump	87
orucsoraihc	85
Smandon	79
catula	76
Div	75
Pimak	68
katian	64
bjnh	63
ksfortson	57
colton	56
IsabeltheCat	53
StKildaFan	53
duckless	48
rs1	48
vEnhance	46
possum	39
Spieler42	38
antitelharsic	36
anser	35
Denchulitas	33
duckington	32
squirrel1988	31
nitawa	29
nkkarpov	29
Syrah	28
CaitlinSmith	26
eliclax	22
methmatics	18
Bot-Fiora	17
DarthGandalf	17
emilyzhao	17
Kernel	17
willwin4sure	17
Aluap	15
Daryl	14
wolfpack	13
Cynas	11
duckmedic	10
corys	7
HariKrishnan	7
boba	6
MathNoob	6
aquarelle	5
BlueNovember	5
fishcat	5
skyblueexo	5
Durandal	4
qwertyelmer	4
Damian000	3
dj.narayanan	2
FerKeth	2
Anax	0
dmigor3	0
