Username	Rank	Seek	Avoid
Valetta6789	42	kimbifille (46%), asaelr (40%), micerang (39%), Floriman (32%), Lanvin (32%)	IAMJEFF (24%), Jake_Stiles (22%), Dr_Kakashi (19%), kopen (16%), Zamiel (13%)
TimeHoodie	36	frosty104 (35%), asaelr (33%), Pablo- (32%), Nitrate2 (29%), MarkusKahlsen (29%)	indego (15%), ChristopheAF (15%), kooolant (14%), newduke (13%), will.i.am (12%)
micerang	31	jmrtz (77%), open (41%), paulcd2000 (40%), kopen (40%), Valetta6789 (39%)	Fireheart (23%), Jake_Stiles (22%), DMoney (22%), Razvogor (18%), Zamiel (18%)
asaelr	30	Valetta6789 (40%), Fey (38%), micerang (35%), Pablo- (34%), TimeHoodie (33%)	Livia (19%), sephiroth (17%), Lanvin (17%), DMoney (16%), Zamiel (14%)
MarkusKahlsen	29	Fey (47%), plus (47%), rachyrules (37%), melwen (34%), Pablo- (32%)	robense (19%), sephiroth (18%), Wittvector (17%), inde (14%), indego (13%)
Pablo-	28	Nitrate (42%), Nitrate2 (41%), jack67889 (36%), asaelr (34%), TimeHoodie (32%)	TheDaniMan (21%), antitelharsic (20%), joelwool (17%), Bonja97 (17%), Lanvin (12%)
Fey	26	MarkusKahlsen (47%), sin_faith (40%), asaelr (38%), sephiroth (38%), Sucubis (37%)	Hoodie (27%), TheDaniMan (26%), derekcheah (26%), Lel0uch (24%), kimbifille (23%)
frosty104	16		
Hoodie	16		
jack67889	15	Pablo- (36%), Nitrate2 (34%), Nitrate (33%), nitawa (33%), Lel0uch (25%)	Wittvector (21%), frosty104 (21%), Lanvin (20%), TimeHoodie (19%), Hoodie (18%)
piper	15	kimbifille (40%), derekcheah (39%), pianoblook (36%)	bcannon (34%), ADrone (33%), Dr_Kakashi (23%)
Nitrate	14		BlueNovember (21%)
Nitrate2	14	Pablo- (41%), jack67889 (34%), cockdestroyer (30%), TimeHoodie (29%), Nitrate (27%)	nitawa (26%), scharkbite (26%), sephiroth (25%), melwen (24%), XMIL (11%)
rz	9	wump (30%), ChristopheAF (24%), Wittvector (23%)	Lanvin (17%), melwen (16%), indego (10%)
Zakisan	9	TheDaniMan (36%)	derekcheah (29%), sephiroth (23%)
Floriman	8	micerang (32%), Valetta6789 (32%), asaelr (31%), scharkbite (27%), TimeHoodie (27%)	indego (18%), DMoney (17%), pianoblook (17%), Zamiel (17%), lotem (15%)
sjdrodge	8	CptAggro (63%), fuckthiswebsite (42%), wjomlex (41%), paulcd2000 (36%), Libster (33%)	Asddsa76 (26%), forgotmyacct (24%), Kakashi (20%), Andrew_UK (20%), Zamiel (20%)
