bob	ratio	misplays	games
nitawa	0.09	71	786
Bot-Fiora	0.08	11	134
Kyle	0.06	571	9096
Fireheart	0.06	406	7238
pianoblook	0.06	378	5881
Lanvin	0.06	348	6144
sjdrodge	0.06	133	2390
RaKXeR	0.06	121	2129
VerySloppyTwo	0.06	102	1809
ADrone	0.06	70	1142
eliclax	0.06	26	468
Dr_Kakashi	0.05	473	9014
Zamiel	0.05	460	9664
scharkbite	0.05	439	9239
kimbifille	0.05	393	7244
melwen	0.05	337	6586
IAMJEFF	0.05	296	5887
Valetta6789	0.05	264	4958
Lel0uch	0.05	255	5484
indego	0.05	229	4445
florrat2	0.05	135	2787
Pablo-	0.05	105	2303
timotree	0.05	86	1797
padi	0.05	52	1053
Floriman	0.04	287	6438
asaelr	0.04	280	6309
micerang	0.04	225	5460
Libster	0.04	168	4256
sin_faith	0.04	116	2670
MarkusKahlsen	0.04	80	2005
piper	0.03	86	3001
Nitrate	0.03	5	143
