player	ratio	misplays	games
pianoblook	0.53	2579	4890
timotree	0.53	1830	3431
ADrone	0.53	1160	2208
Lanvin	0.52	5553	10587
nitawa	0.51	1324	2578
Lel0uch	0.5	5614	11304
VerySloppyTwo	0.5	1610	3224
Kyle	0.49	3753	7707
indego	0.48	3944	8278
kimbifille	0.48	3777	7815
IAMJEFF	0.48	3474	7244
Nitrate	0.46	526	1148
Fireheart	0.45	3942	8786
Bot-Fiora	0.45	360	795
rinka	0.45	114	251
Dr_Kakashi	0.44	4418	10004
sin_faith	0.43	1207	2777
Zamiel	0.42	3807	8969
Valetta6789	0.42	2545	6030
melwen	0.41	4248	10395
Pablo-	0.4	1570	3971
RaKXeR	0.4	786	1971
scharkbite	0.39	2916	7482
eliclax	0.38	443	1165
padi	0.38	441	1175
Floriman	0.37	1470	4019
Libster	0.37	1411	3836
MarkusKahlsen	0.36	1274	3509
florrat2	0.35	849	2414
asaelr	0.34	2091	6071
sjdrodge	0.32	1638	5048
micerang	0.31	1360	4393
piper	0.31	858	2724
