player	ratio	misplays	games
Kyle	0.45	2732	6082
pianoblook	0.45	1706	3818
Bot-Fiora	0.45	355	786
rinka	0.44	104	237
Lanvin	0.42	2794	6632
nitawa	0.41	528	1280
Zamiel	0.4	2745	6942
kimbifille	0.4	1624	4022
sin_faith	0.4	1037	2567
ADrone	0.4	463	1165
Nitrate	0.39	389	990
indego	0.38	1507	3998
RaKXeR	0.38	661	1757
Dr_Kakashi	0.37	1990	5437
VerySloppyTwo	0.37	595	1588
timotree	0.36	731	2034
scharkbite	0.35	2245	6481
Lel0uch	0.35	1756	4997
Fireheart	0.35	1415	4011
IAMJEFF	0.35	1133	3224
padi	0.35	372	1062
eliclax	0.35	342	970
melwen	0.34	2495	7333
Floriman	0.34	1270	3708
Libster	0.33	1087	3309
Valetta6789	0.32	855	2679
asaelr	0.31	1490	4860
sjdrodge	0.31	1380	4452
Pablo-	0.31	823	2619
florrat2	0.31	627	2024
micerang	0.3	1160	3890
MarkusKahlsen	0.3	799	2655
piper	0.23	444	1948
