clue_giver	player	ratio	misplays	games
padi	melwen	0.15	14	93
indego	Bot-Fiora	0.15	8	52
sin_faith	IAMJEFF	0.13	7	55
indego	pianoblook	0.12	13	107
pianoblook	Lanvin	0.11	11	101
Lel0uch	sjdrodge	0.11	8	76
ADrone	scharkbite	0.11	6	55
Pablo-	nitawa	0.1	55	544
melwen	sin_faith	0.1	13	133
Valetta6789	RaKXeR	0.1	12	124
nitawa	Lanvin	0.1	10	99
sin_faith	timotree	0.1	5	51
timotree	asaelr	0.1	5	51
kimbifille	pianoblook	0.09	116	1299
Zamiel	Kyle	0.09	75	831
padi	scharkbite	0.09	16	169
kimbifille	sjdrodge	0.09	15	173
pianoblook	IAMJEFF	0.09	12	130
indego	Kyle	0.09	11	122
piper	IAMJEFF	0.09	9	101
asaelr	indego	0.09	8	86
indego	asaelr	0.09	8	86
melwen	padi	0.09	8	93
timotree	Lanvin	0.09	8	89
indego	kimbifille	0.09	7	76
kimbifille	indego	0.09	7	76
ADrone	Zamiel	0.09	6	68
Lanvin	Dr_Kakashi	0.09	6	69
indego	timotree	0.09	6	68
eliclax	nitawa	0.09	5	55
nitawa	eliclax	0.09	5	55
piper	kimbifille	0.08	81	1021
scharkbite	melwen	0.08	76	911
Dr_Kakashi	Kyle	0.08	56	707
scharkbite	Fireheart	0.08	52	644
VerySloppyTwo	Lanvin	0.08	51	674
ADrone	pianoblook	0.08	47	554
pianoblook	ADrone	0.08	44	554
kimbifille	Kyle	0.08	34	405
IAMJEFF	Kyle	0.08	29	356
scharkbite	timotree	0.08	16	190
Dr_Kakashi	indego	0.08	14	182
scharkbite	padi	0.08	13	169
IAMJEFF	Lanvin	0.08	11	133
Kyle	MarkusKahlsen	0.08	11	130
RaKXeR	Fireheart	0.08	11	143
padi	Dr_Kakashi	0.08	11	139
RaKXeR	Floriman	0.08	10	131
Lel0uch	pianoblook	0.08	9	113
Libster	Floriman	0.08	9	113
Libster	Valetta6789	0.08	9	114
scharkbite	sin_faith	0.08	9	115
Lel0uch	scharkbite	0.08	8	104
Pablo-	sin_faith	0.08	8	101
IAMJEFF	sjdrodge	0.08	7	87
Pablo-	timotree	0.08	7	92
scharkbite	piper	0.08	6	79
Fireheart	sjdrodge	0.08	5	62
scharkbite	MarkusKahlsen	0.08	5	66
piper	pianoblook	0.07	90	1229
IAMJEFF	Fireheart	0.07	70	1005
melwen	scharkbite	0.07	67	911
scharkbite	Kyle	0.07	59	888
IAMJEFF	Dr_Kakashi	0.07	57	780
Dr_Kakashi	IAMJEFF	0.07	55	780
Dr_Kakashi	Fireheart	0.07	40	559
Dr_Kakashi	Valetta6789	0.07	38	554
Fireheart	Dr_Kakashi	0.07	37	559
IAMJEFF	Valetta6789	0.07	37	555
MarkusKahlsen	Lanvin	0.07	32	434
melwen	Kyle	0.07	30	435
sin_faith	Lel0uch	0.07	28	385
Libster	sjdrodge	0.07	23	318
sjdrodge	Libster	0.07	23	318
RaKXeR	Zamiel	0.07	22	299
florrat2	RaKXeR	0.07	22	305
Zamiel	sjdrodge	0.07	21	289
timotree	melwen	0.07	19	265
sin_faith	Kyle	0.07	18	274
IAMJEFF	Floriman	0.07	17	235
MarkusKahlsen	Lel0uch	0.07	17	261
Zamiel	melwen	0.07	17	229
scharkbite	pianoblook	0.07	16	228
pianoblook	scharkbite	0.07	15	228
Libster	Kyle	0.07	13	192
asaelr	melwen	0.07	12	163
sjdrodge	kimbifille	0.07	12	173
ADrone	kimbifille	0.07	10	152
indego	Zamiel	0.07	10	151
scharkbite	Lanvin	0.07	10	147
Lel0uch	Kyle	0.07	9	134
pianoblook	sjdrodge	0.07	9	136
Lel0uch	Zamiel	0.07	8	115
MarkusKahlsen	VerySloppyTwo	0.07	8	116
asaelr	padi	0.07	8	121
kimbifille	micerang	0.07	8	109
Lanvin	nitawa	0.07	7	99
asaelr	pianoblook	0.07	7	101
Bot-Fiora	Lanvin	0.07	6	82
Nitrate	Lanvin	0.07	6	87
Valetta6789	Lanvin	0.07	6	91
timotree	Pablo-	0.07	6	92
pianoblook	kimbifille	0.06	79	1299
indego	Lel0uch	0.06	71	1216
scharkbite	Zamiel	0.06	71	1274
kimbifille	Dr_Kakashi	0.06	66	1148
Dr_Kakashi	kimbifille	0.06	65	1148
Valetta6789	Fireheart	0.06	58	1049
Lanvin	indego	0.06	51	823
Zamiel	florrat2	0.06	50	871
indego	Lanvin	0.06	49	823
Fireheart	Kyle	0.06	45	724
Dr_Kakashi	micerang	0.06	38	683
Lanvin	VerySloppyTwo	0.06	38	674
asaelr	Fireheart	0.06	35	614
scharkbite	Dr_Kakashi	0.06	35	571
nitawa	Pablo-	0.06	33	544
Floriman	kimbifille	0.06	32	550
kimbifille	Floriman	0.06	31	550
Libster	RaKXeR	0.06	30	466
asaelr	scharkbite	0.06	30	534
Dr_Kakashi	Zamiel	0.06	25	427
Fireheart	Floriman	0.06	25	442
Kyle	Valetta6789	0.06	25	395
Valetta6789	Kyle	0.06	22	395
asaelr	Zamiel	0.06	22	395
IAMJEFF	kimbifille	0.06	21	374
Dr_Kakashi	RaKXeR	0.06	18	311
