player	discards_ratio	discards_count	total_games
Nitrate	2.24	2542	1135
rinka	2.21	516	234
MarkusKahlsen	2.14	6546	3066
timotree	2.11	4494	2130
Valetta6789	2.02	5497	2723
florrat2	1.98	3858	1944
eliclax	1.92	2290	1190
melwen	1.92	14646	7625
padi	1.86	1971	1060
Pablo-	1.84	4996	2709
ADrone	1.83	2194	1196
nitawa	1.82	2530	1388
RaKXeR	1.81	3219	1780
piper	1.79	3814	2133
scharkbite	1.79	11688	6514
kimbifille	1.75	8143	4647
pianoblook	1.73	7192	4168
micerang	1.71	7030	4103
asaelr	1.7	8719	5143
Lanvin	1.7	14228	8348
Lel0uch	1.69	8985	5307
Libster	1.67	5321	3178
Fireheart	1.66	6913	4155
Floriman	1.63	6224	3815
Bot-Fiora	1.61	1723	1070
indego	1.57	6473	4132
Kyle	1.57	10256	6538
Zamiel	1.57	10861	6936
sjdrodge	1.53	6785	4434
VerySloppyTwo	1.46	2342	1608
sin_faith	1.45	3838	2645
IAMJEFF	1.44	4686	3263
Dr_Kakashi	1.38	7543	5450
