player	misplays_ratio	misplays_count	total_games
pianoblook	0.45	1871	4168
Bot-Fiora	0.44	469	1070
Kyle	0.44	2899	6538
rinka	0.44	104	234
Lanvin	0.42	3510	8348
kimbifille	0.41	1889	4647
sin_faith	0.41	1075	2645
ADrone	0.4	476	1196
nitawa	0.4	562	1388
Zamiel	0.4	2756	6936
RaKXeR	0.39	686	1780
indego	0.38	1551	4132
Nitrate	0.38	432	1135
Dr_Kakashi	0.37	2000	5450
VerySloppyTwo	0.37	602	1608
Lel0uch	0.36	1891	5307
timotree	0.36	770	2130
Fireheart	0.35	1474	4155
Floriman	0.35	1320	3815
IAMJEFF	0.35	1153	3263
padi	0.35	372	1060
scharkbite	0.35	2298	6514
eliclax	0.34	409	1190
Libster	0.34	1088	3178
melwen	0.34	2599	7625
florrat2	0.32	628	1944
Pablo-	0.32	863	2709
Valetta6789	0.32	876	2723
asaelr	0.31	1597	5143
sjdrodge	0.31	1388	4434
MarkusKahlsen	0.3	921	3066
micerang	0.3	1234	4103
piper	0.22	471	2133
