player	plays_ratio	plays_count	total_games
rinka	5	1170	234
piper	4.84	10324	2133
MarkusKahlsen	4.83	14797	3066
Nitrate	4.75	5394	1135
ADrone	4.69	5612	1196
timotree	4.63	9857	2130
florrat2	4.61	8956	1944
Valetta6789	4.46	12154	2723
Pablo-	4.45	12066	2709
nitawa	4.44	6160	1388
scharkbite	4.39	28604	6514
melwen	4.37	33350	7625
eliclax	4.31	5125	1190
RaKXeR	4.23	7526	1780
kimbifille	4.22	19591	4647
asaelr	4.2	21594	5143
micerang	4.19	17204	4103
pianoblook	4.16	17324	4168
Floriman	4.14	15778	3815
padi	4.13	4377	1060
Lanvin	4.1	34257	8348
Lel0uch	4.1	21784	5307
Bot-Fiora	4.03	4307	1070
Libster	3.98	12661	3178
Kyle	3.93	25666	6538
sjdrodge	3.92	17364	4434
Fireheart	3.89	16156	4155
Zamiel	3.69	25595	6936
indego	3.66	15142	4132
IAMJEFF	3.59	11712	3263
sin_faith	3.58	9475	2645
VerySloppyTwo	3.57	5748	1608
Dr_Kakashi	3.4	18543	5450
