Username	Preference
Instantiation	0.98
910dan	0.96
kevincaseytdk1	0.93
Carunty	0.91
sankala	0.9
paulcd2000	0.9
efaust	0.87
sjdrodge	0.86
Swifter	0.83
Amy2	0.83
Fey	0.82
fuckthiswebsite	0.8
ADrone	0.79
fishcat	0.79
piper	0.78
Feer	0.77
Hunter	0.76
MarkusKahlsen	0.75
Valetta6789	0.75
Nitrate2	0.73
wortel	0.71
bjnh	0.7
jeep	0.7
Pablo-	0.69
qqqq	0.69
asaelr	0.68
micerang	0.68
kimbifille	0.67
rz	0.67
hakha3	0.67
MasN	0.67
avanderwalde	0.66
Andrey Khesin	0.66
nitawa	0.65
kemurphy	0.63
timotree	0.61
eliclax	0.61
MangoPie	0.61
Razgovor	0.6
robense	0.58
Floriman	0.57
Huxley	0.57
antitelharsic	0.56
TheDaniMan	0.55
TimeHoodie	0.54
Sucubis	0.54
dobi	0.54
Zakisan	0.54
Libster	0.53
NoMercy	0.52
Andrew_UK	0.52
Asddsa76	0.52
florrat2	0.51
frosty104	0.51
Lanvin	0.5
plus	0.5
griff77	0.5
Lel0uch	0.49
jack67889	0.49
invarse	0.48
padi	0.47
scharkbite	0.47
RaKXeR	0.46
derekcheah	0.46
pianoblook	0.45
Cory	0.45
Romain672	0.43
Livia	0.43
catula	0.42
joelwool	0.41
kodomazer	0.4
melwen	0.39
honzas	0.39
IAMJEFF	0.38
HelanaAshryvr	0.37
sin_faith	0.36
Fireheart	0.35
squirrel1988	0.35
Kyle	0.34
sephiroth	0.34
kopen	0.34
Dr_Kakashi	0.33
Jake_Stiles	0.31
katian	0.31
ChristopheAF	0.31
swineherd	0.3
kooolant	0.27
wump	0.27
VerySloppyTwo	0.24
jeff10	0.24
Bonja97	0.24
Hyakinthus	0.23
indego	0.21
XMIL	0.18
Wittvector	0.16
DMoney	0.16
Razvogor	0.13
Zamiel	0.12
will.i.am	0.12
duckmammal	0.08
lotem	0.06
postmans	0.04
4head	0.04
newduke	0.04
possum	0.0
Nitrate	-1
Bot-Fiora	-1
rinka	-1
awe	-1
Maiorskills	-1
eevee	-1
NotRaKXeR	-1
macanek	-1
rahsosprout	-1
ricardodd	-1
nkkarpov	-1
Durandal	-1
colton	-1
aquarelle	-1
Kernel	-1
Pimak	-1
Aluap	-1
IsabeltheCat	-1
Onen	-1
doctorabi	-1
StKildaFan	-1
orucsoraihc	-1
boba	-1
rachyrules	-1
Takis	-1
Ntalakas	-1
ntinta	-1
soulampoula	-1
Anax	-1
geor1983	-1
Fedorov	-1
3nvy	-1
BlueNovember	-1
maddogmarv	-1
bcannon	-1
letical	-1
CptAggro	-1
wjomlex	-1
snkylittleazn	-1
forgotmyacct	-1
merlinworks3636	-1
ksfortson	-1
Jillb363636	-1
ihavenoidea	-1
Mike	-1
bradz	-1
Ahming	-1
Yeesh	-1
Ryder	-1
blindedot	-1
jmrtz	-1
Animex52	-1
