Username	Rank	Seek	Hide
sjdrodge	4.57	timotree (110%), kimbifille (57%), CptAggro (55%), pianoblook (54%), florrat2 (48%)	Dr_Kakashi (23%), Razgovor (21%), Zamiel (19%), Cory (19%), Andrew_UK (19%)
timotree	4.33	sjdrodge (110%), pianoblook (38%), kimbifille (36%), merlinworks3636 (35%), ksfortson (34%)	newduke (19%), melwen (18%), avanderwalde (17%), scharkbite (16%), Zamiel (14%)
MarkusKahlsen	3.33	Fey (53%), plus (46%), rachyrules (41%), Pablo- (34%), TimeHoodie (33%)	Wittvector (22%), Kyle (22%), sephiroth (20%), ChristopheAF (20%), indego (18%)
kimbifille	3.0	sjdrodge (57%), Valetta6789 (47%), piper (43%), ADrone (41%), pianoblook (37%)	melwen (17%), scharkbite (17%), Dr_Kakashi (15%), DMoney (12%), Zamiel (9%)
Valetta6789	3.0	micerang (51%), kimbifille (47%), Lanvin (43%), asaelr (41%), Libster (41%)	Dr_Kakashi (21%), RaKXeR (18%), kopen (17%), kodomazer (16%), Zamiel (12%)
asaelr	2.83	Fey (42%), Valetta6789 (41%), sin_faith (34%), Pablo- (33%), micerang (32%)	pianoblook (16%), DMoney (16%), awe (15%), Cory (14%), Zamiel (14%)
piper	2.75	kimbifille (43%), maddogmarv (40%), pianoblook (38%), ADrone (38%)	derekcheah (36%), bcannon (34%), Floriman (30%), IAMJEFF (24%), Dr_Kakashi (22%)
Pablo-	2.0	Nitrate2 (42%), Carunty (38%), MarkusKahlsen (34%), Amy2 (33%), jack67889 (33%)	joelwool (20%), Bonja97 (17%), Lanvin (17%), VerySloppyTwo (15%), newduke (9%)
ADrone	1.75	kimbifille (41%), piper (38%), Kyle (33%)	pianoblook (32%), fishcat (31%), Huxley (25%)
micerang	1.67	jmrtz (72%), Valetta6789 (51%), paulcd2000 (47%), efaust (39%), kopen (37%)	NoMercy (20%), DMoney (19%), Razvogor (19%), Zamiel (18%), florrat2 (13%)
