player	round	third strikes	total games
rinka	0.37	18	49
Lanvin	0.33	620	1880
pianoblook	0.31	308	1000
Kyle	0.31	469	1527
kimbifille	0.3	287	947
IAMJEFF	0.29	161	554
nitawa	0.28	84	295
Dr_Kakashi	0.28	284	1023
Lel0uch	0.27	279	1022
sjdrodge	0.27	142	517
VerySloppyTwo	0.27	89	325
Fireheart	0.26	193	741
sin_faith	0.25	170	680
Floriman	0.25	190	755
ADrone	0.24	66	275
eliclax	0.24	56	232
micerang	0.24	179	761
Nitrate	0.24	66	272
Zamiel	0.24	371	1568
melwen	0.23	387	1678
Libster	0.23	154	676
Bot-Fiora	0.23	55	235
Valetta6789	0.23	121	530
indego	0.22	219	1005
timotree	0.21	106	500
Pablo-	0.21	112	544
padi	0.21	54	253
asaelr	0.21	175	818
florrat2	0.2	89	447
RaKXeR	0.2	109	539
scharkbite	0.19	358	1857
MarkusKahlsen	0.18	104	586
piper	0.14	62	438
