Player	%	Clean	Total
Nitrate	18.19	229	1259
MarkusKahlsen	16.62	687	4133
TimeHoodie	15.51	887	5720
Pablo-	15.03	458	3047
melwen	14.75	1194	8094
piper	14.69	296	2015
eliclax	14.67	244	1663
micerang	14.64	581	3968
Valetta6789	14.49	387	2670
sjdrodge	14.37	548	3814
nitawa	13.96	272	1948
asaelr	13.78	682	4948
Floriman	13.58	512	3769
timotree	13.46	249	1850
Lanvin	13.04	1322	10135
Bot-Fiora	12.96	169	1304
ADrone	12.89	161	1249
Kyle	12.12	822	6782
scharkbite	12.05	786	6525
kimbifille	11.94	615	5151
Lel0uch	11.81	700	5925
florrat2	11.51	203	1764
Fireheart	11.50	436	3791
pianoblook	11.46	481	4198
IAMJEFF	11.41	449	3935
padi	11.21	98	874
Libster	10.68	303	2838
Dr_Kakashi	10.45	580	5550
RaKXeR	10.16	155	1526
DMoney	9.85	287	2914
sin_faith	9.68	254	2624
indego	9.22	383	4152
Zamiel	6.84	392	5728
