Player	Terminated	Strikeout	Timeout	Normal
Lanvin	29%	21%	4%	42%
Zamiel	39%	22%	3%	36%
Dr_Kakashi	42%	19%	1%	33%
Kyle	29%	23%	3%	43%
asaelr	36%	16%	2%	44%
melwen	23%	22%	4%	50%
Lel0uch	31%	18%	5%	41%
sjdrodge	38%	12%	1%	48%
Fireheart	43%	18%	2%	37%
kimbifille	34%	20%	3%	42%
IAMJEFF	42%	18%	0%	33%
scharkbite	22%	28%	1%	48%
micerang	30%	19%	1%	48%
indego	31%	24%	8%	35%
pianoblook	29%	24%	2%	45%
Floriman	33%	19%	2%	45%
Libster	36%	20%	0%	43%
TimeHoodie	18%	24%	3%	52%
Valetta6789	35%	19%	1%	44%
DMoney	31%	22%	1%	37%
sin_faith	28%	25%	8%	36%
MarkusKahlsen	19%	19%	2%	56%
Pablo-	24%	19%	2%	51%
piper	29%	20%	1%	50%
florrat2	32%	22%	0%	46%
RaKXeR	27%	28%	1%	43%
nitawa	21%	20%	1%	51%
timotree	18%	23%	2%	56%
eliclax	23%	20%	3%	49%
Bot-Fiora	25%	23%	3%	44%
ADrone	22%	21%	3%	52%
padi	26%	24%	2%	49%
Nitrate	15%	24%	2%	58%
