Player	Ratio	Total clues	Total games
rinka	4.94	1081	219
timotree	4.41	9155	2078
scharkbite	4.27	26242	6142
Nitrate	4.21	4914	1168
ADrone	4.18	4878	1167
asaelr	4.17	20010	4802
RaKXeR	4.13	7017	1698
Lel0uch	4.12	19984	4845
MarkusKahlsen	4.12	13572	3297
florrat2	4.11	7199	1752
eliclax	4.1	5517	1346
nitawa	4.1	5770	1408
piper	4.09	8359	2045
padi	4.05	3850	951
pianoblook	3.99	16243	4072
melwen	3.98	28762	7231
micerang	3.98	15436	3875
Libster	3.95	11303	2863
Pablo-	3.94	10193	2586
Zamiel	3.87	24456	6316
Bot-Fiora	3.81	3986	1046
Floriman	3.79	13225	3485
kimbifille	3.79	17464	4610
Lanvin	3.78	31617	8367
Kyle	3.71	22860	6163
sjdrodge	3.66	14593	3985
sin_faith	3.64	8684	2384
Valetta6789	3.6	8875	2464
indego	3.57	13408	3751
VerySloppyTwo	3.49	4873	1395
Fireheart	3.48	12841	3689
Dr_Kakashi	3.44	16577	4820
IAMJEFF	3.4	10019	2950
