Player	Ratio	Discards	Games
MarkusKahlsen	2.22	9186	4139
Nitrate	2.14	2699	1260
timotree	2.08	3847	1850
Valetta6789	2.02	5403	2675
florrat2	1.98	3486	1764
melwen	1.94	15715	8119
eliclax	1.93	3217	1666
ADrone	1.92	2392	1249
TimeHoodie	1.91	10927	5733
RaKXeR	1.83	2803	1529
Pablo-	1.79	5476	3051
padi	1.79	1565	876
scharkbite	1.79	11668	6525
kimbifille	1.78	9155	5155
piper	1.76	3554	2023
Lanvin	1.75	17694	10139
pianoblook	1.75	7377	4207
nitawa	1.73	3373	1948
Lel0uch	1.71	10150	5940
micerang	1.71	6805	3970
Fireheart	1.68	6360	3791
Libster	1.67	4742	2838
asaelr	1.66	8274	4974
Floriman	1.63	6160	3779
Bot-Fiora	1.61	2112	1308
Kyle	1.60	10850	6788
indego	1.57	6517	4160
DMoney	1.52	4435	2922
Zamiel	1.47	8432	5728
sjdrodge	1.45	5521	3819
IAMJEFF	1.43	5649	3938
sin_faith	1.42	3726	2629
Dr_Kakashi	1.37	7597	5551
