Player	Ratio	Misplays	Games
Bot-Fiora	0.48	623	1308
DMoney	0.46	1335	2922
pianoblook	0.46	1921	4207
Kyle	0.45	3024	6788
Lanvin	0.41	4205	10139
nitawa	0.41	799	1948
sin_faith	0.41	1078	2629
kimbifille	0.40	2067	5155
Zamiel	0.40	2272	5728
ADrone	0.39	481	1249
RaKXeR	0.39	603	1529
Dr_Kakashi	0.38	2090	5551
IAMJEFF	0.38	1509	3938
Nitrate	0.38	482	1260
timotree	0.38	699	1850
Fireheart	0.37	1389	3791
indego	0.37	1525	4160
scharkbite	0.37	2390	6525
eliclax	0.36	596	1666
Lel0uch	0.36	2132	5940
melwen	0.36	2892	8119
Floriman	0.35	1313	3779
padi	0.35	304	876
Libster	0.34	974	2838
TimeHoodie	0.34	1961	5733
florrat2	0.33	575	1764
sjdrodge	0.33	1258	3819
asaelr	0.32	1609	4974
MarkusKahlsen	0.32	1310	4139
Valetta6789	0.32	867	2675
micerang	0.31	1239	3970
Pablo-	0.31	955	3051
piper	0.21	424	2023
