Player	Ratio	Plays	Games
MarkusKahlsen	5.10	21124	4139
piper	4.85	9819	2023
ADrone	4.81	6006	1249
Nitrate	4.73	5957	1260
florrat2	4.61	8134	1764
timotree	4.59	8489	1850
TimeHoodie	4.55	26062	5733
Pablo-	4.54	13857	3051
eliclax	4.52	7536	1666
nitawa	4.49	8745	1948
Valetta6789	4.48	11992	2675
melwen	4.46	36184	8119
scharkbite	4.35	28369	6525
kimbifille	4.26	21953	5155
pianoblook	4.24	17817	4207
Lanvin	4.20	42633	10139
micerang	4.20	16686	3970
RaKXeR	4.17	6369	1529
Lel0uch	4.16	24703	5940
asaelr	4.14	20614	4974
Floriman	4.11	15544	3779
padi	4.05	3548	876
Bot-Fiora	4.03	5265	1308
Kyle	4.00	27141	6788
Libster	3.96	11251	2838
Fireheart	3.91	14817	3791
sjdrodge	3.83	14609	3819
DMoney	3.76	10993	2922
indego	3.70	15399	4160
IAMJEFF	3.62	14269	3938
sin_faith	3.57	9397	2629
Zamiel	3.53	20224	5728
Dr_Kakashi	3.41	18921	5551
